num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw2_avg_fdr,gw2_max_fdr,gw3_avg_fdr,gw1_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
2,3+2,HUL-HUL-MUN-MUN-MUN,HUL,HUL,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
3,2+2+1,HUL-HUL-MUN-MUN-SUN,HUL,HUL,MUN,MUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
3,2+2+1,HUL-HUL-MUN-SUN-SUN,HUL,HUL,MUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
2,3+2,HUL-HUL-SUN-SUN-SUN,HUL,HUL,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
3,3+1+1,HUL-MUN-MUN-MUN-TOT,HUL,MUN,MUN,MUN,TOT,2.0,2.0,2.0,3.0,2.5,2.2727,0.5366
4,2+1+1+1,HUL-MUN-MUN-TOT-SUN,HUL,MUN,MUN,TOT,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.5366
4,2+1+1+1,HUL-MUN-TOT-SUN-SUN,HUL,MUN,TOT,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.5366
3,3+1+1,HUL-TOT-SUN-SUN-SUN,HUL,TOT,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.5366
3,3+1+1,HUL-MUN-MUN-MUN-SUN,HUL,MUN,MUN,MUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.6
3,2+2+1,HUL-MUN-MUN-SUN-SUN,HUL,MUN,MUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.6
3,3+1+1,HUL-MUN-SUN-SUN-SUN,HUL,MUN,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.6
3,3+1+1,CHE-HUL-MUN-MUN-MUN,CHE,HUL,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.6162
4,2+1+1+1,CHE-HUL-MUN-MUN-SUN,CHE,HUL,MUN,MUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.6162
