gkp1,price1,gkp2,price2,total_price,gkp1_solo_pts,gkp2_solo_pts,best_solo_pts,fdr_rotation_pts,fdr_gain_vs_best_solo,hindsight_pts,hindsight_gain_vs_best_solo,bench_pts_wasted,gkp1_starts,gkp2_starts
Kelleher,4.8,Verbruggen,4.6,9.399999999999999,143,130,143,151,8,197,54,120,21,17
Petrović,4.6,Roefs,4.8,9.399999999999999,124,136,136,148,12,191,55,111,18,20
Petrović,4.6,Kelleher,4.8,9.399999999999999,124,143,143,143,0,189,46,123,22,16
Petrović,4.6,Verbruggen,4.6,9.2,124,130,130,140,10,176,46,111,26,12
Kelleher,4.8,Sels,4.6,9.399999999999999,143,105,143,137,-6,184,41,111,22,16
Verbruggen,4.6,Hermansen,4.2,8.8,130,76,130,137,7,160,30,67,20,18
Verbruggen,4.6,Roefs,4.8,9.399999999999999,130,136,136,136,0,191,55,128,21,17
Dúbravka,4.0,Henderson,5.1,9.1,96,131,131,135,4,169,38,90,22,16
Verbruggen,4.6,Vicario,4.7,9.3,130,90,130,135,5,172,42,83,23,15
Petrović,4.6,Hermansen,4.2,8.8,124,76,124,133,9,155,31,66,22,16
Petrović,4.6,Sels,4.6,9.2,124,105,124,133,9,166,42,95,18,20
Dúbravka,4.0,Verbruggen,4.6,8.6,96,130,130,133,3,165,35,91,23,15
Martinez,5.0,Dúbravka,4.0,9.0,120,96,120,133,13,165,45,83,21,17
Verbruggen,4.6,Darlow,4.0,8.6,130,71,130,133,3,148,18,60,23,15
Kelleher,4.8,Areola,4.2,9.0,143,51,143,132,-11,157,14,62,21,17
Petrović,4.6,Sánchez,4.8,9.399999999999999,124,113,124,132,8,176,52,102,20,18
Dúbravka,4.0,Petrović,4.6,8.6,96,124,124,129,5,158,34,90,20,18
Dúbravka,4.0,Kelleher,4.8,8.8,96,143,143,129,-14,175,32,110,22,16
Leno,5.0,Hermansen,4.2,9.2,122,76,122,129,7,162,40,69,22,16
Sánchez,4.8,Sels,4.6,9.399999999999999,113,105,113,128,15,159,46,88,24,14
Sánchez,4.8,José Sá,4.2,9.0,113,68,113,127,14,139,26,40,24,14
Henderson,5.1,José Sá,4.2,9.3,131,68,131,126,-5,156,25,59,22,16
Roefs,4.8,José Sá,4.2,9.0,136,68,136,126,-10,163,27,66,23,15
Kelleher,4.8,José Sá,4.2,9.0,143,68,143,125,-18,163,20,74,22,16
Kelleher,4.8,Hermansen,4.2,9.0,143,76,143,125,-18,180,37,94,21,17
Roefs,4.8,Vicario,4.7,9.5,136,90,136,124,-12,167,31,102,19,19
Henderson,5.1,Darlow,4.0,9.1,131,71,131,123,-8,162,31,71,19,19
Verbruggen,4.6,José Sá,4.2,8.8,130,68,130,123,-7,151,21,61,26,12
Verbruggen,4.6,Sánchez,4.8,9.399999999999999,130,113,130,123,-7,170,40,116,20,18
Dúbravka,4.0,Sánchez,4.8,8.8,96,113,113,123,10,148,35,84,22,16
Verbruggen,4.6,Sels,4.6,9.2,130,105,130,122,-8,170,40,111,22,16
Roefs,4.8,Hermansen,4.2,9.0,136,76,136,122,-14,182,46,90,26,12
Dúbravka,4.0,Leno,5.0,9.0,96,122,122,122,0,148,26,96,23,15
Kelleher,4.8,Vicario,4.7,9.5,143,90,143,121,-22,182,39,112,19,19
Petrović,4.6,Vicario,4.7,9.3,124,90,124,120,-4,155,31,93,20,18
Dúbravka,4.0,Roefs,4.8,8.8,96,136,136,120,-16,177,41,112,22,16
Martinez,5.0,Darlow,4.0,9.0,120,71,120,119,-1,146,26,66,22,16
Sánchez,4.8,Hermansen,4.2,9.0,113,76,113,116,3,163,50,71,22,16
Henderson,5.1,Hermansen,4.2,9.3,131,76,131,116,-15,161,30,89,24,14
Dúbravka,4.0,Pope,5.0,9.0,96,96,96,115,19,144,48,77,23,15
Leno,5.0,José Sá,4.2,9.2,122,68,122,115,-7,143,21,63,21,17
Sánchez,4.8,Darlow,4.0,8.8,113,71,113,112,-1,144,31,64,25,13
Petrović,4.6,Areola,4.2,8.8,124,51,124,111,-13,143,19,63,22,16
Dúbravka,4.0,Lammens,5.1,9.1,96,109,109,111,2,148,39,94,23,15
Petrović,4.6,Darlow,4.0,8.6,124,71,124,111,-13,145,21,77,21,17
Sels,4.6,Roefs,4.8,9.399999999999999,105,136,136,111,-25,190,54,130,22,16
Darlow,4.0,Roefs,4.8,8.8,71,136,136,110,-26,169,33,91,21,17
Martinez,5.0,José Sá,4.2,9.2,120,68,120,109,-11,150,30,67,24,14
Verbruggen,4.6,Perri,4.4,9.0,130,43,130,108,-22,148,18,63,23,15
Leno,5.0,Darlow,4.0,9.0,122,71,122,108,-14,147,25,79,25,13
Roefs,4.8,Areola,4.2,9.0,136,51,136,106,-30,148,12,81,26,12
Petrović,4.6,José Sá,4.2,8.8,124,68,124,106,-18,148,24,73,24,14
Dúbravka,4.0,Vicario,4.7,8.7,96,90,96,105,9,132,36,81,19,19
Dúbravka,4.0,Sels,4.6,8.6,96,105,105,104,-1,143,38,97,22,16
Leno,5.0,Perri,4.4,9.4,122,43,122,104,-18,143,21,61,25,13
Sels,4.6,Vicario,4.7,9.3,105,90,105,102,-3,158,53,93,23,15
Dúbravka,4.0,A.Becker,5.4,9.4,96,91,96,102,6,146,50,85,21,17
