gkp1,price1,gkp2,price2,total_price,fdr_rotation_pts,hindsight_pts
Verbruggen,4.6,Leno,5.0,9.6,155,169
Martinez,5.0,Verbruggen,4.6,9.6,154,177
Kelleher,4.8,Roefs,4.8,9.6,152,198
Kelleher,4.8,Verbruggen,4.6,9.399999999999999,151,197
Petrović,4.6,Roefs,4.8,9.399999999999999,148,191
Kelleher,4.8,Sánchez,4.8,9.6,147,197
Petrović,4.6,Leno,5.0,9.6,145,182
Petrović,4.6,Kelleher,4.8,9.399999999999999,143,189
Petrović,4.6,Verbruggen,4.6,9.2,140,176
Verbruggen,4.6,Pope,5.0,9.6,140,172
Kelleher,4.8,Sels,4.6,9.399999999999999,137,184
Martinez,5.0,Petrović,4.6,9.6,136,178
Verbruggen,4.6,Roefs,4.8,9.399999999999999,136,191
Dúbravka,4.0,Henderson,5.1,9.1,135,169
Verbruggen,4.6,Vicario,4.7,9.3,135,172
Sánchez,4.8,Roefs,4.8,9.6,134,179
Dúbravka,4.0,Verbruggen,4.6,8.6,133,165
Martinez,5.0,Dúbravka,4.0,9.0,133,165
Petrović,4.6,Sels,4.6,9.2,133,166
Petrović,4.6,Sánchez,4.8,9.399999999999999,132,176
Dúbravka,4.0,Kelleher,4.8,8.8,129,175
Dúbravka,4.0,Petrović,4.6,8.6,129,158
Petrović,4.6,Pope,5.0,9.6,129,162
Sánchez,4.8,Sels,4.6,9.399999999999999,128,159
Roefs,4.8,Vicario,4.7,9.5,124,167
Dúbravka,4.0,Donnarumma,5.6,9.6,124,168
Dúbravka,4.0,Sánchez,4.8,8.8,123,148
Verbruggen,4.6,Sánchez,4.8,9.399999999999999,123,170
Dúbravka,4.0,Leno,5.0,9.0,122,148
Leno,5.0,Sels,4.6,9.6,122,156
Verbruggen,4.6,Sels,4.6,9.2,122,170
Kelleher,4.8,Vicario,4.7,9.5,121,182
Petrović,4.6,Vicario,4.7,9.3,120,155
Dúbravka,4.0,Roefs,4.8,8.8,120,177
Dúbravka,4.0,Pope,5.0,9.0,115,144
Dúbravka,4.0,Lammens,5.1,9.1,111,148
Sels,4.6,Roefs,4.8,9.399999999999999,111,190
Dúbravka,4.0,Pickford,5.6,9.6,110,165
Martinez,5.0,Sels,4.6,9.6,105,169
Dúbravka,4.0,Vicario,4.7,8.7,105,132
Dúbravka,4.0,Sels,4.6,8.6,104,143
Dúbravka,4.0,A.Becker,5.4,9.4,102,146
Sels,4.6,Vicario,4.7,9.3,102,158
Pope,5.0,Sels,4.6,9.6,101,149
Sánchez,4.8,Vicario,4.7,9.5,86,148
