num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
2,3+2,MUN-MUN-MUN-NFO-NFO,MUN,MUN,MUN,NFO,NFO,2.0,2.0,2.0,3.0,2.5,2.2727,0.0
2,3+2,NFO-NFO-SUN-SUN-SUN,NFO,NFO,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.0
3,2+2+1,MUN-MUN-NFO-NFO-SUN,MUN,MUN,NFO,NFO,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.2
3,2+2+1,MUN-NFO-NFO-SUN-SUN,MUN,NFO,NFO,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.2
3,3+1+1,ARS-MUN-MUN-MUN-NFO,ARS,MUN,MUN,MUN,NFO,2.0,2.0,2.0,3.0,2.5,2.2727,0.2366
3,3+1+1,ARS-NFO-SUN-SUN-SUN,ARS,NFO,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.2366
3,3+1+1,IPS-MUN-MUN-MUN-NFO,IPS,MUN,MUN,MUN,NFO,2.0,2.0,2.0,3.0,2.5,2.2727,0.2366
2,3+2,ARS-ARS-MUN-MUN-MUN,ARS,ARS,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.3
2,3+2,ARS-ARS-SUN-SUN-SUN,ARS,ARS,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.3
2,3+2,IPS-IPS-MUN-MUN-MUN,IPS,IPS,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.3
3,3+1+1,MUN-MUN-MUN-NFO-SUN,MUN,MUN,MUN,NFO,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.3
3,3+1+1,MUN-NFO-SUN-SUN-SUN,MUN,NFO,SUN,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.3
3,3+1+1,ARS-IPS-MUN-MUN-MUN,ARS,IPS,MUN,MUN,MUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
3,2+2+1,MUN-MUN-NFO-SUN-SUN,MUN,MUN,NFO,SUN,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4
4,2+1+1+1,ARS-MUN-MUN-NFO-SUN,ARS,MUN,MUN,NFO,SUN,2.0,2.0,2.0,3.0,2.5,2.2727,0.4366
