tier,tier_id,lineup_summary,clubs,total_price,bb_rqi,tot_effective_xp,gw1_xp_5def,gw2_3_xp_6def,gw1_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Bogle (LEE £4.5m) + Jacquet (LIV £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),CHE-LEE-LIV-SUN-TOT,22.5,51.65999984741211,49.89,20.65,29.24,2.8,2.33,2.5455,-0.0244
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),BHA-LEE-MUN-SUN-TOT,24.0,70.13999938964844,59.83,26.6,33.24,2.6,2.33,2.4545,-0.0598
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),BHA-LEE-MUN-SUN-TOT,24.0,70.44000244140625,60.0,26.62,33.38,2.6,2.33,2.4545,-0.0598
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m) + Van Hecke (TOT £5.0m),BHA-LEE-MUN-SUN-TOT,24.5,69.5,60.03,26.7,33.34,2.6,2.33,2.4545,-0.0598
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m) + Pedro Porro (TOT £5.5m),BHA-LEE-MUN-SUN-TOT,24.5,68.61000061035156,59.51,26.38,33.12,2.6,2.33,2.4545,-0.0598
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Muharemović (LEE £5.0m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),BHA-LEE-MUN-SUN-TOT,24.5,69.5,61.95,27.55,34.39,2.6,2.33,2.4545,-0.0598
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Tarkowski (EVE £6.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),ARS-BHA-EVE-MUN-SUN,25.5,69.62999725341797,60.28,28.58,31.71,2.4,2.5,2.4545,0.1902
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Jacquet (LIV £5.0m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m) + Van Hecke (TOT £5.0m),ARS-LIV-NFO-SUN-TOT,24.5,69.20999908447266,58.74,27.23,31.52,2.4,2.5,2.4545,-0.15
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Mykolenko (EVE £4.5m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-EVE-NFO-SUN-TOT,22.5,53.369998931884766,49.73,22.16,27.57,2.6,2.5,2.5455,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),AVL-CHE-CRY-MUN-NFO,22.5,49.779998779296875,48.43,21.56,26.87,2.6,2.67,2.6364,-0.0254
