list,pick,fix_rank,combo,allocation_pattern,all_easy_gws,all_easy_pct,avg_fdr_corr,rot_avg_fdr,no_diff_gws,mean_gkp_xcs,mean_def_xcs,n_elite,n_strong,n_cs_plus,n_prom,n_weak,cs_core,leaks,gate,fail,verdict
bb2_fixture_head,,1,BRE-LIV-MCI-MUN-SUN,1+1+1+1+1,1,33.3,-0.2,2.3636,3,0.312,0.2953,1,2,3,0,0,LIV-MCI-MUN,,pass,,PICK
bb2_fixture_head,,2,BRE-EVE-LIV-MCI-MUN,1+1+1+1+1,1,33.3,-0.2,2.5455,3,0.3119,0.2926,1,2,3,0,0,LIV-MCI-MUN,,pass,,PICK
bb2_fixture_head,,3,BRE-EVE-LIV-MCI-SUN,1+1+1+1+1,1,33.3,-0.2,2.5455,3,0.3065,0.2956,1,1,2,0,0,LIV-MCI,,pass,,PICK
bb2_fixture_head,,4,BRE-CHE-LIV-MCI-MUN,1+1+1+1+1,1,33.3,-0.189,2.4545,3,0.3051,0.2896,1,2,3,0,1,LIV-MCI-MUN,CHE,pass,,PICK
bb2_fixture_head,,5,BRE-CHE-LIV-MCI-SUN,1+1+1+1+1,1,33.3,-0.189,2.4545,3,0.2998,0.2927,1,1,2,0,1,LIV-MCI,CHE,pass,,PICK
bb2_fixture_head,,6,BRE-CHE-EVE-LIV-MCI,1+1+1+1+1,1,33.3,-0.189,2.6364,3,0.2997,0.29,1,1,2,0,1,LIV-MCI,CHE,pass,,PICK
bb2_fixture_head,,7,BRE-COV-LIV-MCI-MUN,1+1+1+1+1,1,33.3,-0.1,2.4545,3,0.3088,0.2893,1,2,3,1,0,LIV-MCI-MUN,COV,pass,,PICK
bb2_fixture_head,,8,BRE-COV-LIV-MCI-SUN,1+1+1+1+1,1,33.3,-0.1,2.4545,3,0.3034,0.2924,1,1,2,1,0,LIV-MCI,COV,pass,,CAUTION
bb2_fixture_head,,9,BRE-LIV-MCI-MUN-TOT,1+1+1+1+1,1,33.3,-0.1,2.4545,3,0.3318,0.2953,1,2,3,0,0,LIV-MCI-MUN,,pass,,PICK
bb2_fixture_head,,10,BRE-LIV-MCI-SUN-TOT,1+1+1+1+1,1,33.3,-0.1,2.4545,3,0.3264,0.2984,1,1,2,0,0,LIV-MCI,,pass,,PICK
bb2_fixture_head,,11,BRE-COV-EVE-LIV-MCI,1+1+1+1+1,1,33.3,-0.1,2.6364,3,0.3034,0.2896,1,1,2,1,0,LIV-MCI,COV,pass,,CAUTION
bb2_fixture_head,,12,BRE-EVE-LIV-MCI-TOT,1+1+1+1+1,1,33.3,-0.1,2.6364,3,0.3264,0.2957,1,1,2,0,0,LIV-MCI,,pass,,PICK
