horizon,start_gw,end_gw,num_gws,num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,rot_avg_fdr,max_worst_starter,no_diff_gws,no_diff_pct,all_easy_gws,all_easy_pct,avg_fdr_corr
full_season,1,38,38,5,1+1+1+1+1,ARS-BOU-BRE-CRY-MUN,ARS,BOU,BRE,CRY,MUN,2.5175,3.0,38,100.0,2,5.3,-0.1644
full_season,1,38,38,5,1+1+1+1+1,AVL-BOU-BRE-CHE-NFO,AVL,BOU,BRE,CHE,NFO,2.5175,3.0,38,100.0,4,10.5,-0.1366
full_season,1,38,38,5,1+1+1+1+1,BOU-CRY-EVE-LIV-MUN,BOU,CRY,EVE,LIV,MUN,2.5175,3.0,38,100.0,4,10.5,-0.1297
full_season,1,38,38,5,1+1+1+1+1,BOU-CRY-EVE-LIV-NFO,BOU,CRY,EVE,LIV,NFO,2.5175,3.0,38,100.0,5,13.2,-0.1295
full_season,1,38,38,5,1+1+1+1+1,BOU-BRE-CHE-MUN-NFO,BOU,BRE,CHE,MUN,NFO,2.5175,3.0,38,100.0,4,10.5,-0.1143
full_season,1,38,38,5,1+1+1+1+1,BOU-CHE-EVE-LIV-NFO,BOU,CHE,EVE,LIV,NFO,2.5175,3.0,38,100.0,5,13.2,-0.1139
full_season,1,38,38,5,1+1+1+1+1,AVL-BOU-CHE-LIV-NFO,AVL,BOU,CHE,LIV,NFO,2.5175,3.0,38,100.0,5,13.2,-0.0919
full_season,1,38,38,5,1+1+1+1+1,ARS-BOU-CRY-EVE-LIV,ARS,BOU,CRY,EVE,LIV,2.5175,3.0,38,100.0,5,13.2,-0.0889
full_season,1,38,38,5,1+1+1+1+1,CRY-EVE-LIV-MCI-MUN,CRY,EVE,LIV,MCI,MUN,2.5175,3.0,38,100.0,4,10.5,-0.0811
full_season,1,38,38,5,1+1+1+1+1,EVE-LIV-MUN-NFO-TOT,EVE,LIV,MUN,NFO,TOT,2.5175,3.0,38,100.0,5,13.2,-0.0804
full_season,1,38,38,5,1+1+1+1+1,AVL-CHE-LIV-MCI-NFO,AVL,CHE,LIV,MCI,NFO,2.5175,3.0,38,100.0,8,21.1,-0.0407
full_season,1,38,38,4,2+1+1+1,BOU-CHE-NFO-NFO-TOT,BOU,CHE,NFO,NFO,TOT,2.5263,3.0,38,100.0,6,15.8,-0.1824
full_season,1,38,38,4,2+1+1+1,ARS-BOU-BOU-MUN-NFO,ARS,BOU,BOU,MUN,NFO,2.5263,3.0,38,100.0,7,18.4,-0.1709
full_season,1,38,38,5,1+1+1+1+1,CRY-EVE-FUL-NFO-TOT,CRY,EVE,FUL,NFO,TOT,2.5263,3.0,38,100.0,5,13.2,-0.1674
full_season,1,38,38,4,2+1+1+1,BOU-BRE-EVE-MUN-MUN,BOU,BRE,EVE,MUN,MUN,2.5263,3.0,38,100.0,7,18.4,-0.1668
full_season,1,38,38,5,1+1+1+1+1,AVL-BOU-CHE-FUL-NFO,AVL,BOU,CHE,FUL,NFO,2.5263,3.0,38,100.0,1,2.6,-0.1575
full_season,1,38,38,5,1+1+1+1+1,CHE-EVE-FUL-NFO-TOT,CHE,EVE,FUL,NFO,TOT,2.5263,3.0,38,100.0,3,7.9,-0.1491
full_season,1,38,38,5,1+1+1+1+1,AVL-BOU-BRE-MUN-NEW,AVL,BOU,BRE,MUN,NEW,2.5263,3.0,38,100.0,4,10.5,-0.1459
full_season,1,38,38,5,1+1+1+1+1,AVL-CHE-MCI-NEW-NFO,AVL,CHE,MCI,NEW,NFO,2.5263,3.0,38,100.0,3,7.9,-0.1394
full_season,1,38,38,5,1+1+1+1+1,CHE-EVE-NFO-TOT-SUN,CHE,EVE,NFO,TOT,SUN,2.5263,3.0,38,100.0,4,10.5,-0.1381
full_season,1,38,38,5,1+1+1+1+1,AVL-BOU-CHE-NEW-NFO,AVL,BOU,CHE,NEW,NFO,2.5263,3.0,38,100.0,4,10.5,-0.1355
full_season,1,38,38,5,1+1+1+1+1,AVL-BRE-CHE-MCI-NEW,AVL,BRE,CHE,MCI,NEW,2.5263,3.0,38,100.0,6,15.8,-0.1348
full_season,1,38,38,5,1+1+1+1+1,AVL-BRE-MCI-MUN-NEW,AVL,BRE,MCI,MUN,NEW,2.5263,3.0,38,100.0,3,7.9,-0.1336
full_season,1,38,38,5,1+1+1+1+1,CHE-CRY-EVE-FUL-NFO,CHE,CRY,EVE,FUL,NFO,2.5263,3.0,38,100.0,3,7.9,-0.1317
full_season,1,38,38,5,1+1+1+1+1,ARS-CRY-MCI-NEW-TOT,ARS,CRY,MCI,NEW,TOT,2.5263,3.0,38,100.0,6,15.8,-0.1237
full_season,1,38,38,5,1+1+1+1+1,BOU-CHE-EVE-NFO-SUN,BOU,CHE,EVE,NFO,SUN,2.5263,3.0,38,100.0,3,7.9,-0.1237
full_season,1,38,38,5,1+1+1+1+1,ARS-BOU-CRY-LIV-NEW,ARS,BOU,CRY,LIV,NEW,2.5263,3.0,38,100.0,5,13.2,-0.1207
full_season,1,38,38,5,1+1+1+1+1,BOU-CRY-EVE-FUL-NFO,BOU,CRY,EVE,FUL,NFO,2.5263,3.0,38,100.0,5,13.2,-0.1201
full_season,1,38,38,5,1+1+1+1+1,BOU-CHE-EVE-FUL-NFO,BOU,CHE,EVE,FUL,NFO,2.5263,3.0,38,100.0,4,10.5,-0.12
