club_short,gkp_web_name,gkp_expected_role,gkp_p_start,gkp_per90_goals_conceded,gkp_xcs,def_median_per90_goals_conceded,def_median_xcs,gkp_usable_mins_total,gkp_rate_source,cs_tier
ARS,Raya,Nailed Starter,0.9,0.7027,0.4952,0.7302,0.4818,3330.0,prior_season_seed+defcon_baseline_fill,elite
MCI,Donnarumma,Nailed Starter,0.9,0.8529,0.4262,0.8674,0.42,3060.0,prior_season_seed+defcon_baseline_fill,elite
TOT,Kinsky,Regular Starter,0.75,1.0,0.3679,1.2625,0.2829,630.0,prior_season_seed+defcon_baseline_fill,mid
LIV,A.Becker,Nailed Starter,0.9,1.1923,0.3035,1.3947,0.2479,2340.0,prior_season_seed+defcon_baseline_fill,strong
BHA,Verbruggen,Nailed Starter,0.9,1.2105,0.298,1.2207,0.295,3420.0,prior_season_seed+defcon_baseline_fill,strong
MUN,Lammens,Nailed Starter,0.9,1.2188,0.2956,1.3188,0.2675,2880.0,prior_season_seed+defcon_external_fill,strong
AVL,Martinez,Nailed Starter,0.9,1.2381,0.2899,1.2194,0.2954,2835.0,prior_season_seed+defcon_baseline_fill,strong
SUN,Roefs,Nailed Starter,0.9,1.3143,0.2687,1.2632,0.2827,3150.0,prior_season_seed+defcon_external_fill,mid
EVE,Pickford,Nailed Starter,0.9,1.3158,0.2683,1.3125,0.2691,3420.0,prior_season_seed+defcon_baseline_fill,mid
NFO,Sels,Nailed Starter,0.9,1.3161,0.2682,1.2257,0.2936,2667.0,prior_season_seed+defcon_baseline_fill,mid
BRE,Kelleher,Nailed Starter,0.9,1.3243,0.266,1.3536,0.2583,3330.0,prior_season_seed+defcon_baseline_fill,mid
FUL,Leno,Nailed Starter,0.9,1.3421,0.2613,1.2031,0.3002,3420.0,prior_season_seed+defcon_baseline_fill,mid
COV,Rushworth,Regular Starter,0.75,1.375,0.2528,1.375,0.2528,0.0,career_individual+destination_gc,promoted
HUL,Butland,Rotation,0.4,1.375,0.2528,1.375,0.2528,0.0,external_3season_research+destination_gc,promoted
IPS,Scherpen,Regular Starter,0.75,1.375,0.2528,1.375,0.2528,0.0,career_individual+destination_gc,promoted
CRY,Henderson,Nailed Starter,0.9,1.3784,0.252,1.3091,0.2701,3330.0,prior_season_seed+defcon_baseline_fill,weak
NEW,Pope,Regular Starter,0.75,1.4156,0.2428,1.4761,0.2285,2416.0,prior_season_seed+defcon_baseline_fill,weak
BOU,Petrović,Nailed Starter,0.9,1.4211,0.2414,1.342,0.2613,3420.0,prior_season_seed+defcon_baseline_fill,weak
CHE,Sánchez,Nailed Starter,0.9,1.4507,0.2344,1.3684,0.2545,3040.0,prior_season_seed+defcon_baseline_fill,weak
LEE,Trafford,Nailed Starter,0.9,1.4737,0.2291,1.4168,0.2425,0.0,career_fpl_prior_year+destination_gc,weak
