list,pick,fix_rank,combo,allocation_pattern,all_easy_gws,all_easy_pct,avg_fdr_corr,rot_avg_fdr,no_diff_gws,mean_gkp_xcs,mean_def_xcs,n_elite,n_strong,n_cs_plus,n_prom,n_weak,cs_core,leaks,gate,fail,verdict
fixture_5plus_all_easy,,1,AVL-BHA-BRE-CHE-LEE,1+1+1+1+1,7,36.8,-0.0041,2.5263,19,0.2635,0.2691,0,2,2,0,2,AVL-BHA,CHE-LEE,pass,,
fixture_5plus_all_easy,,2,ARS-COV-NFO-SUN-TOT,1+1+1+1+1,6,31.6,-0.0957,2.5088,19,0.3306,0.3188,1,0,1,1,0,ARS,COV,cut,thin CS core,
fixture_5plus_all_easy,,3,ARS-BOU-COV-NFO-SUN,1+1+1+1+1,6,31.6,-0.0711,2.5088,19,0.3053,0.3145,1,0,1,1,1,ARS,BOU-COV,cut,thin CS core,
fixture_5plus_all_easy,,4,BHA-COV-LIV-MCI-SUN,1+1+1+1+1,5,26.3,-0.1487,2.4561,19,0.3098,0.2997,1,2,3,1,0,BHA-LIV-MCI,COV,pass,,
fixture_5plus_all_easy,,5,BHA-COV-HUL-LIV-MCI,1+1+1+1+1,5,26.3,-0.1213,2.4912,19,0.3067,0.2937,1,2,3,2,0,BHA-LIV-MCI,COV-HUL,cut,2+ promoted,
fixture_5plus_all_easy,,6,ARS-COV-LIV-MCI-SUN,1+1+1+1+1,5,26.3,-0.1129,2.4737,19,0.3493,0.3371,2,1,3,1,0,ARS-LIV-MCI,COV,pass,,
fixture_5plus_all_easy,,7,ARS-BOU-COV-LIV-SUN,1+1+1+1+1,5,26.3,-0.0905,2.4912,19,0.3123,0.3053,1,1,2,1,1,ARS-LIV,BOU-COV,pass,,
fixture_5plus_all_easy,,8,BOU-COV-EVE-NFO-SUN,1+1+1+1+1,5,26.3,-0.0869,2.4912,19,0.2599,0.2719,0,0,0,1,1,,BOU-COV,cut,thin CS core,
fixture_5plus_all_easy,,9,BOU-COV-IPS-MUN-SUN,1+1+1+1+1,5,26.3,-0.0768,2.5439,19,0.2623,0.2634,0,1,1,2,1,MUN,BOU-COV-IPS,cut,thin CS core; 2+ promoted,
fixture_5plus_all_easy,,10,AVL-CHE-LIV-MCI-NFO,1+1+1+1+1,5,26.3,-0.0679,2.4386,19,0.3044,0.3023,1,2,3,0,1,AVL-LIV-MCI,CHE,pass,,
fixture_5plus_all_easy,,11,ARS-COV-HUL-LIV-SUN,1+1+1+1+1,5,26.3,-0.0618,2.5263,19,0.3146,0.3036,1,1,2,2,0,ARS-LIV,COV-HUL,cut,2+ promoted,
fixture_5plus_all_easy,,12,ARS-BOU-FUL-IPS-MCI,1+1+1+1+1,5,26.3,-0.0606,2.5263,19,0.3354,0.3433,2,0,2,1,1,ARS-MCI,BOU-IPS,pass,,
