player_id,web_name,club_short,price,expected_role,per90_xg,per90_xa,per90_defcon,per90_goals_conceded,rate_source,usable_mins_total
4,Gabriel,ARS,8.0,Nailed Starter,0.0962,0.0573,9.0655,0.6545,prior_season_seed,2750.0
356,Virgil,LIV,6.5,Nailed Starter,0.0992,0.0379,9.2632,1.3947,prior_season_seed,3420.0
387,O'Reilly,MCI,6.5,Regular Starter,0.2084,0.0909,5.857,0.8513,prior_season_seed,2643.0
200,Lacroix,CHE,6.0,Nailed Starter,0.0715,0.0242,10.7942,1.3712,prior_season_seed,3085.0
229,Tarkowski,EVE,6.0,Nailed Starter,0.0684,0.0568,10.1622,1.2973,prior_season_seed,3330.0
388,Guéhi,MCI,6.0,Regular Starter,0.1157,0.0677,7.9429,1.0,prior_season_seed,3150.0
389,Matheus N.,MCI,6.0,Nailed Starter,0.0107,0.0702,6.1342,0.8808,prior_season_seed,2861.0
60,Hill,BOU,5.5,Nailed Starter,0.0381,0.0497,11.1323,1.0276,prior_season_seed,2102.0
84,Collins,BRE,5.5,Nailed Starter,0.0679,0.0518,9.6634,1.3329,prior_season_seed,2971.0
230,Branthwaite,EVE,5.5,Regular Starter,0.0451,0.0146,8.8938,1.1947,prior_season_seed,678.0
533,Mukiele,SUN,5.5,Regular Starter,0.0524,0.0857,8.8254,1.2931,prior_season_seed,2784.0
11,Mosquera,ARS,5.5,Regular Starter,0.0091,0.0575,8.6714,0.7302,prior_season_seed,986.0
471,Milenković,NFO,5.5,Regular Starter,0.0221,0.0181,8.2933,1.36,prior_season_seed,3375.0
61,Truffert,BOU,5.5,Nailed Starter,0.036,0.0818,8.0195,1.3588,prior_season_seed,3378.0
393,Khusanov,MCI,5.5,Regular Starter,0.041,0.0763,7.7575,0.8199,prior_season_seed,1427.0
201,Muñoz,CRY,5.5,Nailed Starter,0.0919,0.1477,7.35,1.2375,prior_season_seed,2400.0
390,Rúben,MCI,5.5,Regular Starter,0.024,0.0273,7.0266,0.9257,prior_season_seed,2139.0
499,Pedro Porro,TOT,5.5,Nailed Starter,0.0338,0.1408,7.0247,1.2889,prior_season_seed,2793.0
391,Gvardiol,MCI,5.5,Regular Starter,0.1478,0.046,6.7664,0.854,prior_season_seed,1370.0
142,James,CHE,5.5,Regular Starter,0.0478,0.1472,5.8866,0.9198,prior_season_seed,1957.0
8,Calafiori,ARS,5.5,Regular Starter,0.1782,0.0403,5.4095,0.4243,prior_season_seed,1697.0
358,Kerkez,LIV,5.5,Nailed Starter,0.06,0.0276,5.3576,1.4793,prior_season_seed,2251.0
152,Palestra,CHE,5.5,Regular Starter,0.05,0.104,3.5,1.3684,career_individual+destination_gc,0.0
357,Frimpong,LIV,5.5,Regular Starter,0.0436,0.1352,2.6163,1.1337,prior_season_seed,1032.0
130,Wieffer,BHA,5.0,Nailed Starter,0.0909,0.0881,12.7354,1.2309,prior_season_seed,1901.0
504,Vuskovic,BHA,5.0,Nailed Starter,0.188,0.101,12.46,1.2105,career_individual+destination_gc,0.0
334,Muharemović,LEE,5.0,Nailed Starter,0.1,0.14,11.56,1.4737,career_individual+destination_gc,0.0
203,Canvot,CRY,5.0,Regular Starter,0.1001,0.0223,11.4275,1.5552,prior_season_seed,1331.0
532,Ballard,SUN,5.0,Nailed Starter,0.1033,0.0264,11.0821,1.4692,prior_season_seed,2144.0
447,Botman,NEW,5.0,Regular Starter,0.0849,0.0422,10.5998,1.325,prior_season_seed,1834.0
327,Bijol,LEE,5.0,Regular Starter,0.0429,0.0358,10.4396,1.2394,prior_season_seed,1888.0
535,Alderete,SUN,5.0,Regular Starter,0.0521,0.0293,10.0393,1.2871,prior_season_seed,2797.0
202,Richards,CRY,5.0,Nailed Starter,0.0771,0.0497,9.908,1.3381,prior_season_seed,2825.0
448,Burn,NEW,5.0,Regular Starter,0.0443,0.0148,9.2255,1.4761,prior_season_seed,2195.0
112,Van Hecke,TOT,5.0,Nailed Starter,0.0928,0.044,8.8879,1.2336,prior_season_seed,3210.0
445,Thiaw,NEW,5.0,Nailed Starter,0.1458,0.0292,8.8694,1.5795,prior_season_seed,2963.0
362,Jacquet,LIV,5.0,Nailed Starter,0.04,0.11,8.39,1.3947,career_individual+destination_gc,0.0
418,Maguire,MUN,5.0,Nailed Starter,0.0611,0.0273,8.2414,1.0916,prior_season_seed,1649.0
420,Yoro,MUN,5.0,Regular Starter,0.0697,0.0307,8.1156,1.7168,prior_season_seed,1730.0
449,Hall,NEW,5.0,Regular Starter,0.0418,0.115,7.1553,1.6131,prior_season_seed,2176.0
469,N.Williams,NFO,5.0,Regular Starter,0.0565,0.1116,6.9404,1.3487,prior_season_seed,3203.0
232,O'Brien,EVE,5.0,Regular Starter,0.0482,0.0289,6.6677,1.3278,prior_season_seed,3118.0
149,Colwill,CHE,5.0,Nailed Starter,0.0549,0.0374,6.3143,1.3684,career_fpl_prior_year+destination_gc,0.0
503,Van de Ven,TOT,5.0,Nailed Starter,0.0835,0.0112,6.2743,1.4798,prior_season_seed,3041.0
417,Dalot,MUN,5.0,Nailed Starter,0.0666,0.0887,6.2093,1.3798,prior_season_seed,2609.0
255,J.Cuenca,FUL,4.5,Regular Starter,0.0048,0.051,11.262,1.0588,prior_season_seed,935.0
87,Ajer,BRE,4.5,Regular Starter,0.0344,0.0364,9.5734,1.5956,prior_season_seed,1805.0
332,Justin,LEE,4.5,Regular Starter,0.087,0.0552,8.7005,1.2361,prior_season_seed,1893.0
329,Rodon,LEE,4.5,Nailed Starter,0.0427,0.0171,8.3537,1.6159,prior_season_seed,2952.0
256,Tete,FUL,4.5,Regular Starter,0.0462,0.0734,8.2915,1.2563,prior_season_seed,1791.0
254,Robinson,FUL,4.5,Nailed Starter,0.0648,0.0956,8.2313,1.15,prior_season_seed,1487.0
474,Jair Cunha,NFO,4.5,Regular Starter,0.0473,0.0105,8.2296,1.2257,prior_season_seed,514.0
148,Hato,CHE,4.5,Regular Starter,0.0237,0.0482,7.8227,2.1335,prior_season_seed,1139.0
536,Reinildo,SUN,4.5,Nailed Starter,0.006,0.0284,7.5076,1.236,prior_season_seed,1966.0
473,Aina,NFO,4.5,Regular Starter,0.0233,0.0476,7.3724,1.0775,prior_season_seed,1587.0
206,Chadi Riad,CRY,4.5,Regular Starter,0.054,0.0213,7.3636,1.3091,prior_season_seed,550.0
116,Dunk,BHA,4.5,Nailed Starter,0.0581,0.0178,7.3282,1.2689,prior_season_seed,2837.0
