pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
LIV-MCI-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.3,2,"SUN,SUN","AVL,CHE",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,1.0
AVL-LIV-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.2366,2,"SUN,SUN","CHE,MCI",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,2.0
AVL-MCI-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.2366,2,"SUN,SUN","CHE,LIV",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,3.0
LIV-MCI-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,-0.2,2,"MUN,SUN","AVL,CHE",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,4.0
CHE-LIV-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.1382,2,"SUN,SUN","BOU,EVE",BOU-CHE-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0785,2.423722,True,5.0
CHE-MCI-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.1382,2,"SUN,SUN","AVL,LIV",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,6.0
AVL-LIV-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,-0.1366,2,"MUN,SUN","CHE,MCI",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,7.0
AVL-MCI-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,-0.1366,2,"MUN,SUN","CHE,LIV",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,8.0
AVL-CHE-NFO-SUN-SUN,4,2+1+1+1,2,2.3636,2.4,2.33,-0.0652,2,"SUN,SUN","LIV,MCI",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,9.0
CHE-LIV-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,-0.0382,2,"MUN,SUN","BOU,EVE",BOU-CHE-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0785,2.423722,True,10.0
CHE-MCI-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,-0.0382,2,"MUN,SUN","AVL,LIV",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,11.0
AVL-CHE-MUN-NFO-SUN,5,1+1+1+1+1,1,2.3636,2.4,2.33,0.0348,2,"MUN,SUN","LIV,MCI",AVL-CHE-LIV-MCI-NFO,5,1+1+1+1+1,0,2.4375,100.0,25.0,-0.0529,2.423722,True,12.0
LIV-MUN-MUN-NFO-SUN,4,2+1+1+1,1,2.2727,2.2,2.33,-0.1,2,"MUN,MUN","BOU,CHE",BOU-CHE-LIV-NFO-SUN,5,1+1+1+1+1,1,2.4792,100.0,18.8,-0.0575,2.4407,True,13.0
LIV-MUN-NFO-SUN-SUN,4,2+1+1+1,2,2.2727,2.2,2.33,-0.1,2,"MUN,SUN","BOU,CHE",BOU-CHE-LIV-NFO-SUN,5,1+1+1+1+1,1,2.4792,100.0,18.8,-0.0575,2.4407,True,14.0
LIV-MCI-MUN-MUN-SUN,4,2+1+1+1,1,2.2727,2.4,2.17,-0.3,2,"MUN,MUN","BHA,COV",BHA-COV-LIV-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,25.0,-0.1292,2.4407,True,15.0
