horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,81.54,24.191,81.94,77.43,25.81,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,81.5,24.027,83.49,77.38,25.79,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,81.5,24.38,79.95,78.44,26.15,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,81.49,24.023,83.49,77.37,25.79,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,81.47,24.216,81.5,78.39,26.13,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,81.45,24.213,81.5,78.38,26.13,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,81.43,24.164,81.94,77.35,25.78,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,81.4,24.0,83.49,77.3,25.77,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + O'Nien (SUN) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,81.39,24.154,81.94,77.32,25.77,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + O'Nien (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,81.38,23.997,83.49,77.29,25.76,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + O'Reilly (MCI) + Heaven (MUN) + O'Nien (SUN)
