num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
3,2+2+1,ARS-ARS-BRE-BRE-BHA,ARS,ARS,BRE,BRE,BHA,2.19,2.6,2.02,2.2,2.11,2.1442,-0.0454
3,2+2+1,ARS-ARS-BRE-BRE-CHE,ARS,ARS,BRE,BRE,CHE,2.14,2.6,2.02,2.2,2.11,2.1229,-0.0194
3,2+2+1,ARS-ARS-BRE-BRE-CRY,ARS,ARS,BRE,BRE,CRY,2.14,2.6,2.02,2.2,2.11,2.1246,-0.055
3,2+2+1,ARS-ARS-BRE-BRE-IPS,ARS,ARS,BRE,BRE,IPS,2.11,2.6,2.02,2.2,2.11,2.1111,-0.0069
3,2+2+1,ARS-ARS-BRE-BRE-MUN,ARS,ARS,BRE,BRE,MUN,2.23,2.8,1.87,2.2,2.03,2.1216,-0.2247
3,2+2+1,ARS-ARS-BRE-BHA-BHA,ARS,ARS,BRE,BHA,BHA,2.2,2.6,2.02,2.2,2.11,2.1509,0.0168
4,2+1+1+1,ARS-ARS-BRE-BHA-CHE,ARS,ARS,BRE,BHA,CHE,2.15,2.6,2.02,2.2,2.11,2.1296,0.0565
4,2+1+1+1,ARS-ARS-BRE-BHA-CRY,ARS,ARS,BRE,BHA,CRY,2.16,2.6,2.02,2.2,2.11,2.1313,0.0031
4,2+1+1+1,ARS-ARS-BRE-BHA-IPS,ARS,ARS,BRE,BHA,IPS,2.13,2.6,2.02,2.2,2.11,2.1178,0.0792
4,2+1+1+1,ARS-ARS-BRE-BHA-MUN,ARS,ARS,BRE,BHA,MUN,2.24,2.8,1.87,2.2,2.03,2.1283,-0.2134
3,2+2+1,ARS-ARS-BRE-CHE-CHE,ARS,ARS,BRE,CHE,CHE,2.11,2.6,2.02,2.2,2.11,2.1082,0.1083
4,2+1+1+1,ARS-ARS-BRE-CHE-CRY,ARS,ARS,BRE,CHE,CRY,2.11,2.6,2.02,2.2,2.11,2.11,0.0393
