player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
4,226597,Gabriel,ARS,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2750.0,prior_season_seed,0.0962,0.0573,9.0655,9.0655,0.0,0.6545,Prior-Season Seed 2025/26 (2750m),8.0,1
5,445122,J.Timber,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,exclude_gw1,,1,2452.0,prior_season_seed,0.1729,0.0562,5.4323,5.4323,0.0,0.7341,Prior-Season Seed 2025/26 (2452m),6.5,1
8,466075,Calafiori,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1697.0,prior_season_seed,0.1782,0.0403,5.4095,5.4095,0.0,0.4243,Prior-Season Seed 2025/26 (1697m),5.5,1
10,198869,White,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,,0,0.0,career_individual+destination_gc,0.058,0.089,6.82,6.82,0.0,0.7105,Prior-Season Seed 2025/26 (699m); dest GC ARS=0.711,5.5,1
11,500040,Mosquera,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,986.0,prior_season_seed,0.0091,0.0575,8.6714,8.6714,0.0,0.7302,Prior-Season Seed 2025/26 (986m),5.5,1
31,199798,Konsa,AVL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3035.0,prior_season_seed,0.0377,0.0175,5.8122,5.8122,0.0,1.3048,Prior-Season Seed 2025/26 (3035m),4.5,2
32,199796,Cash,AVL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3016.0,prior_season_seed,0.034,0.0877,5.5504,5.5504,0.0,1.134,Prior-Season Seed 2025/26 (3016m),4.5,2
34,244954,Pau,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1673.0,prior_season_seed,0.0715,0.021,6.0251,6.0251,0.0,1.0221,Prior-Season Seed 2025/26 (1673m),4.5,2
36,441302,Maatsen,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1590.0,prior_season_seed,0.0713,0.1353,7.2453,7.2453,0.0,1.5283,Prior-Season Seed 2025/26 (1590m),4.5,2
113,231416,F.Kadıoğlu,BHA,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3130.0,prior_season_seed,0.0592,0.0952,4.8882,4.8882,0.0,1.1789,Prior-Season Seed 2025/26 (3130m),4.5,5
116,83299,Dunk,BHA,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2837.0,prior_season_seed,0.0581,0.0178,7.3282,7.3282,0.0,1.2689,Prior-Season Seed 2025/26 (2837m),4.5,5
130,467779,Wieffer,BHA,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1901.0,prior_season_seed,0.0909,0.0881,12.7354,12.7354,0.0,1.2309,Prior-Season Seed 2025/26 (1901m),5.0,5
504,610799,Vuskovic,BHA,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.188,0.101,12.46,12.46,0.0,1.2105,2025/26 Bundesliga Hamburger SV; ~2441m; FootyStats; dest GC BHA=1.211,5.0,5
60,463981,Hill,BOU,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2102.0,prior_season_seed,0.0381,0.0497,11.1323,11.1323,0.0,1.0276,Prior-Season Seed 2025/26 (2102m),5.5,3
61,494521,Truffert,BOU,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3378.0,prior_season_seed,0.036,0.0818,8.0195,8.0195,0.0,1.3588,Prior-Season Seed 2025/26 (3378m),5.5,3
64,54469,Smith,BOU,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1073.0,prior_season_seed,0.0,0.0193,5.8714,5.8714,0.0,1.342,Prior-Season Seed 2025/26 (1073m),4.5,3
84,432830,Collins,BRE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2971.0,prior_season_seed,0.0679,0.0518,9.6634,9.6634,0.0,1.3329,Prior-Season Seed 2025/26 (2971m),5.5,4
87,191866,Ajer,BRE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1805.0,prior_season_seed,0.0344,0.0364,9.5734,9.5734,0.0,1.5956,Prior-Season Seed 2025/26 (1805m),4.5,4
88,607464,Kayode,BRE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3258.0,prior_season_seed,0.0354,0.0798,6.0497,6.0497,0.0,1.3536,Prior-Season Seed 2025/26 (3258m),4.5,4
142,225796,James,CHE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1957.0,prior_season_seed,0.0478,0.1472,5.8866,5.8866,0.0,0.9198,Prior-Season Seed 2025/26 (1957m),5.5,6
