player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
1,154561,Raya,ARS,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3330.0,prior_season_seed+defcon_baseline_fill,0.0,0.0019,0.0,0.0,1.6216,0.7027,Prior-Season Seed 2025/26 (3330m); defcon_baseline_fill,6.0,1
28,98980,Martinez,AVL,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2835.0,prior_season_seed+defcon_baseline_fill,0.0,0.0025,0.0,0.0,3.0159,1.2381,Prior-Season Seed 2025/26 (2835m); defcon_baseline_fill,5.0,2
109,489639,Verbruggen,BHA,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3420.0,prior_season_seed+defcon_baseline_fill,0.0,0.0016,0.0,0.0,2.7895,1.2105,Prior-Season Seed 2025/26 (3420m); defcon_baseline_fill,4.5,5
110,472739,Rushworth,COV,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,3.11,1.375,2023/24 Championship Swansea GKP; 4140m; FBref 143 saves/46.0 90s; dest GC COV=1.375,4.5,7
57,457569,Petrović,BOU,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3420.0,prior_season_seed+defcon_baseline_fill,0.0,0.0,0.0,0.0,2.8684,1.4211,Prior-Season Seed 2025/26 (3420m); defcon_baseline_fill,4.5,3
82,200720,Kelleher,BRE,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3330.0,prior_season_seed+defcon_baseline_fill,0.0,0.0059,0.0,0.0,2.9459,1.3243,Prior-Season Seed 2025/26 (3330m); defcon_baseline_fill,5.0,4
140,215059,Sánchez,CHE,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3040.0,prior_season_seed+defcon_baseline_fill,0.0,0.0012,0.0,0.0,2.9013,1.4507,Prior-Season Seed 2025/26 (3040m); defcon_baseline_fill,5.0,6
198,172649,Henderson,CRY,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3330.0,prior_season_seed+defcon_baseline_fill,0.0,0.003,0.0,0.0,2.8649,1.3784,Prior-Season Seed 2025/26 (3330m); defcon_baseline_fill,5.0,8
226,111234,Pickford,EVE,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3420.0,prior_season_seed+defcon_baseline_fill,0.0,0.0053,0.0,0.0,2.6316,1.3158,Prior-Season Seed 2025/26 (3420m); defcon_baseline_fill,5.5,9
250,80201,Leno,FUL,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3420.0,prior_season_seed+defcon_baseline_fill,0.0,0.0005,0.0,0.0,2.5789,1.3421,Prior-Season Seed 2025/26 (3420m); defcon_baseline_fill,4.5,10
564,240514,Scherpen,IPS,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,1.9,1.375,Union SG Belgian Pro League 2025/26; 2835 min; FotMob 60 saves (1.90/90); dest GC IPS=1.375,4.5,12
384,204936,Donnarumma,MCI,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3060.0,prior_season_seed+defcon_baseline_fill,0.0,0.0038,0.0,0.0,2.2941,0.8529,Prior-Season Seed 2025/26 (3060m); defcon_baseline_fill,5.5,15
385,432720,Trafford,LEE,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,3.45,1.4737,"Burnley PL 2023/24 (2520m, 107 saves = 3.82 saves/90); confirmed £45m Leeds #1 GK; dest GC LEE=1.474",5.0,13
412,465247,Lammens,MUN,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2880.0,prior_season_seed+defcon_external_fill,0.0,0.0,0.0,0.0,2.4688,1.2188,Prior-Season Seed 2025/26 (2880m); defcon_external_fill,5.0,16
442,98747,Pope,NEW,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2416.0,prior_season_seed+defcon_baseline_fill,0.006,0.0,0.0,0.0,3.3154,1.4156,Prior-Season Seed 2025/26 (2416m); defcon_baseline_fill,5.0,17
467,85633,Sels,NFO,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2667.0,prior_season_seed+defcon_baseline_fill,0.0,0.002,0.0,0.0,3.2058,1.3161,Prior-Season Seed 2025/26 (2667m); defcon_baseline_fill,5.0,18
529,498016,Roefs,SUN,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3150.0,prior_season_seed+defcon_external_fill,0.0,0.0029,0.0,0.0,3.1143,1.3143,Prior-Season Seed 2025/26 (3150m); defcon_external_fill,5.0,20
496,485055,Kinsky,TOT,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,3.15,1.5,Spurs / Slavia Prague GKP saves (~3.15/90); dest GC TOT=1.500,4.5,19
572,473284,Tzolakis,HUL,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,1.72,1.375,2025/26 Super League Olympiacos GKP; 2880m; FootyMetrics 55 saves (1.72/90); dest GC HUL=1.375,4.5,11
567,470551,Horníček,NEW,GKP,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.0,0.0,0.0,0.0,2.25,1.4474,2025/26 Liga Portugal Braga GKP; 2960m; FootyMetrics/FootyStats 74 saves (2.25/90); dest GC NEW=1.447,5.0,17
