player_id,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,fpl_2025_26_mins,fpl_career_mins,total_mins,rate_source,per90_xg,per90_xa,per90_defcon,per90_saves,per90_goals_conceded,provenance_note
1,Raya,ARS,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3330.0,9630.0,12960.0,fpl_historical_50_50,0.0,0.0016,0.0,1.708,0.7439,50% 2025/26 + 50% 3-season FPL career history blend
4,Gabriel,ARS,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,0.0,8155.0,8155.0,fpl_3season_career_only,0.1117,0.0398,4.8118,0.0,0.7505,100% 3-season FPL career history
6,Saliba,ARS,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,exclude_gw1-5,out_gw1-5_pending_return,2614.0,9073.0,11687.0,fpl_historical_50_50,0.0399,0.0376,5.351,0.0,0.7312,50% 2025/26 + 50% 3-season FPL career history blend
5,J.Timber,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,exclude_gw1,api_unavailable_gw1,2750.0,4937.0,7687.0,fpl_historical_50_50,0.1023,0.0546,7.0211,0.0,0.701,50% 2025/26 + 50% 3-season FPL career history blend
13,Rice,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,0.0,9141.0,9141.0,fpl_3season_career_only,0.1003,0.1777,6.6262,0.0,0.8074,100% 3-season FPL career history
12,Saka,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,late_world_cup_return_gw1,352.0,6864.0,7216.0,fpl_historical_50_50,0.2046,0.2154,4.9825,0.0,1.1866,50% 2025/26 + 50% 3-season FPL career history blend
10,White,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,api_stale_vs_training,697.0,4881.0,5578.0,fpl_historical_50_50,0.0266,0.065,2.8587,0.0,0.9314,50% 2025/26 + 50% 3-season FPL career history blend
11,Mosquera,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,699.0,986.0,1685.0,fpl_historical_50_50,0.0335,0.0732,7.7477,0.0,0.7514,50% 2025/26 + 50% 3-season FPL career history blend
8,Calafiori,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,2452.0,2675.0,5127.0,fpl_historical_50_50,0.1574,0.0525,5.5423,0.0,0.7035,50% 2025/26 + 50% 3-season FPL career history blend
15,Ødegaard,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,0.0,6782.0,6782.0,fpl_3season_career_only,0.1809,0.2719,3.0389,0.0,0.7564,100% 3-season FPL career history
19,Zubimendi,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,1065.0,2991.0,4056.0,fpl_historical_50_50,0.2168,0.0878,7.8724,0.0,0.7142,50% 2025/26 + 50% 3-season FPL career history blend
14,Eze,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,0.0,6527.0,6527.0,fpl_3season_career_only,0.3404,0.1791,4.4676,0.0,1.048,100% 3-season FPL career history
16,Madueke,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,2218.0,4277.0,6495.0,fpl_historical_50_50,0.2942,0.2279,5.8269,0.0,0.9138,50% 2025/26 + 50% 3-season FPL career history blend
25,Gyökeres,ARS,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,165.0,2217.0,2382.0,external_3season_research,0.77,0.24,1.22,0.0,1.1,"External 3-season research: Sporting CP / Arsenal 2023-26 (0.77 xG/90, 0.24 xA/90)"
