player_id,web_name,club_short,position,expected_role,draft_availability,rate_source,provenance_note,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,total_5gw_xp,avg_gw_xp,total_5gw_xmins
411,Haaland,MCI,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2953m) + 50% mean older usable [2023/24,2024/25]",5.25,77.5,5.3,77.5,6.52,77.5,4.21,77.5,6.37,77.5,27.65,5.53,387.5
60,Hill,BOU,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2102 mins),5.69,77.5,4.52,77.5,4.59,77.5,4.49,77.5,5.09,77.5,24.38,4.88,387.5
154,Palmer,CHE,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1954m) + 50% mean older usable [2023/24,2024/25]",4.78,77.5,5.52,77.5,3.54,77.5,5.63,77.5,4.68,77.5,24.14,4.83,387.5
504,Vuskovic,BHA,DEF,Nailed Starter,eligible,external_3season_research,External Westerlo/HSV xG/xA; best-guess CBIT 12.45/90 from HSV Opta (blocks may be shots-only),4.71,77.5,5.1,77.5,4.44,77.5,4.45,77.5,5.08,77.5,23.77,4.75,387.5
4,Gabriel,ARS,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2750m) + 50% mean older usable [2023/24,2024/25]",4.19,77.5,4.9,77.5,4.86,77.5,4.48,77.5,4.5,77.5,22.92,4.58,387.5
426,B.Fernandes,MUN,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3065m) + 50% mean older usable [2023/24,2024/25]",5.07,77.5,5.03,77.5,4.36,77.5,3.84,77.5,4.43,77.5,22.73,4.55,387.5
208,Sarr,CRY,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (2173m) + 50% mean older usable [2024/25],4.38,77.5,3.79,77.5,4.44,77.5,5.03,77.5,4.36,77.5,22.0,4.4,387.5
532,Ballard,SUN,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2144 mins),3.7,77.5,3.7,77.5,4.0,77.5,4.57,77.5,5.24,77.5,21.21,4.24,387.5
379,Isak,LIV,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (694m) + 50% mean older usable [2023/24,2024/25]",4.04,77.5,3.91,77.5,4.69,77.5,4.66,77.5,3.91,77.5,21.2,4.24,387.5
387,O'Reilly,MCI,DEF,Regular Starter,eligible,fpl_recency_50_50,50% 2025/26 (2643m) + 50% mean older usable [2024/25],4.23,62.0,4.24,62.0,4.14,62.0,4.41,62.0,4.11,62.0,21.13,4.23,310.0
