horizon,start_gw,end_gw,club1,gkp1,role1,price1,per90_saves1,per90_goals_conceded1,club2,gkp2,role2,price2,per90_saves2,per90_goals_conceded2,total_price,fdr_corr,avg_fdr1,avg_fdr2,rotated_avg_fdr,expected_cs,foi,fdr_gain,easy_gws,easy_gw_pct,tot_rot_xp,tot_rot_xp_fdr,fdr_selection_loss,xp_gain_vs_best_single,has_promoted_proxy,rqi,oc_rqi
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,9.5,0.0,3.0,3.6667,2.8333,1.84,0.5713,0.1667,1,16.7,36.33,36.33,0.0,0.24,False,58.35,5.761
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,BHA,Verbruggen,Nailed Starter,4.5,2.7895,1.2105,9.5,0.7071,3.0,3.0,2.8333,1.95,0.4862,0.1667,2,33.3,36.78,36.55,0.24,0.69,False,60.89,5.836
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,COV,Rushworth,Regular Starter,4.5,3.11,1.375,9.5,-0.6445,3.0,3.1667,2.3333,2.22,0.5019,0.6667,4,66.7,38.06,38.06,0.0,1.96,True,65.44,6.049
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,FUL,Leno,Nailed Starter,4.5,2.5789,1.3421,9.5,0.0,3.0,3.3333,2.6667,1.98,0.5344,0.3333,2,33.3,36.7,36.7,0.0,0.61,False,60.61,5.822
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,TOT,Kinsky,Regular Starter,4.5,3.15,1.5,9.5,-0.5,3.0,3.0,2.6667,1.97,0.536,0.3333,2,33.3,36.8,36.41,0.4,0.71,False,60.76,5.839
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,IPS,Scherpen,Regular Starter,4.5,1.9,1.375,9.5,0.0,3.0,3.0,2.6667,2.01,0.5107,0.3333,3,50.0,36.27,36.27,0.0,0.18,True,60.29,5.751
gw1_6,1,6,AVL,Martinez,Nailed Starter,5.0,3.0159,1.2381,HUL,Tzolakis,Regular Starter,4.5,1.72,1.375,9.5,-0.4201,3.0,3.1667,2.6667,2.0,0.5265,0.3333,2,33.3,36.71,36.71,0.0,0.62,True,60.78,5.824
gw1_6,1,6,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,BRE,Kelleher,Nailed Starter,5.0,2.9459,1.3243,9.5,0.4339,3.6667,3.1667,3.1667,1.53,0.6054,0.0,1,16.7,34.58,34.03,0.54,0.35,False,52.76,5.469
gw1_6,1,6,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,BHA,Verbruggen,Nailed Starter,4.5,2.7895,1.2105,9.0,0.2739,3.6667,3.0,2.8333,1.88,0.5601,0.1667,2,33.3,36.16,36.16,0.0,0.63,False,63.26,5.879
gw1_6,1,6,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,COV,Rushworth,Regular Starter,4.5,3.11,1.375,9.0,0.3883,3.6667,3.1667,2.8333,1.79,0.592,0.3333,3,50.0,34.59,34.46,0.13,0.57,True,59.72,5.618
gw1_6,1,6,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,CHE,Sánchez,Nailed Starter,5.0,2.9013,1.4507,9.5,0.0,3.6667,3.0,2.6667,1.71,0.6044,0.3333,2,33.3,34.96,34.96,0.0,0.63,False,55.99,5.532
gw1_6,1,6,BOU,Petrović,Nailed Starter,4.5,2.8684,1.4211,CRY,Henderson,Nailed Starter,5.0,2.8649,1.3784,9.5,0.0,3.6667,3.0,2.8333,1.65,0.6017,0.1667,1,16.7,34.8,34.22,0.58,0.61,False,54.91,5.506
