horizon,dcs,oc_score,s_risk,tot_rot_xp,rot_avg_fdr,gkp_pairing,def_lineup,total_price
gw1_19,95.64,27.251,89.1,555.62,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN),35.5
gw1_19,95.64,27.085,89.1,555.16,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Hume (SUN),36.0
gw1_19,95.63,27.174,89.07,556.86,1.89,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Jacquet (LIV),36.0
gw1_19,95.58,27.187,88.94,554.41,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Mingueza (CRY) + O'Nien (SUN),35.5
gw1_19,95.58,27.15,88.94,556.4,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Canvot (CRY) + O'Nien (SUN),36.0
gw1_19,95.57,27.249,88.93,555.58,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN),35.5
gw1_19,95.57,27.412,88.93,555.98,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN),35.0
gw1_19,95.57,27.261,88.93,555.81,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS),35.5
gw1_19,95.57,27.143,88.93,556.27,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Ballard (SUN),36.0
gw1_19,95.55,27.304,88.86,556.63,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO),35.5
gw1_19,95.55,27.148,88.86,556.37,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + N.Williams (NFO),36.0
gw1_19,95.55,27.258,88.86,555.75,1.83,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS),35.5
gw1_19,95.55,27.195,88.88,557.25,1.9,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Jacquet (LIV),36.0
gw1_19,95.54,27.426,88.86,556.24,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS),35.0
gw1_19,95.54,27.172,88.84,556.82,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Ballard (SUN),36.0
gw1_19,95.54,27.2,88.85,554.65,1.84,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN),35.5
gw1_19,95.54,27.262,88.84,555.83,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL),35.5
gw1_19,95.54,27.279,88.84,556.16,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Hume (SUN),35.5
gw1_19,95.54,27.441,88.84,556.53,1.92,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN),35.0
gw1_19,95.52,27.142,88.79,556.26,1.91,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Jacquet (LIV),36.0
