,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19
ARS,1.596852580421199,1.4809803049695807,2.1208693172667936,1.2000000000000002,1.6137044547801482,1.6221549980855419,1.4975708236959018,1.4414710669383242,1.8177678351138953,1.596852580421199,2.087087255771172,2.3522247567800214,2.1086549301153887,1.2105548497305496,2.0881995289781825,1.8435094820002151,1.8271691290588103,1.4599656479162415,1.596852580421199
AVL,3.0110973621290995,4.0199150675895226,3.0406098311342036,2.450355872409664,2.258838973852159,2.8766717060107188,3.894407623260872,4.5166434262598205,2.8433857850688957,3.8510676338128187,2.3146517331853045,3.0406098311342036,2.767852349085526,3.2044100045148327,3.0406098311342036,3.640559113636554,3.1147940635176137,3.5462308080327953,3.1452449485159346
BOU,5.101668035184344,1.8881561722662479,5.273540171127284,1.962389879316493,2.419145512108004,4.9297958992414035,1.5789946158452244,5.214852124707745,2.12483069709703,4.117385656662336,1.6715684152255306,3.688962917799691,2.5064792851082927,2.0916875302434206,4.938179905872766,2.0916875302434206,3.0587650860089095,4.616792985003853,2.0235235204166955
BRE,2.5556718642827594,3.0864350921204293,2.3622979195415272,3.1463057393923304,4.156233231228761,2.7643722998991667,3.6192285603595304,3.041635331920421,2.500795474558896,3.0121129093001384,2.8248274900712302,3.8523664761850984,4.102663422212609,4.609616736804486,2.7251467034106813,2.631453545329998,3.041635331920421,3.041635331920421,3.270371511400688
BHA,2.6292372597810165,3.380256067400145,2.7608693366625863,2.8232036644561425,3.5631441500700873,1.9545698348912408,2.840302486504913,3.149348552591915,3.498105130974471,2.5498041099386892,2.8232036644561425,2.285405196892088,2.920357282719854,2.5945956435713136,2.4533495708444364,2.7178052218552105,2.5294433157416063,2.097330082635748,3.1376094187719072
CHE,2.394380414392527,4.038804883065263,3.205204691084541,3.370431928636048,3.458247166696477,4.407504144167389,2.2519873367184253,2.7525792164723546,3.8910437288067783,1.850203047485134,3.42383703153233,2.456053849308697,3.5223444677046536,3.8980799742476586,3.311319277631483,3.2605961373039083,2.672455048882204,2.672455048882204,2.8341996635865647
COV,3.5980452046426388,3.0,3.7171655467318265,3.594914511179307,2.7570759519446137,2.5227030750923785,2.2286703319079613,2.7819878499405037,2.2646708836976264,2.527998371003869,3.1352163837915707,3.0441865200570146,3.0,3.7996334758704955,2.9022358614642703,3.1032376298106286,3.9844679651781805,2.8145550197281897,3.3465689268987977
CRY,2.4135842791460336,4.572427412586619,2.5661951256325124,3.1040794428899043,2.9064103885004586,2.4806196336992032,2.8364232487104806,2.6102235853031326,2.127803458336958,3.5900294594288367,2.8642236959048333,3.1040794428899043,3.4293698497089022,2.603132782743889,3.58354926184864,1.9829689607160321,4.069564080363374,4.05919576423506,3.706402278044229
EVE,3.305990725119049,3.307545952604614,3.652043290033628,2.375399635909285,3.1634091435063434,3.1975114514254455,4.201500797684257,3.8349302481970824,4.095366937378548,3.1634091435063434,4.137687899370535,3.6586473466159672,2.9060393901165216,2.933521933875114,3.166476079297987,2.9385939762642046,2.388026860173887,4.659822324498603,3.244607086052427
FUL,3.7219999085630686,2.1675632785771732,2.9286909057319583,3.492539459158415,3.235249841929231,3.1308539003213234,2.8023816035850286,3.1308539003213234,2.8454580686419946,2.356525562982087,3.8793007500417938,3.6646663670605246,2.3258804003948192,2.6382645199544714,2.6291524031880584,3.1769677465420334,3.358107430863252,3.6740269452650214,2.877333999209306
HUL,3.463393248575186,3.0,2.9022358614642703,3.5919364691508853,3.8423946243127673,2.7080854261915213,2.6878436163714117,2.8145550197281897,3.0,3.5980452046426388,3.594914511179307,3.363877010792098,2.39744472975512,3.1032376298106286,2.450053234796769,3.7171655467318265,3.4696561658420495,3.0475355420554893,2.0769700671960902
IPS,2.2646708836976264,3.7996334758704955,3.4696561658420495,3.363877010792098,2.527998371003869,2.7819878499405037,3.7171655467318265,2.39744472975512,3.0,3.923091375962924,2.2286703319079613,2.9022358614642703,3.0,3.0441865200570146,2.5227030750923785,2.9708816941559757,2.8145550197281897,3.9844679651781805,3.5980452046426388
LEE,3.1101219120179207,2.610203557038956,3.3513056644269916,2.339541594960595,2.9075832235284853,4.058778004826932,3.211932725951363,2.342927880545258,3.500609892108797,2.2721665142715617,4.051887040472387,2.7821842586943264,4.193151809740558,2.7821842586943264,3.7750999722315006,2.580000934661114,3.0756670902451964,3.3841525945169892,2.5114642146498554
LIV,3.3204257914345643,2.2546502160706456,2.5924659875572567,2.6162895140506306,2.6816793355306174,4.15590698134652,3.3547386175781635,3.380797345936653,3.698851451651948,2.9069122456014296,3.257109638158483,2.1845832644758936,2.1297845301231595,3.103991041913392,2.866020885945602,2.3041252991819148,2.5924659875572567,2.3561473951938954,2.821316614420063
MCI,3.1892501897121335,2.8655163433697632,2.4388293955523768,3.2367151917239596,1.8410486408044497,2.8507724638790592,2.4388293955523768,2.3225946633003107,2.9224610614539666,2.3486132741662593,2.261597915501485,3.0649923600087003,2.4774730879851914,3.306965441062018,3.2391458663711035,2.4388293955523768,3.2731412469362864,2.153473692671648,1.9917539498968502
MUN,2.8334586723183146,2.6332288401253927,2.387659635975828,3.878846515923419,2.538631268214332,2.150516945903121,2.8751922318033527,3.4434657845442596,3.392534512977334,2.5474170570846266,3.1607882494774646,2.4704558166893205,3.629088790242761,2.6332288401253927,3.1771354962803597,3.398304129496003,2.1043402016659365,1.987798894781616,2.8059568335793257
NEW,4.117073231227865,1.7918344912311222,4.6551167365363435,2.4475034850530175,3.5597820369863884,2.411977849183017,3.4437756955794088,2.704532279135507,3.213397951593735,2.161006421585274,4.667007200742056,2.3885669462825097,4.109641691099294,2.687244910490967,2.411977849183017,3.1211808657214557,5.2436947147190995,2.844793561216654,2.8878903997548644
NFO,3.0968413599814895,3.65612712462178,2.4896924373710627,2.9787369758859534,3.048536744440471,3.675036209233453,3.996745528295059,3.277500512750393,4.241196448488849,4.490610899307313,3.39028764096355,4.048932332963879,3.277500512750393,3.653076326817458,2.2690901534008012,2.7518993096095286,4.151100221809702,4.197816783791483,2.826997394376856
TOT,3.5060203432126213,2.6898359354038783,2.489982451985256,2.8875001451555047,3.0945133378007874,3.431541547566092,3.1987544970650736,3.243965321493347,3.3429291689751275,2.749278999791697,3.1987544970650736,1.8757622607274456,2.9662987152591933,4.193686612298003,2.709373077186025,3.0223679171623097,4.183002060419536,3.8330829863997664,3.3570627519195604
