horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,raw_rot_xp,auto_sub_ev,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,all_easy_pct,avg_fdr_corr,num_unique_clubs,allocation_pattern,lineup,def1,def2,def3,def4,def5
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,82.91,18.51,77.59,365.68,353.46,12.21,19.25,2.33,84.2,0.0,-0.0893,5,1+1+1+1+1,Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Mendy (HUL) + Greaves (IPS),Calafiori,Vuskovic,Thomas,Mendy,Greaves
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,81.82,18.533,74.55,366.11,353.46,12.65,19.27,2.35,78.9,0.0,-0.0856,5,1+1+1+1+1,Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Greaves (IPS) + O'Nien (SUN),Calafiori,Vuskovic,Thomas,Greaves,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,81.01,18.442,73.77,364.39,352.8,11.59,19.18,2.36,78.9,0.0,-0.0377,5,1+1+1+1+1,Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Mendy (HUL) + O'Nien (SUN),Calafiori,Vuskovic,Thomas,Mendy,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,78.77,18.214,71.28,360.05,348.45,11.6,18.95,2.37,73.7,0.0,-0.0699,5,1+1+1+1+1,Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + Greaves (IPS) + O'Nien (SUN),Calafiori,Vuskovic,Mendy,Greaves,O'Nien
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,75.91,16.989,80.85,336.77,324.15,12.62,17.72,2.31,89.5,0.0,-0.1071,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Greaves (IPS) + Justin (LEE),Calafiori,De Cuyper,Thomas,Greaves,Justin
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,75.52,16.725,83.45,331.77,320.05,11.71,17.46,2.2,89.5,0.0,-0.1304,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Smith (BOU) + Thomas (COV) + Greaves (IPS),Calafiori,De Cuyper,Smith,Thomas,Greaves
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,75.3,16.665,83.71,330.62,319.01,11.62,17.4,2.3,94.7,0.0,-0.1167,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Mendy (HUL) + Greaves (IPS) + Justin (LEE),Calafiori,De Cuyper,Mendy,Greaves,Justin
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,74.89,16.627,83.22,329.91,318.34,11.57,17.36,2.21,89.5,0.0,-0.1179,5,1+1+1+1+1,Calafiori (ARS) + Smith (BOU) + Thomas (COV) + Greaves (IPS) + Heaven (MUN),Calafiori,Smith,Thomas,Greaves,Heaven
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,74.59,16.733,81.03,331.92,319.75,12.17,17.47,2.29,89.5,0.0,-0.0717,5,1+1+1+1+1,Calafiori (ARS) + De Cuyper (BHA) + Thomas (COV) + Greaves (IPS) + Heaven (MUN),Calafiori,De Cuyper,Thomas,Greaves,Heaven
gw1_19,Band 1: Budget (£20.5m-£22.5m),22.5,74.43,16.933,77.89,335.71,323.26,12.45,17.67,2.32,84.2,0.0,-0.09,5,1+1+1+1+1,Calafiori (ARS) + Thomas (COV) + Greaves (IPS) + Justin (LEE) + Heaven (MUN),Calafiori,Thomas,Greaves,Justin,Heaven
