horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,19,114.39,6.02,5.736,75.05,70.36,2.62,84.2,5.3,-0.0189,0.484,6.22
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,19,113.46,5.97,5.687,74.21,70.36,2.62,84.2,5.3,-0.0189,0.517,5.68
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Petrović (BOU),Martinez,AVL,5.0,Petrović,BOU,4.5,9.5,19,118.74,6.25,5.965,72.78,54.88,2.64,57.9,21.1,0.2143,0.5371,6.18
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kelleher (BRE),Martinez,AVL,5.0,Kelleher,BRE,5.0,10.0,19,116.66,6.14,5.713,66.72,50.52,2.82,52.6,0.0,-0.1094,0.5397,5.59
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sánchez (CHE),Martinez,AVL,5.0,Sánchez,CHE,5.0,10.0,19,115.88,6.1,5.672,71.78,64.93,2.73,73.7,5.3,-0.3649,0.5556,5.73
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,19,116.0,6.11,5.678,67.69,54.43,2.78,63.2,5.3,0.1779,0.5408,5.67
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,19,116.45,6.13,5.844,73.44,61.71,2.76,68.4,0.0,-0.3722,0.5337,5.81
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,19,113.55,5.98,5.692,66.07,49.82,2.91,63.2,0.0,0.3944,0.5429,5.46
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Trafford (LEE),Martinez,AVL,5.0,Trafford,LEE,5.0,10.0,19,115.16,6.06,5.634,71.73,66.45,2.59,73.7,10.5,-0.1037,0.5238,5.85
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Lammens (MUN),Martinez,AVL,5.0,Lammens,MUN,5.0,10.0,19,118.64,6.24,5.817,76.55,70.63,2.63,84.2,5.3,-0.0934,0.4905,6.41
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Pope (NEW),Martinez,AVL,5.0,Pope,NEW,5.0,10.0,19,118.25,6.22,5.797,74.63,66.71,2.67,73.7,5.3,-0.3883,0.5476,5.58
