horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_19,Premium Set & Forget,Single S&F,Raya (ARS) + Fodder (£4.0m),Raya,ARS,6.0,Fodder,-,4.0,10.0,19,136.89,7.2,6.763,94.0,85.0,1.71,100.0,73.7,1.0,0.3288,12.75
gw1_19,Mid-Value Set & Forget,Single S&F,Martinez (AVL) + Fodder (£4.0m),Martinez,AVL,5.0,Fodder,-,4.0,9.0,19,112.76,5.93,5.787,57.01,23.06,3.19,31.6,0.0,1.0,0.7242,5.24
gw1_19,Budget Set & Forget,Single S&F,Verbruggen (BHA) + Fodder (£4.0m),Verbruggen,BHA,4.5,Fodder,-,4.0,8.5,19,114.11,6.01,6.006,73.04,53.78,2.77,73.7,5.3,1.0,0.6687,6.3
gw1_19,Budget Set & Forget,Single S&F,Rushworth (COV) + Fodder (£4.0m),Rushworth,COV,4.5,Fodder,-,4.0,8.5,19,109.61,5.77,5.769,62.11,36.6,3.06,52.6,0.0,1.0,0.7476,4.8
gw1_19,Budget Set & Forget,Single S&F,Petrović (BOU) + Fodder (£4.0m),Petrović,BOU,4.5,Fodder,-,4.0,8.5,19,108.26,5.7,5.698,59.33,32.7,3.23,52.6,21.1,1.0,0.7391,4.96
gw1_19,Mid-Value Set & Forget,Single S&F,Kelleher (BRE) + Fodder (£4.0m),Kelleher,BRE,5.0,Fodder,-,4.0,9.0,19,109.49,5.76,5.615,55.22,25.98,3.18,36.8,0.0,1.0,0.7457,4.83
gw1_19,Mid-Value Set & Forget,Single S&F,Sánchez (CHE) + Fodder (£4.0m),Sánchez,CHE,5.0,Fodder,-,4.0,9.0,19,105.27,5.54,5.393,52.8,29.44,3.14,42.1,5.3,1.0,0.7698,4.37
gw1_19,Mid-Value Set & Forget,Single S&F,Henderson (CRY) + Fodder (£4.0m),Henderson,CRY,5.0,Fodder,-,4.0,9.0,19,107.85,5.68,5.529,57.75,36.0,3.08,52.6,5.3,1.0,0.7459,4.83
gw1_19,Premium Set & Forget,Single S&F,Pickford (EVE) + Fodder (£4.0m),Pickford,EVE,5.5,Fodder,-,4.0,9.5,19,105.97,5.58,5.283,45.47,15.82,3.39,26.3,0.0,1.0,0.7661,4.44
gw1_19,Budget Set & Forget,Single S&F,Leno (FUL) + Fodder (£4.0m),Leno,FUL,4.5,Fodder,-,4.0,8.5,19,106.41,5.6,5.601,58.21,34.08,3.05,47.4,0.0,1.0,0.7388,4.96
gw1_19,Budget Set & Forget,Single S&F,Scherpen (IPS) + Fodder (£4.0m),Scherpen,IPS,4.5,Fodder,-,4.0,8.5,19,100.01,5.26,5.264,54.41,39.0,3.07,57.9,0.0,1.0,0.7474,4.8
gw1_19,Premium Set & Forget,Single S&F,Donnarumma (MCI) + Fodder (£4.0m),Donnarumma,MCI,5.5,Fodder,-,4.0,9.5,19,124.57,6.56,6.262,77.38,53.66,2.67,68.4,10.5,1.0,0.5274,8.98
gw1_19,Mid-Value Set & Forget,Single S&F,Trafford (LEE) + Fodder (£4.0m),Trafford,LEE,5.0,Fodder,-,4.0,9.0,19,109.48,5.76,5.615,58.06,33.09,3.1,47.4,0.0,1.0,0.7725,4.32
gw1_19,Mid-Value Set & Forget,Single S&F,Lammens (MUN) + Fodder (£4.0m),Lammens,MUN,5.0,Fodder,-,4.0,9.0,19,110.76,5.83,5.683,64.73,46.87,2.84,63.2,5.3,1.0,0.678,6.12
gw1_19,Mid-Value Set & Forget,Single S&F,Pope (NEW) + Fodder (£4.0m),Pope,NEW,5.0,Fodder,-,4.0,9.0,19,104.12,5.48,5.333,53.28,33.23,3.2,52.6,5.3,1.0,0.7593,4.57
gw1_19,Mid-Value Set & Forget,Single S&F,Sels (NFO) + Fodder (£4.0m),Sels,NFO,5.0,Fodder,-,4.0,9.0,19,110.82,5.83,5.685,51.78,14.36,3.45,26.3,0.0,1.0,0.7714,4.34
gw1_19,Mid-Value Set & Forget,Single S&F,Roefs (SUN) + Fodder (£4.0m),Roefs,SUN,5.0,Fodder,-,4.0,9.0,19,110.69,5.83,5.679,56.32,26.0,3.29,42.1,0.0,1.0,0.7553,4.65
gw1_19,Budget Set & Forget,Single S&F,Kinsky (TOT) + Fodder (£4.0m),Kinsky,TOT,4.5,Fodder,-,4.0,8.5,19,105.95,5.58,5.576,54.74,26.44,3.16,36.8,5.3,1.0,0.7858,4.07
gw1_19,Budget Set & Forget,Single S&F,Tzolakis (HUL) + Fodder (£4.0m),Tzolakis,HUL,4.5,Fodder,-,4.0,8.5,19,98.27,5.17,5.172,50.48,33.1,3.1,47.4,0.0,1.0,0.752,4.71
gw1_19,Mid-Value Set & Forget,Single S&F,Horníček (NEW) + Fodder (£4.0m),Horníček,NEW,5.0,Fodder,-,4.0,9.0,19,89.63,4.72,4.57,40.21,33.23,3.2,52.6,5.3,1.0,0.7665,4.44
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Verbruggen (BHA),Martinez,AVL,5.0,Verbruggen,BHA,4.5,9.5,19,115.77,6.09,5.799,76.12,70.36,2.62,84.2,5.3,-0.0189,0.484,6.47
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Rushworth (COV),Martinez,AVL,5.0,Rushworth,COV,4.5,9.5,19,114.24,6.01,5.718,69.86,58.17,2.76,63.2,0.0,-0.2518,0.5407,5.64
