wc,fh,tc,total_19gw_xp,n_fts,pre_spend,post_spend
3,6,17,1194.2,7,100.0,100.0
3,19,17,1192.54,7,100.0,100.0
3,12,17,1192.4,11,100.0,99.5
3,18,17,1192.1,11,100.0,100.0
3,9,17,1191.44,9,100.0,99.5
3,15,17,1191.18,9,100.0,99.5
3,2,17,1191.1,9,100.0,99.5
3,8,17,1191.1,9,100.0,99.5
3,10,17,1190.61,7,100.0,99.5
3,13,17,1190.56,9,100.0,99.5
3,17,18,1190.05,6,100.0,99.5
3,7,17,1189.66,7,100.0,99.5
3,14,17,1188.22,7,100.0,99.5
3,11,17,1187.91,7,100.0,99.5
3,4,17,1187.67,10,100.0,100.0
3,16,17,1186.98,7,100.0,99.5
3,5,17,1186.55,9,100.0,100.0
4,19,17,1201.59,6,100.0,100.0
4,6,17,1197.12,7,100.0,100.0
4,12,17,1196.45,9,100.0,100.0
4,18,17,1195.81,4,100.0,100.0
4,15,17,1195.67,5,100.0,100.0
4,2,17,1195.29,7,100.0,100.0
4,8,17,1194.76,7,100.0,100.0
4,13,17,1194.44,7,100.0,100.0
4,10,17,1193.88,9,100.0,100.0
4,3,17,1193.65,7,100.0,100.0
4,5,17,1193.36,7,100.0,100.0
4,9,17,1192.96,7,100.0,99.5
4,16,17,1192.45,7,100.0,100.0
4,17,18,1191.57,6,100.0,99.5
4,7,17,1191.18,7,100.0,99.5
4,14,17,1189.74,5,100.0,99.5
4,11,17,1189.43,5,100.0,99.5
