path,gameweek,out,out_id,in,in_id,approx_gain,bank_after
WC3,4,Tavernier,68,Sarr,208,0.462,2
WC3,6,Sarr,208,Tavernier,68,0.448,3
WC3,6,Walle Egeli,321,Thomas-Asante,194,0.261,2
WC3,9,Tavernier,68,Schade,94,0.199,4
WC3,10,Schade,94,Tavernier,68,0.656,4
WC3,11,Tavernier,68,Schade,94,0.302,4
WC3,13,Schade,94,Tavernier,68,0.394,4
WC3,18,Palmer,154,Sarr,208,0.184,4
WC3,18,Thomas-Asante,194,Thiago,106,0.462,3
WC3,19,Sarr,208,Schade,94,0.15,3
WC4,6,Sarr,208,Tavernier,68,0.448,4
WC4,6,Walle Egeli,321,Thomas-Asante,194,0.261,3
WC4,9,Tavernier,68,Schade,94,0.199,4
WC4,10,Schade,94,Tavernier,68,0.656,4
WC4,11,Tavernier,68,Schade,94,0.302,4
WC4,13,Schade,94,Tavernier,68,0.394,4
WC4,18,Palmer,154,Sarr,208,0.184,4
WC4,18,Thomas-Asante,194,Thiago,106,0.462,3
WC4,19,Sarr,208,Schade,94,0.15,3
