path,gw,xp,captain,chip,squad
WC3,1,80.14,Haaland,BB,pre
WC3,2,61.65,Haaland,,pre
WC3,3,59.31,Haaland,WC,wc
WC3,4,58.93,Haaland,,post
WC3,5,58.63,Haaland,,post
WC3,6,60.33,Haaland,,post
WC3,7,59.73,Haaland,,post
WC3,8,61.71,Haaland,,post
WC3,9,58.02,Haaland,,post
WC3,10,61.57,Haaland,,post
WC3,11,61.94,Haaland,,post
WC3,12,58.49,Isak,FH,fh
WC3,13,59.29,Haaland,,post
WC3,14,62.53,Haaland,,post
WC3,15,58.73,Tzolis,,post
WC3,16,58.37,Haaland,,post
WC3,17,70.91,Haaland,TC,post
WC3,18,63.38,Haaland,,post
WC3,19,59.08,Haaland,,post
WC4,1,79.24,Haaland,BB,pre
WC4,2,61.76,Haaland,,pre
WC4,3,60.65,Haaland,,pre
WC4,4,60.76,Haaland,WC,wc
WC4,5,58.63,Haaland,,post
WC4,6,60.33,Haaland,,post
WC4,7,59.73,Haaland,,post
WC4,8,61.71,Haaland,,post
WC4,9,58.02,Haaland,,post
WC4,10,61.57,Haaland,,post
WC4,11,61.94,Haaland,,post
WC4,12,58.49,Isak,FH,fh
WC4,13,59.29,Haaland,,post
WC4,14,62.53,Haaland,,post
WC4,15,58.73,Tzolis,,post
WC4,16,58.37,Haaland,,post
WC4,17,70.91,Haaland,TC,post
WC4,18,63.38,Haaland,,post
WC4,19,59.08,Haaland,,post
