player_id,web_name,club_short,position,expected_role,draft_availability,cost,per90_defcon,per90_xg,per90_xa,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,gw6_xp,gw6_xmins,total_6gw_xp,gw1_3_xp,gw4_6_xp
411,Haaland,MCI,FWD,Nailed Starter,eligible,15.5,2.1852,0.8293,0.0767,5.54,77.5,5.44,77.5,6.91,77.5,4.15,77.5,6.86,77.5,4.07,77.5,32.98,17.89,15.08
154,Palmer,CHE,MID,Nailed Starter,eligible,9.5,4.314,0.5104,0.1947,4.86,77.5,5.97,77.5,3.01,77.5,6.04,77.5,4.78,77.5,4.8,77.5,29.47,13.84,15.62
504,Vuskovic,BHA,DEF,Nailed Starter,eligible,5.0,12.45,0.185,0.035,4.71,77.5,3.68,77.5,5.81,77.5,5.73,77.5,3.74,77.5,4.61,77.5,28.28,14.2,14.08
426,B.Fernandes,MUN,MID,Nailed Starter,eligible,12.0,6.891,0.3027,0.313,5.52,77.5,5.48,77.5,4.46,77.5,3.59,77.5,4.52,77.5,4.48,77.5,28.06,15.46,12.59
4,Gabriel,ARS,DEF,Nailed Starter,eligible,8.0,6.0467,0.107,0.045,5.3,77.5,3.88,77.5,3.89,77.5,4.52,77.5,4.54,77.5,5.29,77.5,27.42,13.07,14.35
208,Sarr,CRY,MID,Nailed Starter,eligible,6.5,5.9944,0.4061,0.1376,4.38,77.5,3.47,77.5,4.44,77.5,5.41,77.5,4.36,77.5,4.37,77.5,26.43,12.29,14.14
387,O'Reilly,MCI,DEF,Regular Starter,eligible,6.5,4.9856,0.2139,0.1037,4.31,62.0,4.28,62.0,4.99,62.0,3.63,62.0,4.98,62.0,3.61,62.0,25.8,13.58,12.22
379,Isak,LIV,FWD,Nailed Starter,eligible,9.0,2.6713,0.5357,0.0612,4.11,77.5,4.0,77.5,4.87,77.5,4.86,77.5,4.0,77.5,3.22,77.5,25.06,12.98,12.08
532,Ballard,SUN,DEF,Nailed Starter,eligible,5.0,11.0821,0.1033,0.0264,4.97,77.5,5.01,77.5,3.95,77.5,3.26,77.5,2.65,77.5,4.98,77.5,24.82,13.93,10.89
200,Lacroix,CHE,DEF,Nailed Starter,eligible,6.0,10.4083,0.0863,0.0267,4.08,77.5,4.9,77.5,2.8,77.5,4.92,77.5,4.04,77.5,4.05,77.5,24.79,11.78,13.01
60,Hill,BOU,DEF,Nailed Starter,eligible,5.5,11.1323,0.0381,0.0497,3.33,77.5,4.52,77.5,4.59,77.5,4.49,77.5,3.85,77.5,3.85,77.5,24.63,12.44,12.19
237,Ndiaye,EVE,MID,Nailed Starter,eligible,6.0,9.4948,0.2237,0.0966,3.97,77.5,3.96,77.5,3.47,77.5,3.99,77.5,4.61,77.5,4.63,77.5,24.62,11.4,13.23
366,Wirtz,LIV,MID,Nailed Starter,eligible,7.5,6.6723,0.2589,0.1949,4.01,77.5,3.93,77.5,4.64,77.5,4.63,77.5,3.93,77.5,3.29,77.5,24.45,12.58,11.85
165,João Pedro,CHE,FWD,Nailed Starter,eligible,7.5,3.4463,0.4887,0.1203,4.01,77.5,4.75,77.5,2.69,77.5,4.82,77.5,3.94,77.5,3.96,77.5,24.18,11.45,12.72
384,Donnarumma,MCI,GKP,Nailed Starter,eligible,5.5,0.0,0.0,0.0038,4.02,77.5,3.98,77.5,4.56,77.5,3.54,77.5,4.55,77.5,3.49,77.5,24.14,12.56,11.58
106,Thiago,BRE,FWD,Nailed Starter,eligible,8.0,5.8684,0.5649,0.0502,4.18,77.5,4.14,77.5,4.98,77.5,4.14,77.5,3.33,77.5,3.38,77.5,24.13,13.3,10.85
1,Raya,ARS,GKP,Nailed Starter,eligible,6.0,0.0,0.0,0.0015,4.56,77.5,3.52,77.5,3.53,77.5,3.97,77.5,3.99,77.5,4.55,77.5,24.11,11.61,12.51
