squad_label,player_id,web_name,club_short,position,cost,expected_role,is_starter,per90_defcon,per90_xg,per90_xa,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,gw6_xp,gw6_xmins
"GW1 Draft (BB1, min 1 LIV)",411,Haaland,MCI,FWD,15.5,Nailed Starter,True,2.1852,0.8293,0.0767,5.54,77.5,5.44,77.5,6.91,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",504,Vuskovic,BHA,DEF,5.0,Nailed Starter,True,12.45,0.185,0.035,4.71,77.5,3.68,77.5,5.81,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",208,Sarr,CRY,MID,6.5,Nailed Starter,True,5.9944,0.4061,0.1376,4.38,77.5,3.47,77.5,4.44,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",387,O'Reilly,MCI,DEF,6.5,Regular Starter,True,4.9856,0.2139,0.1037,4.31,62.0,4.28,62.0,4.99,62.0,,,,,,
"GW1 Draft (BB1, min 1 LIV)",379,Isak,LIV,FWD,9.0,Nailed Starter,True,2.6713,0.5357,0.0612,4.11,77.5,4.0,77.5,4.87,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",532,Ballard,SUN,DEF,5.0,Nailed Starter,True,11.0821,0.1033,0.0264,4.97,77.5,5.01,77.5,3.95,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",237,Ndiaye,EVE,MID,6.0,Nailed Starter,False,9.4948,0.2237,0.0966,3.97,77.5,3.96,77.5,3.47,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",384,Donnarumma,MCI,GKP,5.5,Nailed Starter,True,0.0,0.0,0.0038,4.02,77.5,3.98,77.5,4.56,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",106,Thiago,BRE,FWD,8.0,Nailed Starter,True,5.8684,0.5649,0.0502,4.18,77.5,4.14,77.5,4.98,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",535,Alderete,SUN,DEF,5.0,Nailed Starter,True,10.0393,0.0521,0.0293,4.73,77.5,4.76,77.5,3.82,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",94,Schade,BRE,MID,6.0,Nailed Starter,True,6.2921,0.3648,0.0681,4.03,77.5,4.0,77.5,4.71,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",562,Maeda,IPS,MID,5.5,Regular Starter,False,7.69,0.455,0.175,4.64,62.0,3.16,62.0,3.1,62.0,,,,,,
"GW1 Draft (BB1, min 1 LIV)",542,E.Le Fée,SUN,MID,6.0,Nailed Starter,True,9.7986,0.1603,0.1828,4.41,77.5,4.46,77.5,3.75,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",412,Lammens,MUN,GKP,5.0,Nailed Starter,False,0.0,0.0,0.0,4.21,77.5,4.19,77.5,3.46,77.5,,,,,,
"GW1 Draft (BB1, min 1 LIV)",418,Maguire,MUN,DEF,5.0,Nailed Starter,False,6.1638,0.0804,0.0301,4.32,77.5,4.3,77.5,3.42,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",411,Haaland,MCI,FWD,15.5,Nailed Starter,True,2.1852,0.8293,0.0767,5.54,77.5,5.44,77.5,6.91,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",154,Palmer,CHE,MID,9.5,Nailed Starter,True,4.314,0.5104,0.1947,4.86,77.5,5.97,77.5,3.01,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",504,Vuskovic,BHA,DEF,5.0,Nailed Starter,True,12.45,0.185,0.035,4.71,77.5,3.68,77.5,5.81,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",387,O'Reilly,MCI,DEF,6.5,Regular Starter,True,4.9856,0.2139,0.1037,4.31,62.0,4.28,62.0,4.99,62.0,,,,,,
"GW2 Draft (BB2, min 1 LIV)",532,Ballard,SUN,DEF,5.0,Nailed Starter,True,11.0821,0.1033,0.0264,4.97,77.5,5.01,77.5,3.95,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",366,Wirtz,LIV,MID,7.5,Nailed Starter,True,6.6723,0.2589,0.1949,4.01,77.5,3.93,77.5,4.64,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",384,Donnarumma,MCI,GKP,5.5,Nailed Starter,True,0.0,0.0,0.0038,4.02,77.5,3.98,77.5,4.56,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",106,Thiago,BRE,FWD,8.0,Nailed Starter,True,5.8684,0.5649,0.0502,4.18,77.5,4.14,77.5,4.98,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",535,Alderete,SUN,DEF,5.0,Nailed Starter,True,10.0393,0.0521,0.0293,4.73,77.5,4.76,77.5,3.82,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",94,Schade,BRE,MID,6.0,Nailed Starter,True,6.2921,0.3648,0.0681,4.03,77.5,4.0,77.5,4.71,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",542,E.Le Fée,SUN,MID,6.0,Nailed Starter,True,9.7986,0.1603,0.1828,4.41,77.5,4.46,77.5,3.75,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",412,Lammens,MUN,GKP,5.0,Nailed Starter,False,0.0,0.0,0.0,4.21,77.5,4.19,77.5,3.46,77.5,,,,,,
"GW2 Draft (BB2, min 1 LIV)",173,Thomas,COV,DEF,4.0,Regular Starter,False,9.102,0.091,0.043,2.32,62.0,4.12,62.0,2.31,62.0,,,,,,
"GW2 Draft (BB2, min 1 LIV)",193,Wright,COV,FWD,5.5,Regular Starter,False,5.279,0.57,0.11,2.29,62.0,4.16,62.0,2.28,62.0,,,,,,
"GW2 Draft (BB2, min 1 LIV)",188,Torp,COV,MID,5.5,Regular Starter,False,11.05,0.185,0.205,2.62,62.0,3.85,62.0,2.6,62.0,,,,,,
"WC4 Option 1 (Unconstrained, min 3 LIV)",411,Haaland,MCI,FWD,15.5,Nailed Starter,True,2.1852,0.8293,0.0767,,,,,,,4.15,77.5,6.86,77.5,4.07,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",154,Palmer,CHE,MID,9.5,Nailed Starter,True,4.314,0.5104,0.1947,,,,,,,6.04,77.5,4.78,77.5,4.8,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",504,Vuskovic,BHA,DEF,5.0,Nailed Starter,True,12.45,0.185,0.035,,,,,,,5.73,77.5,3.74,77.5,4.61,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",4,Gabriel,ARS,DEF,8.0,Nailed Starter,True,6.0467,0.107,0.045,,,,,,,4.52,77.5,4.54,77.5,5.29,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",208,Sarr,CRY,MID,6.5,Nailed Starter,True,5.9944,0.4061,0.1376,,,,,,,5.41,77.5,4.36,77.5,4.37,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",200,Lacroix,CHE,DEF,6.0,Nailed Starter,True,10.4083,0.0863,0.0267,,,,,,,4.92,77.5,4.04,77.5,4.05,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",237,Ndiaye,EVE,MID,6.0,Nailed Starter,True,9.4948,0.2237,0.0966,,,,,,,3.99,77.5,4.61,77.5,4.63,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",1,Raya,ARS,GKP,6.0,Nailed Starter,True,0.0,0.0,0.0015,,,,,,,3.97,77.5,3.99,77.5,4.55,77.5
"WC4 Option 1 (Unconstrained, min 3 LIV)",445,Thiaw,NEW,DEF,5.0,Nailed Starter,True,8.8694,0.1458,0.0292,,,,,,,3.71,77.5,4.94,77.5,4.76,77.5
