player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note
1,154561,Raya,ARS,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,9630.0,fpl_recency_50_50+defcon_baseline_fill,0.0,0.0015,0.0,0.0,1.736,0.7625,"50% latest>=900 2025/26 (3330m) + 50% mean other usable [2023/24(2880m),2024/25(3420m)]; defcon_baseline_fill"
4,226597,Gabriel,ARS,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,8155.0,fpl_recency_50_50,0.107,0.045,7.5607,7.5607,0.0,0.7291,"50% latest>=900 2025/26 (2750m) + 50% mean other usable [2023/24(3042m),2024/25(2363m)]"
6,462424,Saliba,ARS,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,exclude_gw1-5,out_gw1-5_pending_return,3,9073.0,fpl_recency_50_50,0.0443,0.0362,6.5209,6.5209,0.0,0.7498,"50% latest>=900 2025/26 (2614m) + 50% mean other usable [2023/24(3420m),2024/25(3039m)]"
5,445122,J.Timber,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,exclude_gw1,api_unavailable_gw1,2,4867.0,fpl_recency_50_50,0.1094,0.0523,5.0453,5.0453,0.0,0.7584,50% latest>=900 2025/26 (2452m) + 50% mean other usable [2024/25(2415m)]
13,204480,Rice,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,9141.0,fpl_recency_50_50,0.0984,0.187,10.2047,10.2047,0.0,0.7902,"50% latest>=900 2025/26 (3093m) + 50% mean other usable [2023/24(3225m),2024/25(2823m)]"
12,223340,Saka,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,late_world_cup_return_gw1,3,6864.0,fpl_recency_50_50,0.3618,0.3307,6.5521,6.5521,0.0,0.8066,"50% latest>=900 2025/26 (2218m) + 50% mean other usable [2023/24(2922m),2024/25(1724m)]"
10,198869,White,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,api_stale_vs_training,3,4881.0,fpl_recency_50_50,0.0414,0.0987,6.4999,6.4999,0.0,0.8785,"50% latest>=900 2024/25 (1195m) + 50% mean other usable [2023/24(2987m),2025/26(699m)]"
11,500040,Mosquera,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,1,986.0,fpl_single_usable_season,0.0091,0.0575,8.6714,8.6714,0.0,0.7302,"100% latest-eligible 2025/26 (986 mins, floor>=900)"
8,466075,Calafiori,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,2,2675.0,fpl_recency_50_50,0.1287,0.0519,5.7416,5.7416,0.0,0.7643,50% latest>=900 2025/26 (1697m) + 50% mean other usable [2024/25(978m)]
15,184029,Ødegaard,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,3,6782.0,fpl_recency_50_50,0.143,0.2591,5.8299,5.8299,0.0,0.7998,"50% latest>=900 2025/26 (1363m) + 50% mean other usable [2023/24(3098m),2024/25(2321m)]"
19,481655,Zubimendi,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,1,2991.0,fpl_single_usable_season,0.0855,0.0683,9.2377,9.2377,0.0,0.7523,"100% latest-eligible 2025/26 (2991 mins, floor>=900)"
14,232413,Eze,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,3,6527.0,fpl_recency_50_50,0.3139,0.1661,6.4119,6.4119,0.0,0.9365,"50% latest>=900 2025/26 (1885m) + 50% mean other usable [2023/24(2054m),2024/25(2588m)]"
16,248857,Madueke,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,3,4277.0,fpl_recency_50_50,0.2068,0.1844,5.4765,5.4765,0.0,1.0562,"50% latest>=900 2025/26 (1205m) + 50% mean other usable [2023/24(1044m),2024/25(2028m)]"
25,224117,Gyökeres,ARS,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,1,2217.0,fpl_single_usable_season,0.4977,0.0788,3.4506,3.4506,0.0,0.5683,"100% latest-eligible 2025/26 (2217 mins, floor>=900)"
18,444145,Martinelli,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,5359.0,fpl_recency_50_50,0.3155,0.1556,5.6572,5.6572,0.0,0.8418,"50% latest>=900 2025/26 (1065m) + 50% mean other usable [2023/24(2010m),2024/25(2284m)]"
9,448104,Hincapie,ARS,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,1,1787.0,fpl_single_usable_season,0.0181,0.0841,8.6122,8.6122,0.0,0.9569,"100% latest-eligible 2025/26 (1787 mins, floor>=900)"
557,439509,Tzolis,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,0,0.0,external_3season_research,0.32,0.18,2.8,2.8,0.0,1.25,External best-guess: Tzolis Club Brugge/PAOK wing rates → FPL MID proxy
26,219847,Havertz,ARS,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,5076.0,fpl_recency_50_50,0.464,0.0979,4.8755,4.8755,0.0,0.8252,"50% latest>=900 2024/25 (1872m) + 50% mean other usable [2023/24(2627m),2025/26(577m)]"
28,98980,Martinez,AVL,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,9045.0,fpl_recency_50_50+defcon_baseline_fill,0.0,0.0015,0.0,0.0,2.9211,1.3082,"50% latest>=900 2025/26 (2835m) + 50% mean other usable [2023/24(3015m),2024/25(3195m)]; defcon_baseline_fill"
31,199798,Konsa,AVL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,9040.0,fpl_recency_50_50,0.0475,0.0208,5.6036,5.6036,0.0,1.3931,"50% latest>=900 2025/26 (3035m) + 50% mean other usable [2023/24(3069m),2024/25(2936m)]"
32,199796,Cash,AVL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,7223.0,fpl_recency_50_50,0.0686,0.0832,5.9289,5.9289,0.0,1.1851,"50% latest>=900 2025/26 (3016m) + 50% mean other usable [2023/24(2138m),2024/25(2069m)]"
47,226944,Kamara,AVL,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,watch,api_doubt_gw1,3,4783.0,fpl_recency_50_50,0.0294,0.0566,10.2495,10.2495,0.0,1.066,"50% latest>=900 2025/26 (1410m) + 50% mean other usable [2023/24(1653m),2024/25(1720m)]"
55,178301,Watkins,AVL,FWD,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,8648.0,fpl_recency_50_50,0.4927,0.0648,2.8468,2.8468,0.0,1.3418,"50% latest>=900 2025/26 (2833m) + 50% mean other usable [2023/24(3222m),2024/25(2593m)]"
34,244954,Pau,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,6154.0,fpl_recency_50_50,0.0502,0.0218,5.598,5.598,0.0,1.217,"50% latest>=900 2025/26 (1673m) + 50% mean other usable [2023/24(2462m),2024/25(2019m)]"
36,441302,Maatsen,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,2,2715.0,fpl_recency_50_50,0.0705,0.1648,6.4626,6.4626,0.0,1.4042,50% latest>=900 2025/26 (1590m) + 50% mean other usable [2024/25(1125m)]
37,184667,Lindelöf,AVL,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,3,2965.0,fpl_recency_50_50,0.0251,0.015,6.1408,6.1408,0.0,1.279,"50% latest>=900 2025/26 (942m) + 50% mean other usable [2023/24(1328m),2024/25(695m)]"
45,122806,McGinn,AVL,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,7353.0,fpl_recency_50_50,0.1322,0.1514,6.4686,6.4686,0.0,1.3399,"50% latest>=900 2025/26 (2136m) + 50% mean other usable [2023/24(3000m),2024/25(2217m)]"
46,88894,Barkley,AVL,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,4027.0,fpl_recency_50_50,0.1804,0.0976,9.8979,9.8979,0.0,1.932,"50% latest>=900 2023/24 (2616m) + 50% mean other usable [2024/25(567m),2025/26(844m)]"
41,195546,Buendía,AVL,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,1,1753.0,fpl_single_usable_season,0.1735,0.1145,10.1141,10.1141,0.0,1.2322,"100% latest-eligible 2025/26 (1753 mins, floor>=900)"
53,614071,Manzambi,AVL,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,0,0.0,fallback_baseline,0.15,0.15,3.1,3.1,0.0,1.37,Position baseline (MID); no usable FPL season and no external package
54,448089,Gomes,AVL,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,8450.0,fpl_recency_50_50,0.0582,0.068,11.8584,11.8584,0.0,1.7707,"50% latest>=900 2025/26 (2829m) + 50% mean other usable [2023/24(2646m),2024/25(2975m)]"
160,493105,Garnacho,AVL,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,3,6013.0,fpl_recency_50_50,0.2711,0.1844,5.8449,5.8449,0.0,1.4262,"50% latest>=900 2025/26 (1261m) + 50% mean other usable [2023/24(2564m),2024/25(2188m)]"
30,101188,Digne,AVL,DEF,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,none,3,6595.0,fpl_recency_50_50,0.0333,0.1508,6.172,6.172,0.0,1.2904,"50% latest>=900 2025/26 (1842m) + 50% mean other usable [2023/24(2405m),2024/25(2348m)]"
44,215711,Bailey,AVL,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,none,3,3645.0,fpl_recency_50_50,0.1624,0.2673,7.861,7.861,0.0,1.5543,"50% latest>=900 2024/25 (1132m) + 50% mean other usable [2023/24(2063m),2025/26(450m)]"
42,485337,Guessand,AVL,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,none,1,909.0,fpl_single_usable_season,0.1545,0.0842,8.2178,8.2178,0.0,1.4851,"100% latest-eligible 2025/26 (909 mins, floor>=900)"
57,457569,Petrović,BOU,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,2,5406.0,fpl_recency_50_50+defcon_baseline_fill,0.0,0.0,0.0,0.0,3.1336,1.5716,50% latest>=900 2025/26 (3420m) + 50% mean other usable [2023/24(1986m)]; defcon_baseline_fill
60,463981,Hill,BOU,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,1,2102.0,fpl_single_usable_season,0.0381,0.0497,11.1323,11.1323,0.0,1.0276,"100% latest-eligible 2025/26 (2102 mins, floor>=900)"
61,494521,Truffert,BOU,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,1,3378.0,fpl_single_usable_season,0.036,0.0818,8.0195,8.0195,0.0,1.3588,"100% latest-eligible 2025/26 (3378 mins, floor>=900)"
69,503139,Scott,BOU,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,4596.0,fpl_recency_50_50,0.1005,0.1004,12.3809,12.3809,0.0,1.4503,"50% latest>=900 2025/26 (2848m) + 50% mean other usable [2023/24(1003m),2024/25(745m)]"
