player_id,web_name,club_short,position,expected_role,draft_availability,rate_source,provenance_note,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,total_5gw_xp,avg_gw_xp,total_5gw_xmins
411,Haaland,MCI,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2953m) + 50% mean older usable [2023/24,2024/25]",5.55,77.5,5.44,77.5,6.91,77.5,4.16,77.5,6.87,77.5,28.93,5.79,387.5
154,Palmer,CHE,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1954m) + 50% mean older usable [2023/24,2024/25]",4.86,77.5,5.97,77.5,3.01,77.5,6.04,77.5,4.78,77.5,24.66,4.93,387.5
504,Vuskovic,BHA,DEF,Nailed Starter,eligible,external_3season_research,External Westerlo/HSV xG/xA; best-guess CBIT 12.45/90 from HSV Opta (blocks may be shots-only),4.71,77.5,3.68,77.5,5.8,77.5,5.73,77.5,3.74,77.5,23.66,4.73,387.5
426,B.Fernandes,MUN,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3065m) + 50% mean older usable [2023/24,2024/25]",5.52,77.5,5.48,77.5,4.46,77.5,3.59,77.5,4.52,77.5,23.58,4.72,387.5
387,O'Reilly,MCI,DEF,Regular Starter,eligible,fpl_recency_50_50,50% 2025/26 (2643m) + 50% mean older usable [2024/25],4.31,62.0,4.28,62.0,4.99,62.0,3.64,62.0,4.98,62.0,22.2,4.44,310.0
4,Gabriel,ARS,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2750m) + 50% mean older usable [2023/24,2024/25]",5.3,77.5,3.88,77.5,3.89,77.5,4.52,77.5,4.54,77.5,22.14,4.43,387.5
208,Sarr,CRY,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (2173m) + 50% mean older usable [2024/25],4.38,77.5,3.47,77.5,4.44,77.5,5.41,77.5,4.36,77.5,22.05,4.41,387.5
379,Isak,LIV,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (694m) + 50% mean older usable [2023/24,2024/25]",4.11,77.5,4.0,77.5,4.87,77.5,4.86,77.5,4.0,77.5,21.84,4.37,387.5
366,Wirtz,LIV,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2374 mins),4.01,77.5,3.93,77.5,4.64,77.5,4.63,77.5,3.93,77.5,21.15,4.23,387.5
60,Hill,BOU,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2102 mins),3.33,77.5,4.52,77.5,4.59,77.5,4.49,77.5,3.85,77.5,20.78,4.16,387.5
106,Thiago,BRE,FWD,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3282 mins),4.17,77.5,4.13,77.5,4.98,77.5,4.14,77.5,3.33,77.5,20.74,4.15,387.5
200,Lacroix,CHE,DEF,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (3085m) + 50% mean older usable [2024/25],4.08,77.5,4.9,77.5,2.8,77.5,4.92,77.5,4.04,77.5,20.73,4.15,387.5
384,Donnarumma,MCI,GKP,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3060 mins),4.02,77.5,3.98,77.5,4.56,77.5,3.54,77.5,4.55,77.5,20.66,4.13,387.5
165,João Pedro,CHE,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2658m) + 50% mean older usable [2023/24,2024/25]",4.01,77.5,4.75,77.5,2.69,77.5,4.82,77.5,3.94,77.5,20.21,4.04,387.5
94,Schade,BRE,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (2744m) + 50% mean older usable [2024/25],4.02,77.5,3.99,77.5,4.71,77.5,4.0,77.5,3.31,77.5,20.03,4.01,387.5
237,Ndiaye,EVE,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (2781m) + 50% mean older usable [2024/25],3.97,77.5,3.96,77.5,3.47,77.5,3.98,77.5,4.61,77.5,19.99,4.0,387.5
532,Ballard,SUN,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2144 mins),4.97,77.5,5.01,77.5,3.95,77.5,3.26,77.5,2.65,77.5,19.84,3.97,387.5
346,Calvert-Lewin,LEE,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2721m) + 50% mean older usable [2023/24,2024/25]",3.72,77.5,3.76,77.5,3.74,77.5,4.71,77.5,3.8,77.5,19.73,3.95,387.5
1,Raya,ARS,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3330m) + 50% mean older usable [2023/24,2024/25]",4.56,77.5,3.52,77.5,3.53,77.5,3.97,77.5,3.99,77.5,19.57,3.91,387.5
55,Watkins,AVL,FWD,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2833m) + 50% mean older usable [2023/24,2024/25]",3.87,77.5,3.14,77.5,4.77,77.5,3.91,77.5,3.86,77.5,19.55,3.91,387.5
356,Virgil,LIV,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3420m) + 50% mean older usable [2023/24,2024/25]",3.6,77.5,3.55,77.5,4.4,77.5,4.4,77.5,3.55,77.5,19.51,3.9,387.5
