scenario,phase,player_id,web_name,club_short,position,cost,expected_role,gw1_xp,gw2_xp,gw3_xp,gw4_xp,gw5_xp,gw6_xp,is_starter_gw1,is_starter_gw2,is_starter_gw3,is_starter_gw4,is_starter_gw5,is_starter_gw6
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),4,Gabriel,ARS,DEF,8.0,Nailed Starter,5.91,4.54,4.52,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),504,Vuskovic,BHA,DEF,5.0,Nailed Starter,5.2,4.1,6.23,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),379,Isak,LIV,FWD,9.0,Nailed Starter,4.77,4.74,5.88,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),426,B.Fernandes,MUN,MID,12.0,Nailed Starter,5.81,5.73,4.72,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),130,Wieffer,BHA,DEF,5.0,Nailed Starter,4.69,3.8,5.56,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),557,Tzolis,ARS,MID,6.5,Regular Starter,5.32,3.52,3.5,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),388,Guéhi,MCI,DEF,6.0,Nailed Starter,4.33,4.31,5.17,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),532,Ballard,SUN,DEF,5.0,Nailed Starter,4.87,4.93,3.92,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),1,Raya,ARS,GKP,6.0,Nailed Starter,4.6,3.59,3.57,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),94,Schade,BRE,MID,6.0,Nailed Starter,4.14,4.08,4.88,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),384,Donnarumma,MCI,GKP,5.5,Nailed Starter,3.94,3.9,4.5,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),106,Thiago,BRE,FWD,8.0,Nailed Starter,4.07,4.01,4.87,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),95,O.Dango,BRE,MID,6.5,Nailed Starter,4.01,3.97,4.7,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),562,Maeda,IPS,MID,5.5,Regular Starter,4.48,3.06,3.03,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),346,Calvert-Lewin,LEE,FWD,6.0,Nailed Starter,3.77,3.74,3.67,0.0,0.0,0.0,True,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),4,Gabriel,ARS,DEF,8.0,Nailed Starter,0.0,0.0,0.0,5.15,5.15,5.85,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),504,Vuskovic,BHA,DEF,5.0,Nailed Starter,0.0,0.0,0.0,6.21,4.17,5.08,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),411,Haaland,MCI,FWD,15.5,Nailed Starter,0.0,0.0,0.0,3.86,6.36,3.85,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),379,Isak,LIV,FWD,9.0,Nailed Starter,0.0,0.0,0.0,5.92,4.69,3.6,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),130,Wieffer,BHA,DEF,5.0,Nailed Starter,0.0,0.0,0.0,5.54,3.86,4.6,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),154,Palmer,CHE,MID,9.5,Nailed Starter,0.0,0.0,0.0,5.41,4.42,4.41,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),557,Tzolis,ARS,MID,6.5,Regular Starter,0.0,0.0,0.0,4.33,4.32,5.21,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),208,Sarr,CRY,MID,6.5,Nailed Starter,0.0,0.0,0.0,5.14,4.21,4.27,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),229,Tarkowski,EVE,DEF,6.0,Nailed Starter,0.0,0.0,0.0,4.01,4.86,4.88,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),1,Raya,ARS,GKP,6.0,Nailed Starter,0.0,0.0,0.0,4.03,4.02,4.55,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),445,Thiaw,NEW,DEF,5.0,Nailed Starter,0.0,0.0,0.0,3.62,4.72,4.65,False,False,False,True,True,True
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),110,Rushworth,COV,GKP,4.5,Regular Starter,0.0,0.0,0.0,3.37,2.82,3.39,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),321,Walle Egeli,IPS,FWD,4.5,Regular Starter,0.0,0.0,0.0,2.71,2.71,3.12,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),289,Crooks,HUL,MID,4.5,Regular Starter,0.0,0.0,0.0,2.43,2.71,2.69,False,False,False,False,False,False
GW1 BB + WC4,GW4-6 Post-WC (WC4 Rebuild),290,Slater,HUL,MID,4.5,Regular Starter,0.0,0.0,0.0,2.38,2.59,2.57,False,False,False,False,False,False
