scenario_id,scenario,bb_chip,mid_chip,wc4_option,ban_haaland_pre,ban_bruno_pre,tc_captain,gw1_xp,gw2_xp,gw3_xp,gw1_3_xp,gw4_xp,gw5_xp,gw6_xp,gw4_6_xp,total_6gw_xp,pre_spend,post_spend,itb_gw6,gw5_transfers,banked_fts_gw6
S1,S1: BB1 + FH3 + WC4 Opt1 | H=allow | B=allow,GW1,FH3,Opt1,False,False,,68.07,50.52,56.4,174.99,52.26,51.49,48.66,152.41,327.4,99.5,99.5,0.5,0,4
S2,S2: BB1 + FH3 + WC4 Opt1 | H=allow | B=ban,GW1,FH3,Opt1,False,True,,68.07,50.52,56.4,174.99,52.26,51.49,48.66,152.41,327.4,99.5,99.5,0.5,0,4
S3,S3: BB1 + FH3 + WC4 Opt1 | H=ban | B=allow,GW1,FH3,Opt1,True,False,,68.07,50.52,56.4,174.99,52.26,51.49,48.66,152.41,327.4,99.5,99.5,0.5,0,4
S4,S4: BB1 + FH3 + WC4 Opt1 | H=ban | B=ban,GW1,FH3,Opt1,True,True,,68.07,50.52,56.4,174.99,52.26,51.49,48.66,152.41,327.4,99.5,99.5,0.5,0,4
S5,S5: BB1 + TC3 + WC4 Opt1 | H=allow | B=allow,GW1,TC3,Opt1,False,False,Haaland,67.12,48.74,67.15,183.01,52.26,51.49,48.66,152.41,335.42,100.0,99.5,0.5,0,4
S6,S6: BB1 + TC3 + WC4 Opt1 | H=allow | B=ban,GW1,TC3,Opt1,False,True,Haaland,67.12,48.74,67.15,183.01,52.26,51.49,48.66,152.41,335.42,100.0,99.5,0.5,0,4
S7,S7: BB1 + TC3 + WC4 Opt1 | H=ban | B=allow,GW1,TC3,Opt1,True,False,Vuskovic,66.91,49.4,62.35,178.66,52.26,51.49,48.66,152.41,331.07,99.5,99.5,0.5,0,4
S8,S8: BB1 + TC3 + WC4 Opt1 | H=ban | B=ban,GW1,TC3,Opt1,True,True,Vuskovic,66.91,49.4,62.35,178.66,52.26,51.49,48.66,152.41,331.07,99.5,99.5,0.5,0,4
S9,S9: BB2 + FH3 + WC4 Opt1 | H=allow | B=allow,GW2,FH3,Opt1,False,False,,50.97,67.17,56.4,174.54,52.26,51.49,48.66,152.41,326.95,100.0,99.5,0.5,0,4
S10,S10: BB2 + FH3 + WC4 Opt1 | H=allow | B=ban,GW2,FH3,Opt1,False,True,,50.97,67.17,56.4,174.54,52.26,51.49,48.66,152.41,326.95,100.0,99.5,0.5,0,4
S11,S11: BB2 + FH3 + WC4 Opt1 | H=ban | B=allow,GW2,FH3,Opt1,True,False,,50.6,66.97,56.4,173.97,52.26,51.49,48.66,152.41,326.38,100.0,99.5,0.5,0,4
S12,S12: BB2 + FH3 + WC4 Opt1 | H=ban | B=ban,GW2,FH3,Opt1,True,True,,50.6,66.97,56.4,173.97,52.26,51.49,48.66,152.41,326.38,100.0,99.5,0.5,0,4
S13,S13: BB2 + TC3 + WC4 Opt1 | H=allow | B=allow,GW2,TC3,Opt1,False,False,Haaland,50.26,65.71,66.47,182.44,52.26,51.49,48.66,152.41,334.85,100.0,99.5,0.5,0,4
S14,S14: BB2 + TC3 + WC4 Opt1 | H=allow | B=ban,GW2,TC3,Opt1,False,True,Haaland,50.26,65.71,66.47,182.44,52.26,51.49,48.66,152.41,334.85,100.0,99.5,0.5,0,4
S15,S15: BB2 + TC3 + WC4 Opt1 | H=ban | B=allow,GW2,TC3,Opt1,True,False,Vuskovic,50.2,65.42,62.69,178.31,52.26,51.49,48.66,152.41,330.72,99.0,99.5,0.5,0,4
S16,S16: BB2 + TC3 + WC4 Opt1 | H=ban | B=ban,GW2,TC3,Opt1,True,True,Vuskovic,50.2,65.42,62.69,178.31,52.26,51.49,48.66,152.41,330.72,99.0,99.5,0.5,0,4
