player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,xp_per_m_season,n_gameweeks,in_s13,in_s5,in_s1,in_wc4_core,in_user
382,Danns,LIV,FWD,Out of Contention,exclude_gw1,4.5,0.1,2.16,18.5,0.5,10.528,0.3,2.5,0.4,10.624,0.48000000000000004,38,False,False,False,False,False
441,Obi,MUN,FWD,Out of Contention,not_role_eligible,4.5,1.2,2.22,19.0,0.5,10.5278,0.35,3.0,0.5,10.6071,0.4933333333333334,38,False,False,False,False,False
225,Uche,CRY,FWD,Out of Contention,not_role_eligible,5.0,0.0,2.22,19.0,0.5,10.5011,0.35,3.0,0.5,10.5225,0.44400000000000006,38,False,False,False,False,False
349,Mateo Joseph,LEE,FWD,Out of Contention,exclude_gw1,4.5,0.4,2.16,18.5,0.5,10.4868,0.29,2.5,0.4,10.4413,0.48000000000000004,38,False,False,False,False,False
197,Bassette,COV,FWD,Out of Contention,not_role_eligible,4.5,0.7,2.21,19.0,0.5,10.4744,0.35,3.0,0.5,10.4718,0.4911111111111111,38,False,False,False,False,False
452,Bruno G.,NEW,MID,Out of Contention,not_role_eligible,7.0,8.2,2.14,19.0,0.5,10.1502,0.34,3.0,0.5,10.2424,0.3057142857142857,38,False,False,False,False,False
513,Xavi,TOT,MID,Out of Contention,exclude_gw1-5,6.0,0.0,1.84,16.5,0.4,10.0099,0.05,0.5,0.1,9.6915,0.3066666666666667,38,False,False,False,False,False
139,Ferguson,BHA,FWD,Out of Contention,exclude_gw1-5,5.0,0.0,1.83,16.5,0.4,9.9825,0.06,0.5,0.1,10.009,0.366,38,False,False,False,False,True
410,Monga,MCI,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.9095,0.33,3.0,0.5,9.9,0.418,38,False,False,False,False,False
409,Mukasa,MCI,MID,Out of Contention,not_role_eligible,4.5,0.1,2.09,19.0,0.5,9.9095,0.33,3.0,0.5,9.9,0.46444444444444444,38,False,False,False,False,False
23,Fábio Vieira,ARS,MID,Out of Contention,not_role_eligible,5.5,0.0,2.09,19.0,0.5,9.9095,0.33,3.0,0.5,9.9,0.37999999999999995,38,False,False,False,False,False
407,Echeverri,MCI,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.9095,0.33,3.0,0.5,9.9,0.418,38,False,False,False,False,False
376,Bajcetic,LIV,MID,Out of Contention,exclude_gw1,5.0,0.0,2.04,18.5,0.5,9.9032,0.28,2.5,0.4,9.96,0.40800000000000003,38,False,False,False,False,False
375,Nyoni,LIV,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.9032,0.33,3.0,0.5,9.95,0.418,38,False,False,False,False,False
378,McConnell,LIV,MID,Out of Contention,not_role_eligible,4.5,0.2,2.09,19.0,0.5,9.9032,0.33,3.0,0.5,9.95,0.46444444444444444,38,False,False,False,False,False
437,Bendito Mantato,MUN,MID,Out of Contention,not_role_eligible,4.5,0.2,2.09,19.0,0.5,9.9032,0.33,3.0,0.5,9.95,0.46444444444444444,38,False,False,False,False,False
438,Fletcher,MUN,MID,Out of Contention,not_role_eligible,4.5,0.3,2.09,19.0,0.5,9.9032,0.33,3.0,0.5,9.95,0.46444444444444444,38,False,False,False,False,False
381,Koumas,LIV,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.9032,0.33,3.0,0.5,9.95,0.418,38,False,False,False,False,False
49,Iling Jr,AVL,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.8953,0.33,3.0,0.5,9.9,0.418,38,False,False,False,False,False
517,Odobert,TOT,MID,Out of Contention,exclude_gw1-5,5.5,0.0,1.81,16.5,0.4,9.8946,0.05,0.5,0.1,9.6125,0.3290909090909091,38,False,False,False,False,False
521,Kulusevski,TOT,MID,Out of Contention,exclude_gw1-5,6.5,0.0,1.81,16.5,0.4,9.8921,0.05,0.5,0.1,9.6108,0.2784615384615385,38,False,False,False,False,False
524,Olusesi,TOT,MID,Out of Contention,not_role_eligible,4.5,0.9,2.09,19.0,0.5,9.8874,0.33,3.0,0.5,9.9,0.46444444444444444,38,False,False,False,False,False
550,Jocelin.T,SUN,MID,Out of Contention,not_role_eligible,5.0,0.0,2.09,19.0,0.5,9.8795,0.33,3.0,0.5,9.91,0.418,38,False,False,False,False,False
135,Yohanna,BHA,MID,Out of Contention,not_role_eligible,5.0,0.1,2.09,19.0,0.5,9.8795,0.33,3.0,0.5,9.9,0.418,38,False,False,False,False,False
291,Matazo,HUL,MID,Out of Contention,exclude_gw1-5,4.5,0.0,1.81,16.5,0.4,9.8764,0.06,0.5,0.1,9.9,0.40222222222222226,38,False,False,False,False,True
