player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
4,Gabriel,ARS,DEF,Nailed Starter,eligible,8.0,25.7,197.12,2945.0,77.5,6.0242,31.09,465.0,77.5,6.0183,38
411,Haaland,MCI,FWD,Nailed Starter,eligible,15.5,75.1,196.85,2945.0,77.5,6.0159,30.88,465.0,77.5,5.9766,38
504,Vuskovic,BHA,DEF,Nailed Starter,eligible,5.0,2.8,194.95,2945.0,77.5,5.9577,31.08,465.0,77.5,6.0152,38
426,B.Fernandes,MUN,MID,Nailed Starter,eligible,12.0,48.7,183.6,2945.0,77.5,5.611,29.97,465.0,77.5,5.8006,38
130,Wieffer,BHA,DEF,Nailed Starter,eligible,5.0,0.3,176.45,2945.0,77.5,5.3924,28.12,465.0,77.5,5.4422,38
8,Calafiori,ARS,DEF,Regular Starter,eligible,5.5,14.5,173.62,2356.0,62.0,6.6322,27.38,372.0,62.0,6.6231,38
154,Palmer,CHE,MID,Nailed Starter,eligible,9.5,12.9,172.56,2945.0,77.5,5.2733,27.44,465.0,77.5,5.3109,38
60,Hill,BOU,DEF,Nailed Starter,eligible,5.5,1.3,169.99,2945.0,77.5,5.1951,24.42,465.0,77.5,4.7267,38
557,Tzolis,ARS,MID,Regular Starter,eligible,6.5,1.4,165.9,2356.0,62.0,6.3373,26.13,372.0,62.0,6.3213,38
334,Muharemović,LEE,DEF,Nailed Starter,eligible,5.0,1.1,162.6,2945.0,77.5,4.9691,25.25,465.0,77.5,4.8862,38
208,Sarr,CRY,MID,Nailed Starter,eligible,6.5,10.5,162.57,2945.0,77.5,4.9683,25.84,465.0,77.5,5.0011,38
94,Schade,BRE,MID,Nailed Starter,eligible,6.0,2.3,157.45,2945.0,77.5,4.8118,24.22,465.0,77.5,4.6872,38
106,Thiago,BRE,FWD,Nailed Starter,eligible,8.0,15.9,155.43,2945.0,77.5,4.75,23.82,465.0,77.5,4.6107,38
1,Raya,ARS,GKP,Nailed Starter,eligible,6.0,30.4,154.22,2945.0,77.5,4.7129,24.35,465.0,77.5,4.712,38
229,Tarkowski,EVE,DEF,Nailed Starter,eligible,6.0,9.8,154.09,2945.0,77.5,4.7091,25.35,465.0,77.5,4.9059,38
