horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,94.1,26.617,89.08,455.47,28.47,1.91,100.0,0.456,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,94.0,26.585,89.16,454.95,28.43,1.92,100.0,0.4457,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,93.91,26.586,88.91,454.97,28.44,1.9,100.0,0.4784,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Greaves (IPS)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,93.88,26.618,88.52,455.49,28.47,1.9,100.0,0.5303,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Ajayi (HUL)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,93.5,26.628,87.48,455.64,28.48,1.91,96.9,0.4628,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Greaves (IPS)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.47,26.459,89.08,455.22,28.45,1.91,100.0,0.456,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Hume (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.44,26.478,88.81,455.52,28.47,1.91,100.0,0.4921,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.4,26.429,89.22,454.74,28.42,1.91,100.0,0.4378,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.38,26.476,88.68,455.49,28.47,1.9,100.0,0.5088,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Justin (LEE)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.36,26.423,89.16,454.65,28.42,1.92,100.0,0.4457,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.36,26.459,88.81,455.22,28.45,1.83,100.0,0.4918,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.34,26.496,88.39,455.81,28.49,1.89,100.0,0.5486,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Justin (LEE)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.32,26.447,88.83,455.03,28.44,1.92,100.0,0.4897,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Aina (NFO)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.31,26.426,89.02,454.69,28.42,1.82,100.0,0.4639,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.29,26.429,88.93,454.74,28.42,1.91,100.0,0.4756,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.25,26.432,88.8,454.79,28.42,1.89,100.0,0.4931,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,93.25,26.465,88.49,455.31,28.46,1.91,100.0,0.5349,Premium Set & Forget,Raya (ARS) + Fodder (£4.0m),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Castagne (FUL)
