horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_3,Premium Set & Forget,Single S&F,Raya (ARS) + Fodder (£4.0m),Raya,ARS,6.0,Fodder,-,4.0,10.0,3,22.04,7.35,6.92,94.0,85.0,1.73,100.0,66.7,1.0,0.3322,2.0
gw4_19,Premium Set & Forget,Single S&F,Raya (ARS) + Fodder (£4.0m),Raya,ARS,6.0,Fodder,-,4.0,10.0,16,115.67,7.23,6.803,94.0,85.0,1.71,100.0,75.0,1.0,0.3282,10.75
gw1_19,Premium Set & Forget,Single S&F,Raya (ARS) + Fodder (£4.0m),Raya,ARS,6.0,Fodder,-,4.0,10.0,19,137.72,7.25,6.821,94.0,85.0,1.71,100.0,73.7,1.0,0.3288,12.75
full_season,Premium Set & Forget,Single S&F,Raya (ARS) + Fodder (£4.0m),Raya,ARS,6.0,Fodder,-,4.0,10.0,38,276.78,7.28,6.857,94.0,85.0,1.67,100.0,81.6,1.0,0.3215,25.78
gw1_3,Mid-Value Set & Forget,Single S&F,Martinez (AVL) + Fodder (£4.0m),Martinez,AVL,5.0,Fodder,-,4.0,9.0,3,17.55,5.85,5.709,47.78,3.33,3.36,0.0,0.0,1.0,0.7453,0.76
gw4_19,Mid-Value Set & Forget,Single S&F,Martinez (AVL) + Fodder (£4.0m),Martinez,AVL,5.0,Fodder,-,4.0,9.0,16,96.05,6.0,5.861,59.74,26.76,3.16,37.5,0.0,1.0,0.7203,4.48
gw1_19,Mid-Value Set & Forget,Single S&F,Martinez (AVL) + Fodder (£4.0m),Martinez,AVL,5.0,Fodder,-,4.0,9.0,19,113.6,5.98,5.837,57.85,23.06,3.19,31.6,0.0,1.0,0.7242,5.24
full_season,Mid-Value Set & Forget,Single S&F,Martinez (AVL) + Fodder (£4.0m),Martinez,AVL,5.0,Fodder,-,4.0,9.0,38,227.08,5.98,5.833,57.69,22.8,3.2,31.6,0.0,1.0,0.7257,10.42
gw1_3,Budget Set & Forget,Single S&F,Verbruggen (BHA) + Fodder (£4.0m),Verbruggen,BHA,4.5,Fodder,-,4.0,8.5,3,16.76,5.59,5.587,63.06,46.79,2.92,66.7,0.0,1.0,0.69,0.93
gw4_19,Budget Set & Forget,Single S&F,Verbruggen (BHA) + Fodder (£4.0m),Verbruggen,BHA,4.5,Fodder,-,4.0,8.5,16,89.21,5.58,5.575,66.19,55.09,2.75,75.0,6.2,1.0,0.6647,5.37
gw1_19,Budget Set & Forget,Single S&F,Verbruggen (BHA) + Fodder (£4.0m),Verbruggen,BHA,4.5,Fodder,-,4.0,8.5,19,105.97,5.58,5.577,65.69,53.78,2.77,73.7,5.3,1.0,0.6687,6.3
full_season,Budget Set & Forget,Single S&F,Verbruggen (BHA) + Fodder (£4.0m),Verbruggen,BHA,4.5,Fodder,-,4.0,8.5,38,210.63,5.54,5.543,62.01,46.04,2.88,63.2,2.6,1.0,0.6805,12.14
gw1_3,Budget Set & Forget,Single S&F,Rushworth (COV) + Fodder (£4.0m),Rushworth,COV,4.5,Fodder,-,4.0,8.5,3,16.32,5.44,5.44,60.54,46.79,2.92,66.7,0.0,1.0,0.7353,0.79
