player_id,web_name,club_id,price,total_cost,total_pts,pts_per_million,tier
1,Raya,1,6.2,10.2,162,15.88,Premium (£5.4m+)
101,Kelleher,5,4.8,8.8,143,16.25,Budget/Mid (£4.5m-£5.1m)
670,Roefs,17,4.8,8.8,136,15.45,Budget/Mid (£4.5m-£5.1m)
287,Pickford,9,5.6,9.6,135,14.06,Premium (£5.4m+)
736,Donnarumma,13,5.6,9.6,135,14.06,Premium (£5.4m+)
253,Henderson,8,5.1,9.1,131,14.4,Budget/Mid (£4.5m-£5.1m)
139,Verbruggen,6,4.6,8.6,130,15.12,Budget/Mid (£4.5m-£5.1m)
67,Petrović,4,4.6,8.6,124,14.42,Budget/Mid (£4.5m-£5.1m)
314,Leno,10,5.0,9.0,122,13.56,Budget/Mid (£4.5m-£5.1m)
32,Martinez,2,5.0,9.0,120,13.33,Budget/Mid (£4.5m-£5.1m)
220,Sánchez,7,4.8,8.8,113,12.84,Budget/Mid (£4.5m-£5.1m)
733,Lammens,14,5.1,9.1,109,11.98,Budget/Mid (£4.5m-£5.1m)
502,Sels,16,4.6,8.6,105,12.21,Budget/Mid (£4.5m-£5.1m)
470,Dúbravka,3,4.0,8.0,96,12.0,Budget/Mid (£4.5m-£5.1m)
469,Pope,15,5.0,9.0,96,10.67,Budget/Mid (£4.5m-£5.1m)
366,A.Becker,12,5.4,9.4,91,9.68,Premium (£5.4m+)
565,Vicario,18,4.7,8.7,90,10.34,Budget/Mid (£4.5m-£5.1m)
679,Hermansen,19,4.2,8.2,76,9.27,Budget/Mid (£4.5m-£5.1m)
341,Darlow,11,4.0,8.0,71,8.88,Budget/Mid (£4.5m-£5.1m)
628,José Sá,20,4.2,8.2,68,8.29,Budget/Mid (£4.5m-£5.1m)
600,Areola,19,4.2,8.2,51,6.22,Budget/Mid (£4.5m-£5.1m)
665,Perri,11,4.4,8.4,43,5.12,Budget/Mid (£4.5m-£5.1m)
