plan_phase,owned,snapshot,player_id,web_name,club_short,position,cost,expected_role
pre-WC,True,live,411,Haaland,MCI,FWD,15.5,Nailed Starter
pre-WC,True,live,4,Gabriel,ARS,DEF,8.0,Nailed Starter
pre-WC,True,live,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
pre-WC,True,live,557,Tzolis,ARS,MID,6.5,Regular Starter
pre-WC,True,live,8,Calafiori,ARS,DEF,5.5,Regular Starter
pre-WC,True,live,379,Isak,LIV,FWD,9.0,Nailed Starter
pre-WC,True,live,130,Wieffer,BHA,DEF,5.0,Nailed Starter
pre-WC,True,live,388,Guéhi,MCI,DEF,6.0,Nailed Starter
pre-WC,True,live,68,Tavernier,BOU,MID,6.0,Nailed Starter
pre-WC,True,live,94,Schade,BRE,MID,6.0,Nailed Starter
pre-WC,True,live,384,Donnarumma,MCI,GKP,5.5,Nailed Starter
pre-WC,True,live,69,Scott,BOU,MID,6.0,Nailed Starter
pre-WC,True,live,562,Maeda,IPS,MID,5.5,Regular Starter
pre-WC,True,live,346,Calvert-Lewin,LEE,FWD,6.0,Nailed Starter
pre-WC,True,live,109,Verbruggen,BHA,GKP,4.5,Nailed Starter
WC rebuild,True,live,411,Haaland,MCI,FWD,15.5,Nailed Starter
WC rebuild,True,live,4,Gabriel,ARS,DEF,8.0,Nailed Starter
WC rebuild,True,live,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
WC rebuild,True,live,557,Tzolis,ARS,MID,6.5,Regular Starter
WC rebuild,True,live,8,Calafiori,ARS,DEF,5.5,Regular Starter
WC rebuild,True,live,379,Isak,LIV,FWD,9.0,Nailed Starter
WC rebuild,True,live,154,Palmer,CHE,MID,9.5,Nailed Starter
WC rebuild,True,live,130,Wieffer,BHA,DEF,5.0,Nailed Starter
WC rebuild,True,live,388,Guéhi,MCI,DEF,6.0,Nailed Starter
WC rebuild,True,live,208,Sarr,CRY,MID,6.5,Nailed Starter
WC rebuild,True,live,384,Donnarumma,MCI,GKP,5.5,Nailed Starter
WC rebuild,True,live,289,Crooks,HUL,MID,4.5,Regular Starter
WC rebuild,True,live,321,Walle Egeli,IPS,FWD,4.5,Regular Starter
WC rebuild,True,live,290,Slater,HUL,MID,4.5,Regular Starter
WC rebuild,True,live,572,Tzolakis,HUL,GKP,4.5,Regular Starter
FH snapshot,False,rebuild_at_deadline,4,Gabriel,ARS,DEF,8.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,426,B.Fernandes,MUN,MID,12.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,8,Calafiori,ARS,DEF,5.5,Regular Starter
FH snapshot,False,rebuild_at_deadline,379,Isak,LIV,FWD,9.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,154,Palmer,CHE,MID,9.5,Nailed Starter
FH snapshot,False,rebuild_at_deadline,130,Wieffer,BHA,DEF,5.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,1,Raya,ARS,GKP,6.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,68,Tavernier,BOU,MID,6.0,Nailed Starter
FH snapshot,False,rebuild_at_deadline,208,Sarr,CRY,MID,6.5,Nailed Starter
FH snapshot,False,rebuild_at_deadline,165,João Pedro,CHE,FWD,7.5,Nailed Starter
FH snapshot,False,rebuild_at_deadline,244,Armstrong,EVE,MID,5.0,Regular Starter
FH snapshot,False,rebuild_at_deadline,31,Konsa,AVL,DEF,4.5,Regular Starter
FH snapshot,False,rebuild_at_deadline,572,Tzolakis,HUL,GKP,4.5,Regular Starter
FH snapshot,False,rebuild_at_deadline,249,Barry,EVE,FWD,5.5,Regular Starter
