gw,chip,formation,captain,week_xp,xi_xp,plan_phase,fh_15_status,bench
1,BB,BB-15,Haaland,79.24,71.79,pre-WC,owned,
2,,5-3-2,Haaland,61.76,54.91,pre-WC,owned,"Calvert-Lewin, Verbruggen, Maeda, Scott"
3,,5-3-2,Haaland,60.65,54.7,pre-WC,owned,"Calvert-Lewin, Verbruggen, Maeda, Tzolis"
4,WC,5-3-2,Haaland,60.76,54.83,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
5,,5-3-2,Haaland,59.24,52.89,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
6,,5-3-2,Haaland,61.94,55.61,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
7,,5-3-2,Haaland,60.64,54.73,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
8,,5-3-2,Haaland,61.61,54.69,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
9,,5-3-2,Haaland,56.62,51.1,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
10,,5-3-2,Haaland,62.24,55.33,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
11,,5-3-2,Haaland,61.8,55.61,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
12,FH,4-4-2,Isak,58.49,53.05,fh-snapshot,rebuild_at_deadline,"Konsa, Barry, Tzolakis, Armstrong"
13,,5-3-2,Haaland,61.03,54.59,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
14,,5-3-2,Haaland,62.8,56.02,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
15,,5-3-2,Tzolis,59.61,53.78,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
16,,5-3-2,Haaland,59.27,53.3,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
17,TC,5-3-2,Haaland,70.88,55.6,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
18,,5-3-2,Haaland,64.87,57.77,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
19,,5-3-2,Haaland,58.69,53.12,WC rebuild,owned,"Walle Egeli, Tzolakis, Crooks, Slater"
