player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note
4,226597,Gabriel,ARS,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2750.0,prior_season_seed,0.0962,0.0573,9.0655,9.0655,0.0,0.6545,Prior-Season Seed 2025/26 (2750m)
5,445122,J.Timber,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,exclude_gw1,,1,2452.0,prior_season_seed,0.1729,0.0562,5.4323,5.4323,0.0,0.7341,Prior-Season Seed 2025/26 (2452m)
6,462424,Saliba,ARS,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,exclude_gw1-5,,1,2614.0,prior_season_seed,0.0303,0.0417,6.645,6.645,0.0,0.6886,Prior-Season Seed 2025/26 (2614m)
8,466075,Calafiori,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1697.0,prior_season_seed,0.1782,0.0403,5.4095,5.4095,0.0,0.4243,Prior-Season Seed 2025/26 (1697m)
9,448104,Hincapie,ARS,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,1,1787.0,prior_season_seed,0.0181,0.0841,8.6122,8.6122,0.0,0.9569,Prior-Season Seed 2025/26 (1787m)
10,198869,White,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,,0,0.0,career_individual+destination_gc,0.058,0.089,6.82,6.82,0.0,0.7105,Prior-Season Seed 2025/26 (699m); dest GC ARS=0.711
11,500040,Mosquera,ARS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,986.0,prior_season_seed,0.0091,0.0575,8.6714,8.6714,0.0,0.7302,Prior-Season Seed 2025/26 (986m)
25,224117,Gyökeres,ARS,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2217.0,prior_season_seed,0.4977,0.0788,3.4506,3.4506,0.0,0.5683,Prior-Season Seed 2025/26 (2217m)
26,219847,Havertz,ARS,FWD,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,0,0.0,career_individual+destination_gc,0.516,0.1,4.99,4.99,0.0,0.7105,Prior-Season Seed 2025/26 (577m); dest GC ARS=0.711
27,205651,G.Jesus,ARS,FWD,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.3839,0.1996,0.0,0.0,0.0,0.7105,Older FPL 2023/24 (1470m); destination GC overlay; dest GC ARS=0.711
1,154561,Raya,ARS,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3330.0,prior_season_seed+defcon_baseline_fill,0.0,0.0019,0.0,0.0,1.6216,0.7027,Prior-Season Seed 2025/26 (3330m); defcon_baseline_fill
2,109745,Arrizabalaga,ARS,GKP,Out of Contention,0.0,0.05,0.95,45.0,10.0,not_role_eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.0019,0.001,0.0,0.0,3.129,0.7105,Older FPL 2024/25 (2790m); destination GC overlay; dest GC ARS=0.711
3,437495,Meslier,ARS,GKP,Out of Contention,0.0,0.05,0.95,45.0,10.0,not_role_eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.0035,0.0003,0.0,0.0,2.7647,0.7105,Older FPL 2022/23 (3060m); destination GC overlay; dest GC ARS=0.711
7,499169,Lewis-Skelly,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.013,0.026,3.23,3.23,0.0,0.7105,Prior-Season Seed 2025/26 (697m); dest GC ARS=0.711
12,223340,Saka,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,,1,2218.0,prior_season_seed,0.3072,0.2905,7.4662,7.4662,0.0,0.6492,Prior-Season Seed 2025/26 (2218m)
13,204480,Rice,ARS,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3093.0,prior_season_seed,0.0917,0.213,10.9408,10.9408,0.0,0.7274,Prior-Season Seed 2025/26 (3093m)
14,232413,Eze,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,1,1885.0,prior_season_seed,0.2473,0.127,5.7294,5.7294,0.0,0.6684,Prior-Season Seed 2025/26 (1885m)
15,184029,Ødegaard,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,1,1363.0,prior_season_seed,0.0825,0.241,6.7351,6.7351,0.0,0.8584,Prior-Season Seed 2025/26 (1363m)
16,248857,Madueke,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1205.0,prior_season_seed,0.0919,0.2136,5.2282,5.2282,0.0,0.6722,Prior-Season Seed 2025/26 (1205m)
17,195384,Merino,ARS,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,1,1024.0,prior_season_seed,0.2953,0.1274,9.9316,9.9316,0.0,0.8789,Prior-Season Seed 2025/26 (1024m)
18,444145,Martinelli,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,1,1065.0,prior_season_seed,0.3482,0.1073,6.507,6.507,0.0,0.6761,Prior-Season Seed 2025/26 (1065m)
19,481655,Zubimendi,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,1,2991.0,prior_season_seed,0.0855,0.0683,9.2377,9.2377,0.0,0.7523,Prior-Season Seed 2025/26 (2991m)
20,616077,Dowman,ARS,MID,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,,0,0.0,career_individual+destination_gc,0.2418,0.1568,4.1727,4.1727,0.0,0.7105,2025/26 PL Arsenal MID; 153m THIN; FotMob; U18 2024/25 no Opta; thin-sample shrink w=0.17 toward MID baseline; dest GC ARS=0.711
21,128295,Nørgaard,EVE,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.135,0.044,12.9255,12.9255,0.0,1.3158,Older FPL 2024/25 (2820m); destination GC overlay; dest GC EVE=1.316
22,499175,Nwaneri,ARS,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.15,0.15,3.1,3.1,0.0,0.7105,Position baseline (MID); dest GC ARS=0.711; no Prior-Season Seed and no Career Individual Rate
23,438098,Fábio Vieira,ARS,MID,Out of Contention,0.0,0.05,0.95,45.0,10.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.15,0.15,3.1,3.1,0.0,0.7105,Position baseline (MID); dest GC ARS=0.711; no Prior-Season Seed and no Career Individual Rate
24,200641,Nelson,ARS,MID,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.15,0.15,3.1,3.1,0.0,0.7105,Position baseline (MID); dest GC ARS=0.711; no Prior-Season Seed and no Career Individual Rate
557,439509,Tzolis,ARS,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.417,0.467,6.06,6.06,0.0,0.7105,2025/26 Belgian Pro League Club Brugge; ~3072m; FotMob; dest GC ARS=0.711
30,101188,Digne,AVL,DEF,Cameo,0.1,0.35,0.55,60.0,15.0,exclude_gw1,,1,1842.0,prior_season_seed,0.0327,0.1603,5.5212,5.5212,0.0,1.1238,Prior-Season Seed 2025/26 (1842m)
31,199798,Konsa,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3035.0,prior_season_seed,0.0377,0.0175,5.8122,5.8122,0.0,1.3048,Prior-Season Seed 2025/26 (3035m)
32,199796,Cash,AVL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3016.0,prior_season_seed,0.034,0.0877,5.5504,5.5504,0.0,1.134,Prior-Season Seed 2025/26 (3016m)
33,149484,Mings,AVL,DEF,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,1,1322.0,prior_season_seed,0.0885,0.0286,7.2844,7.2844,0.0,1.5658,Prior-Season Seed 2025/26 (1322m)
34,244954,Pau,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1673.0,prior_season_seed,0.0715,0.021,6.0251,6.0251,0.0,1.0221,Prior-Season Seed 2025/26 (1673m)
36,441302,Maatsen,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1590.0,prior_season_seed,0.0713,0.1353,7.2453,7.2453,0.0,1.5283,Prior-Season Seed 2025/26 (1590m)
37,184667,Lindelöf,AVL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,942.0,prior_season_seed,0.0268,0.0096,5.1592,5.1592,0.0,1.4331,Prior-Season Seed 2025/26 (942m)
38,606798,A.García,AVL,DEF,Cameo,0.1,0.35,0.55,60.0,15.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.06,0.06,4.25,4.25,0.0,1.2895,Position baseline (DEF); dest GC AVL=1.289; no Prior-Season Seed and no Career Individual Rate
39,578545,Nedeljkovic,AVL,DEF,Out of Contention,0.0,0.05,0.95,45.0,10.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.06,0.06,4.25,4.25,0.0,1.2895,Position baseline (DEF); dest GC AVL=1.289; no Prior-Season Seed and no Career Individual Rate
55,178301,Watkins,AVL,FWD,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2833.0,prior_season_seed,0.4892,0.0375,2.9862,2.9862,0.0,1.2072,Prior-Season Seed 2025/26 (2833m)
56,173879,Abraham,AVL,FWD,Cameo,0.1,0.35,0.55,60.0,15.0,exclude_gw1,,0,0.0,career_fpl_prior_year+destination_gc,0.0,0.0,0.0,0.0,0.0,1.2895,Older FPL 2020/21 (1031m); destination GC overlay; dest GC AVL=1.289
28,98980,Martinez,AVL,GKP,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2835.0,prior_season_seed+defcon_baseline_fill,0.0,0.0025,0.0,0.0,3.0159,1.2381,Prior-Season Seed 2025/26 (2835m); defcon_baseline_fill
29,72147,M.Bizot,AVL,GKP,Out of Contention,0.0,0.05,0.95,45.0,10.0,not_role_eligible,,0,0.0,fallback_baseline+destination_gc,0.0,0.0,0.0,0.0,2.78,1.2895,Position baseline (GKP); dest GC AVL=1.289; no Prior-Season Seed and no Career Individual Rate
