player_id,web_name,club_short,position,expected_role,draft_availability,cost,per90_defcon,per90_xg,per90_xa,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,gw6_xp,gw6_xmins,total_6gw_xp,gw1_3_xp,gw4_6_xp
411,Haaland,MCI,FWD,Nailed Starter,eligible,15.5,3.1697,0.7772,0.0814,7.45,77.5,6.85,77.5,5.95,77.5,5.93,77.5,6.35,77.5,6.33,77.5,38.86,20.25,18.61
4,Gabriel,ARS,DEF,Nailed Starter,eligible,8.0,9.0655,0.0962,0.0573,5.42,77.5,5.51,77.5,5.16,77.5,5.59,77.5,5.37,77.5,5.42,77.5,32.46,16.09,16.38
504,Vuskovic,BHA,DEF,Nailed Starter,eligible,5.0,12.46,0.188,0.101,5.24,77.5,5.4,77.5,5.28,77.5,5.41,77.5,4.46,77.5,5.37,77.5,31.16,15.92,15.24
8,Calafiori,ARS,DEF,Regular Starter,eligible,5.5,5.4095,0.1782,0.0403,5.06,62.0,5.17,62.0,4.76,62.0,5.19,62.0,5.01,62.0,5.1,62.0,30.29,14.99,15.3
426,B.Fernandes,MUN,MID,Nailed Starter,eligible,12.0,8.4274,0.3168,0.3606,5.08,77.5,5.23,77.5,5.09,77.5,4.92,77.5,4.82,77.5,4.92,77.5,30.05,15.4,14.66
379,Isak,LIV,FWD,Nailed Starter,eligible,9.0,1.8,0.69,0.12,5.86,77.5,5.5,77.5,5.18,77.5,5.25,77.5,4.07,77.5,4.16,77.5,30.03,16.54,13.48
557,Tzolis,ARS,MID,Regular Starter,eligible,6.5,6.06,0.417,0.467,4.99,62.0,5.31,62.0,4.49,62.0,5.11,62.0,4.88,62.0,5.23,62.0,30.0,14.79,15.22
154,Palmer,CHE,MID,Nailed Starter,eligible,9.5,6.218,0.4859,0.1147,5.02,77.5,4.75,77.5,3.7,77.5,4.88,77.5,5.25,77.5,5.98,77.5,29.56,13.47,16.11
130,Wieffer,BHA,DEF,Nailed Starter,eligible,5.0,12.7354,0.0909,0.0881,4.73,77.5,4.74,77.5,4.73,77.5,4.81,77.5,4.21,77.5,4.81,77.5,28.03,14.2,13.83
1,Raya,ARS,GKP,Nailed Starter,eligible,6.0,0.0,0.0,0.0019,4.67,77.5,4.7,77.5,4.35,77.5,4.86,77.5,4.63,77.5,4.59,77.5,27.81,13.72,14.08
388,Guéhi,MCI,DEF,Nailed Starter,eligible,6.0,7.9429,0.1157,0.0677,4.64,77.5,4.59,77.5,4.55,77.5,4.42,77.5,4.83,77.5,4.51,77.5,27.55,13.78,13.76
68,Tavernier,BOU,MID,Nailed Starter,eligible,6.0,8.2687,0.2985,0.1515,4.53,77.5,4.12,77.5,5.49,77.5,4.02,77.5,3.76,77.5,5.13,77.5,27.05,14.14,12.91
208,Sarr,CRY,MID,Nailed Starter,eligible,6.5,5.6742,0.4527,0.0485,4.55,77.5,4.09,77.5,4.28,77.5,4.47,77.5,4.15,77.5,4.82,77.5,26.36,12.92,13.44
387,O'Reilly,MCI,DEF,Regular Starter,eligible,6.5,5.857,0.2084,0.0909,4.43,62.0,4.38,62.0,4.33,62.0,4.1,62.0,4.67,62.0,4.28,62.0,26.19,13.14,13.05
60,Hill,BOU,DEF,Nailed Starter,eligible,5.5,11.1323,0.0381,0.0497,4.01,77.5,4.56,77.5,4.18,77.5,4.53,77.5,4.44,77.5,4.17,77.5,25.89,12.75,13.14
