scenario,phase,player_id,web_name,club_short,position,cost,expected_role,gw1_xp,gw2_xp,gw3_xp,gw4_xp,gw5_xp,gw6_xp,is_starter_gw1,is_starter_gw2,is_starter_gw3,is_starter_gw4,is_starter_gw5,is_starter_gw6
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),411,Haaland,MCI,FWD,15.5,Nailed Starter,7.45,6.85,5.95,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),4,Gabriel,ARS,DEF,8.0,Nailed Starter,5.42,5.51,5.16,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),504,Vuskovic,BHA,DEF,5.0,Nailed Starter,5.24,5.4,5.28,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),8,Calafiori,ARS,DEF,5.5,Regular Starter,5.06,5.17,4.76,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),379,Isak,LIV,FWD,9.0,Nailed Starter,5.86,5.5,5.18,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),557,Tzolis,ARS,MID,6.5,Regular Starter,4.99,5.31,4.49,0.0,0.0,0.0,True,True,False,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),130,Wieffer,BHA,DEF,5.0,Nailed Starter,4.73,4.74,4.73,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),388,Guéhi,MCI,DEF,6.0,Nailed Starter,4.64,4.59,4.55,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),68,Tavernier,BOU,MID,6.0,Nailed Starter,4.53,4.12,5.49,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),94,Schade,BRE,MID,6.0,Nailed Starter,4.46,3.86,4.85,0.0,0.0,0.0,True,True,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),69,Scott,BOU,MID,6.0,Nailed Starter,4.23,3.44,4.68,0.0,0.0,0.0,True,False,True,False,False,False
GW1 BB + WC4,GW1-3 Pre-WC (BB1 Active),384,Donnarumma,MCI,GKP,5.5,Nailed Starter,3.75,3.86,4.07,0.0,0.0,0.0,True,True,True,False,False,False
