set_id,set_label,clubs,archetype,is_distinct_clubs,combined_cost,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr,player1,player2,player3,player4,player5
34077,Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),COV-COV-HUL-IPS-SUN,Pure Budget,False,20.0,148.25,152.0,2.601,2.667,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35443,Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Shea (IPS) + O'Nien (SUN),COV-HUL-IPS-IPS-SUN,Pure Budget,False,20.0,148.75,151.0,2.61,2.649,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
34122,Thomas (COV) + van Ewijk (COV) + Diop (IPS) + O'Shea (IPS) + O'Nien (SUN),COV-COV-IPS-IPS-SUN,Pure Budget,False,20.0,149.25,153.0,2.618,2.684,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35398,Thomas (COV) + Ajayi (HUL) + Coyle (HUL) + Diop (IPS) + O'Nien (SUN),COV-HUL-HUL-IPS-SUN,Pure Budget,False,20.0,149.25,153.0,2.618,2.684,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
40256,Ajayi (HUL) + Coyle (HUL) + Diop (IPS) + O'Shea (IPS) + O'Nien (SUN),HUL-HUL-IPS-IPS-SUN,Pure Budget,False,20.0,149.75,152.0,2.627,2.667,"Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35390,Thomas (COV) + Ajayi (HUL) + Coyle (HUL) + Diop (IPS) + O'Shea (IPS),COV-HUL-HUL-IPS-IPS,Pure Budget,False,20.0,150.25,153.0,2.636,2.684,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)"
34068,Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + Coyle (HUL) + O'Nien (SUN),COV-COV-HUL-HUL-SUN,Pure Budget,False,20.0,150.75,155.0,2.645,2.719,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
34069,Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + Diop (IPS) + O'Shea (IPS),COV-COV-HUL-IPS-IPS,Pure Budget,False,20.0,150.75,155.0,2.645,2.719,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)"
34060,Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + Coyle (HUL) + Diop (IPS),COV-COV-HUL-HUL-IPS,Pure Budget,False,20.0,151.75,155.0,2.662,2.719,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Diop (IPS, £4.0m)"
33787,Thomas (COV) + van Ewijk (COV) + Amenda (COV) + Diop (IPS) + O'Nien (SUN),COV-COV-COV-IPS-SUN,Pure Budget,False,20.0,154.25,158.0,2.706,2.772,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Amenda (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
33778,Thomas (COV) + van Ewijk (COV) + Amenda (COV) + Ajayi (HUL) + O'Nien (SUN),COV-COV-COV-HUL-SUN,Pure Budget,False,20.0,155.25,158.0,2.724,2.772,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Amenda (COV, £4.0m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
33779,Thomas (COV) + van Ewijk (COV) + Amenda (COV) + Diop (IPS) + O'Shea (IPS),COV-COV-COV-IPS-IPS,Pure Budget,False,20.0,155.25,160.0,2.724,2.807,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Amenda (COV, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)"
40248,Ajayi (HUL) + Coyle (HUL) + Diop (IPS) + O'Shea (IPS) + Davis (IPS),HUL-HUL-IPS-IPS-IPS,Pure Budget,False,20.0,155.75,157.0,2.732,2.754,"Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","Davis (IPS, £4.0m)"
40203,Ajayi (HUL) + Coyle (HUL) + Giles (HUL) + Diop (IPS) + O'Shea (IPS),HUL-HUL-HUL-IPS-IPS,Pure Budget,False,20.0,156.25,158.0,2.741,2.772,"Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Giles (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)"
35435,Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Shea (IPS) + Davis (IPS),COV-HUL-IPS-IPS-IPS,Pure Budget,False,20.0,156.25,159.0,2.741,2.789,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","Davis (IPS, £4.0m)"
33770,Thomas (COV) + van Ewijk (COV) + Amenda (COV) + Ajayi (HUL) + Diop (IPS),COV-COV-COV-HUL-IPS,Pure Budget,False,20.0,156.25,160.0,2.741,2.807,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Amenda (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
40420,Ajayi (HUL) + Diop (IPS) + O'Shea (IPS) + Davis (IPS) + O'Nien (SUN),HUL-IPS-IPS-IPS-SUN,Pure Budget,False,20.0,156.75,158.0,2.75,2.772,"Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","Davis (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
40211,Ajayi (HUL) + Coyle (HUL) + Giles (HUL) + Diop (IPS) + O'Nien (SUN),HUL-HUL-HUL-IPS-SUN,Pure Budget,False,20.0,156.75,160.0,2.75,2.807,"Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Giles (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
34114,Thomas (COV) + van Ewijk (COV) + Diop (IPS) + O'Shea (IPS) + Davis (IPS),COV-COV-IPS-IPS-IPS,Pure Budget,False,20.0,156.75,161.0,2.75,2.825,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","Davis (IPS, £4.0m)"
33769,Thomas (COV) + van Ewijk (COV) + Amenda (COV) + Ajayi (HUL) + Coyle (HUL),COV-COV-COV-HUL-HUL,Pure Budget,False,20.0,157.25,160.0,2.759,2.807,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Amenda (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)"
35607,Thomas (COV) + Diop (IPS) + O'Shea (IPS) + Davis (IPS) + O'Nien (SUN),COV-IPS-IPS-IPS-SUN,Pure Budget,False,20.0,157.25,160.0,2.759,2.807,"Thomas (COV, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","Davis (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35381,Thomas (COV) + Ajayi (HUL) + Coyle (HUL) + Giles (HUL) + Diop (IPS),COV-HUL-HUL-HUL-IPS,Pure Budget,False,20.0,157.75,160.0,2.768,2.807,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Giles (HUL, £4.0m)","Diop (IPS, £4.0m)"
35389,Thomas (COV) + Ajayi (HUL) + Coyle (HUL) + Giles (HUL) + O'Nien (SUN),COV-HUL-HUL-HUL-SUN,Pure Budget,False,20.0,158.25,162.0,2.776,2.842,"Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Giles (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
34059,Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + Coyle (HUL) + Giles (HUL),COV-COV-HUL-HUL-HUL,Pure Budget,False,20.0,159.25,162.0,2.794,2.842,"Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","Coyle (HUL, £4.0m)","Giles (HUL, £4.0m)"
20036,Smith (BOU) + Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),BOU-COV-HUL-IPS-SUN,Pure Budget,True,20.5,143.25,147.0,2.513,2.579,"Smith (BOU, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35451,Rodon (LEE) + Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),LEE-COV-HUL-IPS-SUN,Pure Budget,True,20.5,143.25,147.0,2.513,2.579,"Rodon (LEE, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
34130,Rodon (LEE) + Thomas (COV) + van Ewijk (COV) + Diop (IPS) + O'Nien (SUN),LEE-COV-COV-IPS-SUN,Pure Budget,False,20.5,143.25,148.0,2.513,2.596,"Rodon (LEE, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
28693,F.Kadıoğlu (BHA) + Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),BHA-COV-HUL-IPS-SUN,Pure Budget,True,20.5,143.75,147.0,2.522,2.579,"F.Kadıoğlu (BHA, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
28403,F.Kadıoğlu (BHA) + Thomas (COV) + van Ewijk (COV) + Diop (IPS) + O'Nien (SUN),BHA-COV-COV-IPS-SUN,Pure Budget,False,20.5,143.75,148.0,2.522,2.596,"F.Kadıoğlu (BHA, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
34085,Rodon (LEE) + Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + O'Nien (SUN),LEE-COV-COV-HUL-SUN,Pure Budget,False,20.5,143.75,149.0,2.522,2.614,"Rodon (LEE, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
24848,Ajer (BRE) + Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),BRE-COV-HUL-IPS-SUN,Pure Budget,True,20.5,144.25,146.0,2.531,2.561,"Ajer (BRE, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
35478,Robertson (TOT) + Thomas (COV) + Ajayi (HUL) + Diop (IPS) + O'Nien (SUN),TOT-COV-HUL-IPS-SUN,Pure Budget,True,20.5,144.25,147.0,2.531,2.579,"Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
28394,F.Kadıoğlu (BHA) + Thomas (COV) + van Ewijk (COV) + Ajayi (HUL) + O'Nien (SUN),BHA-COV-COV-HUL-SUN,Pure Budget,False,20.5,144.25,149.0,2.531,2.614,"F.Kadıoğlu (BHA, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
13796,Cash (AVL) + Thomas (COV) + van Ewijk (COV) + Diop (IPS) + O'Nien (SUN),AVL-COV-COV-IPS-SUN,Pure Budget,False,20.5,144.75,148.0,2.539,2.596,"Cash (AVL, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
21402,Smith (BOU) + Ajayi (HUL) + Diop (IPS) + O'Shea (IPS) + O'Nien (SUN),BOU-HUL-IPS-IPS-SUN,Pure Budget,False,20.5,144.75,148.0,2.539,2.596,"Smith (BOU, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)","O'Shea (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
