occupancy_key,club_1,club_2,club_3,club_4,club_5,distinct_clubs,occupancy_shape,rank_mod_fdr,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr
ARS-ARS-ARS-AVL-AVL,ARS,ARS,ARS,AVL,AVL,2,3-2,38847,152.75,156.0,2.68,2.737
ARS-ARS-ARS-AVL-BHA,ARS,ARS,ARS,AVL,BHA,3,3-1-1,40625,155.25,157.0,2.724,2.754
ARS-ARS-ARS-AVL-BOU,ARS,ARS,ARS,AVL,BOU,3,3-1-1,36892,151.25,155.0,2.654,2.719
ARS-ARS-ARS-AVL-BRE,ARS,ARS,ARS,AVL,BRE,3,3-1-1,40045,154.25,156.0,2.706,2.737
ARS-ARS-ARS-AVL-CHE,ARS,ARS,ARS,AVL,CHE,3,3-1-1,39693,153.75,157.0,2.697,2.754
ARS-ARS-ARS-AVL-COV,ARS,ARS,ARS,AVL,COV,3,3-1-1,38848,152.75,156.0,2.68,2.737
ARS-ARS-ARS-AVL-CRY,ARS,ARS,ARS,AVL,CRY,3,3-1-1,40626,155.25,157.0,2.724,2.754
ARS-ARS-ARS-AVL-EVE,ARS,ARS,ARS,AVL,EVE,3,3-1-1,41245,156.75,159.0,2.75,2.789
ARS-ARS-ARS-AVL-FUL,ARS,ARS,ARS,AVL,FUL,3,3-1-1,41246,156.75,158.0,2.75,2.772
ARS-ARS-ARS-AVL-HUL,ARS,ARS,ARS,AVL,HUL,3,3-1-1,40046,154.25,157.0,2.706,2.754
ARS-ARS-ARS-AVL-IPS,ARS,ARS,ARS,AVL,IPS,3,3-1-1,41543,157.75,159.0,2.768,2.789
ARS-ARS-ARS-AVL-LEE,ARS,ARS,ARS,AVL,LEE,3,3-1-1,38289,152.25,155.0,2.671,2.719
ARS-ARS-ARS-AVL-LIV,ARS,ARS,ARS,AVL,LIV,3,3-1-1,38849,152.75,155.0,2.68,2.719
ARS-ARS-ARS-AVL-MCI,ARS,ARS,ARS,AVL,MCI,3,3-1-1,35155,150.25,154.0,2.636,2.702
ARS-ARS-ARS-AVL-MUN,ARS,ARS,ARS,AVL,MUN,3,3-1-1,41062,156.25,159.0,2.741,2.789
ARS-ARS-ARS-AVL-NEW,ARS,ARS,ARS,AVL,NEW,3,3-1-1,40363,154.75,157.0,2.715,2.754
ARS-ARS-ARS-AVL-NFO,ARS,ARS,ARS,AVL,NFO,3,3-1-1,41063,156.25,158.0,2.741,2.772
ARS-ARS-ARS-AVL-SUN,ARS,ARS,ARS,AVL,SUN,3,3-1-1,40861,155.75,157.0,2.732,2.754
ARS-ARS-ARS-AVL-TOT,ARS,ARS,ARS,AVL,TOT,3,3-1-1,36098,150.75,155.0,2.645,2.719
ARS-ARS-ARS-BHA-BHA,ARS,ARS,ARS,BHA,BHA,2,3-2,41544,157.75,158.0,2.768,2.772
ARS-ARS-ARS-BHA-BOU,ARS,ARS,ARS,BHA,BOU,3,3-1-1,39694,153.75,156.0,2.697,2.737
ARS-ARS-ARS-BHA-BRE,ARS,ARS,ARS,BHA,BRE,3,3-1-1,41247,156.75,157.0,2.75,2.754
ARS-ARS-ARS-BHA-CHE,ARS,ARS,ARS,BHA,CHE,3,3-1-1,41064,156.25,158.0,2.741,2.772
ARS-ARS-ARS-BHA-COV,ARS,ARS,ARS,BHA,COV,3,3-1-1,40627,155.25,157.0,2.724,2.754
ARS-ARS-ARS-BHA-CRY,ARS,ARS,ARS,BHA,CRY,3,3-1-1,41545,157.75,158.0,2.768,2.772
ARS-ARS-ARS-BHA-EVE,ARS,ARS,ARS,BHA,EVE,3,3-1-1,41862,159.25,160.0,2.794,2.807
ARS-ARS-ARS-BHA-FUL,ARS,ARS,ARS,BHA,FUL,3,3-1-1,41863,159.25,159.0,2.794,2.789
ARS-ARS-ARS-BHA-HUL,ARS,ARS,ARS,BHA,HUL,3,3-1-1,41248,156.75,158.0,2.75,2.772
ARS-ARS-ARS-BHA-IPS,ARS,ARS,ARS,BHA,IPS,3,3-1-1,41993,160.25,160.0,2.811,2.807
ARS-ARS-ARS-BHA-LEE,ARS,ARS,ARS,BHA,LEE,3,3-1-1,40364,154.75,156.0,2.715,2.737
ARS-ARS-ARS-BHA-LIV,ARS,ARS,ARS,BHA,LIV,3,3-1-1,40628,155.25,156.0,2.724,2.737
ARS-ARS-ARS-BHA-MCI,ARS,ARS,ARS,BHA,MCI,3,3-1-1,38850,152.75,155.0,2.68,2.719
ARS-ARS-ARS-BHA-MUN,ARS,ARS,ARS,BHA,MUN,3,3-1-1,41777,158.75,160.0,2.785,2.807
ARS-ARS-ARS-BHA-NEW,ARS,ARS,ARS,BHA,NEW,3,3-1-1,41413,157.25,158.0,2.759,2.772
ARS-ARS-ARS-BHA-NFO,ARS,ARS,ARS,BHA,NFO,3,3-1-1,41778,158.75,159.0,2.785,2.789
ARS-ARS-ARS-BHA-SUN,ARS,ARS,ARS,BHA,SUN,3,3-1-1,41680,158.25,158.0,2.776,2.772
ARS-ARS-ARS-BHA-TOT,ARS,ARS,ARS,BHA,TOT,3,3-1-1,39309,153.25,156.0,2.689,2.737
ARS-ARS-ARS-BOU-BOU,ARS,ARS,ARS,BOU,BOU,2,3-2,34086,149.75,154.0,2.627,2.702
ARS-ARS-ARS-BOU-BRE,ARS,ARS,ARS,BOU,BRE,3,3-1-1,38851,152.75,155.0,2.68,2.719
ARS-ARS-ARS-BOU-CHE,ARS,ARS,ARS,BOU,CHE,3,3-1-1,38290,152.25,156.0,2.671,2.737
ARS-ARS-ARS-BOU-COV,ARS,ARS,ARS,BOU,COV,3,3-1-1,36893,151.25,155.0,2.654,2.719
ARS-ARS-ARS-BOU-CRY,ARS,ARS,ARS,BOU,CRY,3,3-1-1,39695,153.75,156.0,2.697,2.737
ARS-ARS-ARS-BOU-EVE,ARS,ARS,ARS,BOU,EVE,3,3-1-1,40629,155.25,158.0,2.724,2.772
ARS-ARS-ARS-BOU-FUL,ARS,ARS,ARS,BOU,FUL,3,3-1-1,40630,155.25,157.0,2.724,2.754
ARS-ARS-ARS-BOU-HUL,ARS,ARS,ARS,BOU,HUL,3,3-1-1,38852,152.75,156.0,2.68,2.737
ARS-ARS-ARS-BOU-IPS,ARS,ARS,ARS,BOU,IPS,3,3-1-1,41065,156.25,158.0,2.741,2.772
ARS-ARS-ARS-BOU-LEE,ARS,ARS,ARS,BOU,LEE,3,3-1-1,36099,150.75,154.0,2.645,2.702
ARS-ARS-ARS-BOU-LIV,ARS,ARS,ARS,BOU,LIV,3,3-1-1,36894,151.25,154.0,2.654,2.702
ARS-ARS-ARS-BOU-MCI,ARS,ARS,ARS,BOU,MCI,3,3-1-1,31537,148.75,153.0,2.61,2.684
ARS-ARS-ARS-BOU-MUN,ARS,ARS,ARS,BOU,MUN,3,3-1-1,40365,154.75,158.0,2.715,2.772
ARS-ARS-ARS-BOU-NEW,ARS,ARS,ARS,BOU,NEW,3,3-1-1,39310,153.25,156.0,2.689,2.737
ARS-ARS-ARS-BOU-NFO,ARS,ARS,ARS,BOU,NFO,3,3-1-1,40366,154.75,157.0,2.715,2.754
ARS-ARS-ARS-BOU-SUN,ARS,ARS,ARS,BOU,SUN,3,3-1-1,40047,154.25,156.0,2.706,2.737
ARS-ARS-ARS-BOU-TOT,ARS,ARS,ARS,BOU,TOT,3,3-1-1,32886,149.25,154.0,2.618,2.702
ARS-ARS-ARS-BRE-BRE,ARS,ARS,ARS,BRE,BRE,2,3-2,40862,155.75,156.0,2.732,2.737
ARS-ARS-ARS-BRE-CHE,ARS,ARS,ARS,BRE,CHE,3,3-1-1,40631,155.25,157.0,2.724,2.754
ARS-ARS-ARS-BRE-COV,ARS,ARS,ARS,BRE,COV,3,3-1-1,40048,154.25,156.0,2.706,2.737
ARS-ARS-ARS-BRE-CRY,ARS,ARS,ARS,BRE,CRY,3,3-1-1,41249,156.75,157.0,2.75,2.754
ARS-ARS-ARS-BRE-EVE,ARS,ARS,ARS,BRE,EVE,3,3-1-1,41681,158.25,159.0,2.776,2.789
ARS-ARS-ARS-BRE-FUL,ARS,ARS,ARS,BRE,FUL,3,3-1-1,41682,158.25,158.0,2.776,2.772
ARS-ARS-ARS-BRE-HUL,ARS,ARS,ARS,BRE,HUL,3,3-1-1,40863,155.75,157.0,2.732,2.754
ARS-ARS-ARS-BRE-IPS,ARS,ARS,ARS,BRE,IPS,3,3-1-1,41864,159.25,159.0,2.794,2.789
ARS-ARS-ARS-BRE-LEE,ARS,ARS,ARS,BRE,LEE,3,3-1-1,39696,153.75,155.0,2.697,2.719
ARS-ARS-ARS-BRE-LIV,ARS,ARS,ARS,BRE,LIV,3,3-1-1,40049,154.25,155.0,2.706,2.719
ARS-ARS-ARS-BRE-MCI,ARS,ARS,ARS,BRE,MCI,3,3-1-1,37654,151.75,154.0,2.662,2.702
ARS-ARS-ARS-BRE-MUN,ARS,ARS,ARS,BRE,MUN,3,3-1-1,41546,157.75,159.0,2.768,2.789
ARS-ARS-ARS-BRE-NEW,ARS,ARS,ARS,BRE,NEW,3,3-1-1,41066,156.25,157.0,2.741,2.754
ARS-ARS-ARS-BRE-NFO,ARS,ARS,ARS,BRE,NFO,3,3-1-1,41547,157.75,158.0,2.768,2.772
ARS-ARS-ARS-BRE-SUN,ARS,ARS,ARS,BRE,SUN,3,3-1-1,41414,157.25,157.0,2.759,2.754
ARS-ARS-ARS-BRE-TOT,ARS,ARS,ARS,BRE,TOT,3,3-1-1,38291,152.25,155.0,2.671,2.719
ARS-ARS-ARS-CHE-CHE,ARS,ARS,ARS,CHE,CHE,2,3-2,40367,154.75,158.0,2.715,2.772
ARS-ARS-ARS-CHE-COV,ARS,ARS,ARS,CHE,COV,3,3-1-1,39697,153.75,157.0,2.697,2.754
ARS-ARS-ARS-CHE-CRY,ARS,ARS,ARS,CHE,CRY,3,3-1-1,41067,156.25,158.0,2.741,2.772
ARS-ARS-ARS-CHE-EVE,ARS,ARS,ARS,CHE,EVE,3,3-1-1,41548,157.75,160.0,2.768,2.807
ARS-ARS-ARS-CHE-FUL,ARS,ARS,ARS,CHE,FUL,3,3-1-1,41549,157.75,159.0,2.768,2.789
ARS-ARS-ARS-CHE-HUL,ARS,ARS,ARS,CHE,HUL,3,3-1-1,40632,155.25,158.0,2.724,2.772
ARS-ARS-ARS-CHE-IPS,ARS,ARS,ARS,CHE,IPS,3,3-1-1,41779,158.75,160.0,2.785,2.807
ARS-ARS-ARS-CHE-LEE,ARS,ARS,ARS,CHE,LEE,3,3-1-1,39311,153.25,156.0,2.689,2.737
ARS-ARS-ARS-CHE-LIV,ARS,ARS,ARS,CHE,LIV,3,3-1-1,39698,153.75,156.0,2.697,2.737
ARS-ARS-ARS-CHE-MCI,ARS,ARS,ARS,CHE,MCI,3,3-1-1,36895,151.25,155.0,2.654,2.719
ARS-ARS-ARS-CHE-MUN,ARS,ARS,ARS,CHE,MUN,3,3-1-1,41415,157.25,160.0,2.759,2.807
ARS-ARS-ARS-CHE-NEW,ARS,ARS,ARS,CHE,NEW,3,3-1-1,40864,155.75,158.0,2.732,2.772
ARS-ARS-ARS-CHE-NFO,ARS,ARS,ARS,CHE,NFO,3,3-1-1,41416,157.25,159.0,2.759,2.789
ARS-ARS-ARS-CHE-SUN,ARS,ARS,ARS,CHE,SUN,3,3-1-1,41250,156.75,158.0,2.75,2.772
ARS-ARS-ARS-CHE-TOT,ARS,ARS,ARS,CHE,TOT,3,3-1-1,37655,151.75,156.0,2.662,2.737
ARS-ARS-ARS-COV-COV,ARS,ARS,ARS,COV,COV,2,3-2,38853,152.75,156.0,2.68,2.737
ARS-ARS-ARS-COV-CRY,ARS,ARS,ARS,COV,CRY,3,3-1-1,40633,155.25,157.0,2.724,2.754
ARS-ARS-ARS-COV-EVE,ARS,ARS,ARS,COV,EVE,3,3-1-1,41251,156.75,159.0,2.75,2.789
ARS-ARS-ARS-COV-FUL,ARS,ARS,ARS,COV,FUL,3,3-1-1,41252,156.75,158.0,2.75,2.772
ARS-ARS-ARS-COV-HUL,ARS,ARS,ARS,COV,HUL,3,3-1-1,40050,154.25,157.0,2.706,2.754
ARS-ARS-ARS-COV-IPS,ARS,ARS,ARS,COV,IPS,3,3-1-1,41550,157.75,159.0,2.768,2.789
ARS-ARS-ARS-COV-LEE,ARS,ARS,ARS,COV,LEE,3,3-1-1,38292,152.25,155.0,2.671,2.719
ARS-ARS-ARS-COV-LIV,ARS,ARS,ARS,COV,LIV,3,3-1-1,38854,152.75,155.0,2.68,2.719
ARS-ARS-ARS-COV-MCI,ARS,ARS,ARS,COV,MCI,3,3-1-1,35156,150.25,154.0,2.636,2.702
ARS-ARS-ARS-COV-MUN,ARS,ARS,ARS,COV,MUN,3,3-1-1,41068,156.25,159.0,2.741,2.789
ARS-ARS-ARS-COV-NEW,ARS,ARS,ARS,COV,NEW,3,3-1-1,40368,154.75,157.0,2.715,2.754
ARS-ARS-ARS-COV-NFO,ARS,ARS,ARS,COV,NFO,3,3-1-1,41069,156.25,158.0,2.741,2.772
ARS-ARS-ARS-COV-SUN,ARS,ARS,ARS,COV,SUN,3,3-1-1,40865,155.75,157.0,2.732,2.754
ARS-ARS-ARS-COV-TOT,ARS,ARS,ARS,COV,TOT,3,3-1-1,36100,150.75,155.0,2.645,2.719
ARS-ARS-ARS-CRY-CRY,ARS,ARS,ARS,CRY,CRY,2,3-2,41551,157.75,158.0,2.768,2.772
ARS-ARS-ARS-CRY-EVE,ARS,ARS,ARS,CRY,EVE,3,3-1-1,41865,159.25,160.0,2.794,2.807
ARS-ARS-ARS-CRY-FUL,ARS,ARS,ARS,CRY,FUL,3,3-1-1,41866,159.25,159.0,2.794,2.789
ARS-ARS-ARS-CRY-HUL,ARS,ARS,ARS,CRY,HUL,3,3-1-1,41253,156.75,158.0,2.75,2.772
ARS-ARS-ARS-CRY-IPS,ARS,ARS,ARS,CRY,IPS,3,3-1-1,41994,160.25,160.0,2.811,2.807
ARS-ARS-ARS-CRY-LEE,ARS,ARS,ARS,CRY,LEE,3,3-1-1,40369,154.75,156.0,2.715,2.737
ARS-ARS-ARS-CRY-LIV,ARS,ARS,ARS,CRY,LIV,3,3-1-1,40634,155.25,156.0,2.724,2.737
ARS-ARS-ARS-CRY-MCI,ARS,ARS,ARS,CRY,MCI,3,3-1-1,38855,152.75,155.0,2.68,2.719
ARS-ARS-ARS-CRY-MUN,ARS,ARS,ARS,CRY,MUN,3,3-1-1,41780,158.75,160.0,2.785,2.807
ARS-ARS-ARS-CRY-NEW,ARS,ARS,ARS,CRY,NEW,3,3-1-1,41417,157.25,158.0,2.759,2.772
ARS-ARS-ARS-CRY-NFO,ARS,ARS,ARS,CRY,NFO,3,3-1-1,41781,158.75,159.0,2.785,2.789
ARS-ARS-ARS-CRY-SUN,ARS,ARS,ARS,CRY,SUN,3,3-1-1,41683,158.25,158.0,2.776,2.772
ARS-ARS-ARS-CRY-TOT,ARS,ARS,ARS,CRY,TOT,3,3-1-1,39312,153.25,156.0,2.689,2.737
ARS-ARS-ARS-EVE-EVE,ARS,ARS,ARS,EVE,EVE,2,3-2,42034,160.75,162.0,2.82,2.842
ARS-ARS-ARS-EVE-FUL,ARS,ARS,ARS,EVE,FUL,3,3-1-1,42035,160.75,161.0,2.82,2.825
ARS-ARS-ARS-EVE-HUL,ARS,ARS,ARS,EVE,HUL,3,3-1-1,41684,158.25,160.0,2.776,2.807
ARS-ARS-ARS-EVE-IPS,ARS,ARS,ARS,EVE,IPS,3,3-1-1,42081,161.75,162.0,2.838,2.842
ARS-ARS-ARS-EVE-LEE,ARS,ARS,ARS,EVE,LEE,3,3-1-1,41070,156.25,158.0,2.741,2.772
ARS-ARS-ARS-EVE-LIV,ARS,ARS,ARS,EVE,LIV,3,3-1-1,41254,156.75,158.0,2.75,2.772
ARS-ARS-ARS-EVE-MCI,ARS,ARS,ARS,EVE,MCI,3,3-1-1,40051,154.25,157.0,2.706,2.754
ARS-ARS-ARS-EVE-MUN,ARS,ARS,ARS,EVE,MUN,3,3-1-1,41995,160.25,162.0,2.811,2.842
ARS-ARS-ARS-EVE-NEW,ARS,ARS,ARS,EVE,NEW,3,3-1-1,41782,158.75,160.0,2.785,2.807
ARS-ARS-ARS-EVE-NFO,ARS,ARS,ARS,EVE,NFO,3,3-1-1,41996,160.25,161.0,2.811,2.825
ARS-ARS-ARS-EVE-SUN,ARS,ARS,ARS,EVE,SUN,3,3-1-1,41927,159.75,160.0,2.803,2.807
ARS-ARS-ARS-EVE-TOT,ARS,ARS,ARS,EVE,TOT,3,3-1-1,40370,154.75,158.0,2.715,2.772
ARS-ARS-ARS-FUL-FUL,ARS,ARS,ARS,FUL,FUL,2,3-2,42036,160.75,160.0,2.82,2.807
ARS-ARS-ARS-FUL-HUL,ARS,ARS,ARS,FUL,HUL,3,3-1-1,41685,158.25,159.0,2.776,2.789
ARS-ARS-ARS-FUL-IPS,ARS,ARS,ARS,FUL,IPS,3,3-1-1,42082,161.75,161.0,2.838,2.825
ARS-ARS-ARS-FUL-LEE,ARS,ARS,ARS,FUL,LEE,3,3-1-1,41071,156.25,157.0,2.741,2.754
ARS-ARS-ARS-FUL-LIV,ARS,ARS,ARS,FUL,LIV,3,3-1-1,41255,156.75,157.0,2.75,2.754
ARS-ARS-ARS-FUL-MCI,ARS,ARS,ARS,FUL,MCI,3,3-1-1,40052,154.25,156.0,2.706,2.737
ARS-ARS-ARS-FUL-MUN,ARS,ARS,ARS,FUL,MUN,3,3-1-1,41997,160.25,161.0,2.811,2.825
ARS-ARS-ARS-FUL-NEW,ARS,ARS,ARS,FUL,NEW,3,3-1-1,41783,158.75,159.0,2.785,2.789
ARS-ARS-ARS-FUL-NFO,ARS,ARS,ARS,FUL,NFO,3,3-1-1,41998,160.25,160.0,2.811,2.807
ARS-ARS-ARS-FUL-SUN,ARS,ARS,ARS,FUL,SUN,3,3-1-1,41928,159.75,159.0,2.803,2.789
ARS-ARS-ARS-FUL-TOT,ARS,ARS,ARS,FUL,TOT,3,3-1-1,40371,154.75,157.0,2.715,2.754
ARS-ARS-ARS-HUL-HUL,ARS,ARS,ARS,HUL,HUL,2,3-2,40866,155.75,158.0,2.732,2.772
ARS-ARS-ARS-HUL-IPS,ARS,ARS,ARS,HUL,IPS,3,3-1-1,41867,159.25,160.0,2.794,2.807
ARS-ARS-ARS-HUL-LEE,ARS,ARS,ARS,HUL,LEE,3,3-1-1,39699,153.75,156.0,2.697,2.737
ARS-ARS-ARS-HUL-LIV,ARS,ARS,ARS,HUL,LIV,3,3-1-1,40053,154.25,156.0,2.706,2.737
ARS-ARS-ARS-HUL-MCI,ARS,ARS,ARS,HUL,MCI,3,3-1-1,37656,151.75,155.0,2.662,2.719
ARS-ARS-ARS-HUL-MUN,ARS,ARS,ARS,HUL,MUN,3,3-1-1,41552,157.75,160.0,2.768,2.807
ARS-ARS-ARS-HUL-NEW,ARS,ARS,ARS,HUL,NEW,3,3-1-1,41072,156.25,158.0,2.741,2.772
ARS-ARS-ARS-HUL-NFO,ARS,ARS,ARS,HUL,NFO,3,3-1-1,41553,157.75,159.0,2.768,2.789
ARS-ARS-ARS-HUL-SUN,ARS,ARS,ARS,HUL,SUN,3,3-1-1,41418,157.25,158.0,2.759,2.772
ARS-ARS-ARS-HUL-TOT,ARS,ARS,ARS,HUL,TOT,3,3-1-1,38293,152.25,156.0,2.671,2.737
ARS-ARS-ARS-IPS-IPS,ARS,ARS,ARS,IPS,IPS,2,3-2,42098,162.75,162.0,2.855,2.842
ARS-ARS-ARS-IPS-LEE,ARS,ARS,ARS,IPS,LEE,3,3-1-1,41419,157.25,158.0,2.759,2.772
ARS-ARS-ARS-IPS-LIV,ARS,ARS,ARS,IPS,LIV,3,3-1-1,41554,157.75,158.0,2.768,2.772
ARS-ARS-ARS-IPS-MCI,ARS,ARS,ARS,IPS,MCI,3,3-1-1,40635,155.25,157.0,2.724,2.754
ARS-ARS-ARS-IPS-MUN,ARS,ARS,ARS,IPS,MUN,3,3-1-1,42064,161.25,162.0,2.829,2.842
ARS-ARS-ARS-IPS-NEW,ARS,ARS,ARS,IPS,NEW,3,3-1-1,41929,159.75,160.0,2.803,2.807
ARS-ARS-ARS-IPS-NFO,ARS,ARS,ARS,IPS,NFO,3,3-1-1,42065,161.25,161.0,2.829,2.825
ARS-ARS-ARS-IPS-SUN,ARS,ARS,ARS,IPS,SUN,3,3-1-1,42037,160.75,160.0,2.82,2.807
ARS-ARS-ARS-IPS-TOT,ARS,ARS,ARS,IPS,TOT,3,3-1-1,40867,155.75,158.0,2.732,2.772
ARS-ARS-ARS-LEE-LEE,ARS,ARS,ARS,LEE,LEE,2,3-2,37657,151.75,154.0,2.662,2.702
ARS-ARS-ARS-LEE-LIV,ARS,ARS,ARS,LEE,LIV,3,3-1-1,38294,152.25,154.0,2.671,2.702
ARS-ARS-ARS-LEE-MCI,ARS,ARS,ARS,LEE,MCI,3,3-1-1,34087,149.75,153.0,2.627,2.684
ARS-ARS-ARS-LEE-MUN,ARS,ARS,ARS,LEE,MUN,3,3-1-1,40868,155.75,158.0,2.732,2.772
ARS-ARS-ARS-LEE-NEW,ARS,ARS,ARS,LEE,NEW,3,3-1-1,40054,154.25,156.0,2.706,2.737
ARS-ARS-ARS-LEE-NFO,ARS,ARS,ARS,LEE,NFO,3,3-1-1,40869,155.75,157.0,2.732,2.754
ARS-ARS-ARS-LEE-SUN,ARS,ARS,ARS,LEE,SUN,3,3-1-1,40636,155.25,156.0,2.724,2.737
ARS-ARS-ARS-LEE-TOT,ARS,ARS,ARS,LEE,TOT,3,3-1-1,35157,150.25,154.0,2.636,2.702
ARS-ARS-ARS-LIV-LIV,ARS,ARS,ARS,LIV,LIV,2,3-2,38856,152.75,154.0,2.68,2.702
ARS-ARS-ARS-LIV-MCI,ARS,ARS,ARS,LIV,MCI,3,3-1-1,35158,150.25,153.0,2.636,2.684
ARS-ARS-ARS-LIV-MUN,ARS,ARS,ARS,LIV,MUN,3,3-1-1,41073,156.25,158.0,2.741,2.772
ARS-ARS-ARS-LIV-NEW,ARS,ARS,ARS,LIV,NEW,3,3-1-1,40372,154.75,156.0,2.715,2.737
ARS-ARS-ARS-LIV-NFO,ARS,ARS,ARS,LIV,NFO,3,3-1-1,41074,156.25,157.0,2.741,2.754
ARS-ARS-ARS-LIV-SUN,ARS,ARS,ARS,LIV,SUN,3,3-1-1,40870,155.75,156.0,2.732,2.737
ARS-ARS-ARS-LIV-TOT,ARS,ARS,ARS,LIV,TOT,3,3-1-1,36101,150.75,154.0,2.645,2.702
