set_label,gameweek,starter_1,starter_2,starter_3,bench_1,bench_2,lineup_mod_fdr_sum,lineup_avg_def_fdr
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",1,Aina (NFO) vs LEE (H) [1.75],O'Nien (SUN) vs IPS (A) [2.25],Rodon (LEE) vs NFO (A) [3.25],Thomas (COV) vs ARS (A) [5.25],van Ewijk (COV) vs ARS (A) [5.25],7.25,2.417
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",2,Thomas (COV) vs HUL (H) [1.75],van Ewijk (COV) vs HUL (H) [1.75],O'Nien (SUN) vs FUL (H) [1.75],Rodon (LEE) vs BRE (H) [2.75],Aina (NFO) vs LIV (A) [4.25],5.25,1.75
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",3,Aina (NFO) vs TOT (H) [2.75],Rodon (LEE) vs BHA (A) [3.25],O'Nien (SUN) vs BRE (A) [3.25],Thomas (COV) vs MCI (A) [5.25],van Ewijk (COV) vs MCI (A) [5.25],9.25,3.083
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",4,Thomas (COV) vs BHA (H) [1.75],van Ewijk (COV) vs BHA (H) [1.75],Rodon (LEE) vs NEW (H) [1.75],O'Nien (SUN) vs ARS (H) [3.75],Aina (NFO) vs AVL (A) [4.25],5.25,1.75
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",5,Aina (NFO) vs COV (H) [1.75],Rodon (LEE) vs CRY (H) [2.75],Thomas (COV) vs NFO (A) [3.25],van Ewijk (COV) vs NFO (A) [3.25],O'Nien (SUN) vs MCI (A) [5.25],7.75,2.583
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",6,Thomas (COV) vs NEW (H) [1.75],van Ewijk (COV) vs NEW (H) [1.75],O'Nien (SUN) vs BHA (H) [1.75],Aina (NFO) vs CRY (A) [3.25],Rodon (LEE) vs ARS (A) [5.25],5.25,1.75
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",7,Thomas (COV) vs TOT (A) [3.25],van Ewijk (COV) vs TOT (A) [3.25],O'Nien (SUN) vs BOU (A) [3.25],Rodon (LEE) vs MUN (H) [3.75],Aina (NFO) vs ARS (H) [3.75],9.75,3.25
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",8,Thomas (COV) vs FUL (H) [1.75],van Ewijk (COV) vs FUL (H) [1.75],O'Nien (SUN) vs LEE (H) [1.75],Aina (NFO) vs IPS (A) [2.25],Rodon (LEE) vs SUN (A) [3.25],5.25,1.75
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",9,Thomas (COV) vs SUN (H) [1.75],van Ewijk (COV) vs SUN (H) [1.75],O'Nien (SUN) vs COV (A) [2.25],Rodon (LEE) vs BOU (A) [3.25],Aina (NFO) vs BRE (A) [3.25],5.75,1.917
"Pure Budget (Double COV) [£21.0m, Total FDR 139.25]",10,Rodon (LEE) vs TOT (H) [2.75],Thomas (COV) vs EVE (A) [3.25],van Ewijk (COV) vs EVE (A) [3.25],Aina (NFO) vs MCI (H) [3.75],O'Nien (SUN) vs CHE (H) [3.75],9.25,3.083
