player,fbref_id,fbref_url,window,prior_season,pl_season,prior_league,prior_squads,pl_squads,pos,age_pl,prior_minutes,pl_minutes,minutes_ratio,prior_npxg,pl_npxg,prior_xag,pl_xag,prior_npxg_p90,pl_npxg_p90,prior_xag_p90,pl_xag_p90,prior_npxg_xag_p90,ratio_npxg,ratio_xag,diff_npxg,diff_xag,prior_pkatt,pl_pkatt,dest_big6,talent_split,talent_league_n,talent_league_p25,talent_league_p75,meets_900,meets_450,in_primary,prior_pl_minutes,source
Ademola Lookman,7c104bb7,https://fbref.com/en/players/7c104bb7/Ademola-Lookman,january,2017-18,2017-18,Bundesliga,RB Leipzig,Everton,"FW,MF",19.0,574.0,159.0,0.2770034843205575,3.1,0.1,2.5,0.5,0.48606271777003485,0.05660377358490566,0.39198606271777003,0.2830188679245283,0.8780487804878049,0.11645364171231487,0.7220125786163522,-0.4294589441851292,-0.10896719479324174,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Aleksandar Dragović,6fd8a334,https://fbref.com/en/players/6fd8a334/Aleksandar-Dragovic,january,2017-18,2017-18,Bundesliga,Leverkusen,Leicester City,DF,26.0,45.0,769.0,17.08888888888889,0.0,0.1,0.0,0.0,0.0,0.011703511053315995,0.0,0.0,0.0,,,0.011703511053315995,0.0,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Aymeric Laporte,119b9a8e,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,january,2017-18,2017-18,La Liga,Athletic Club,Manchester City,DF,23.0,1710.0,806.0,0.47134502923976607,0.7,0.1,0.9,0.1,0.03684210526315789,0.011166253101736972,0.04736842105263158,0.011166253101736972,0.08421052631578947,0.30308401276143215,0.2357320099255583,-0.025675852161420917,-0.036202167950894606,0.0,0.0,1,,,,,False,True,0,0.0,fbref_wfr_standard
Bojan Krkić,9fa0a0b8,https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic,january,2017-18,2017-18,La Liga,Alavés,Stoke City,MF,26.0,441.0,71.0,0.16099773242630386,1.0,0.0,0.1,0.0,0.20408163265306123,0.0,0.02040816326530612,0.0,0.22448979591836735,0.0,0.0,-0.20408163265306123,-0.02040816326530612,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Davide Zappacosta,7fe90ccd,https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta,january,2017-18,2017-18,Serie A,Torino,Chelsea,"DF,MF",25.0,96.0,1098.0,11.4375,0.0,1.4,0.0,1.3,0.0,0.11475409836065573,0.0,0.10655737704918032,0.0,,,0.11475409836065573,0.10655737704918032,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Diafra Sakho,57c433c8,https://fbref.com/en/players/57c433c8/Diafra-Sakho,january,2017-18,2017-18,Ligue 1,Rennes,West Ham,FW,27.0,778.0,306.0,0.39331619537275064,4.1,1.4,0.2,0.1,0.4742930591259639,0.4117647058823529,0.02313624678663239,0.029411764705882353,0.4974293059125963,0.8681651522397578,1.2712418300653594,-0.062528353243611,0.006275517919249962,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Divock Origi,43a166b4,https://fbref.com/en/players/43a166b4/Divock-Origi,january,2017-18,2017-18,Bundesliga,Wolfsburg,Liverpool,FW,22.0,1967.0,10.0,0.005083884087442806,7.2,0.0,1.1,0.0,0.3294356888662939,0.0,0.05033045246568379,0.0,0.37976614133197767,0.0,0.0,-0.3294356888662939,-0.05033045246568379,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Emerson Palmieri,e0bc6fdc,https://fbref.com/en/players/e0bc6fdc/Emerson-Palmieri,january,2017-18,2017-18,Serie A,Roma,Chelsea,DF,22.0,16.0,280.0,17.5,0.0,0.1,0.0,0.0,0.0,0.03214285714285714,0.0,0.0,0.0,,,0.03214285714285714,0.0,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Francis Coquelin,a6951bf8,https://fbref.com/en/players/a6951bf8/Francis-Coquelin,january,2017-18,2017-18,La Liga,Valencia,Arsenal,"MF,DF",26.0,657.0,169.0,0.2572298325722983,0.3,0.1,0.1,0.6,0.0410958904109589,0.05325443786982249,0.0136986301369863,0.31952662721893493,0.0547945205479452,1.2958579881656807,23.32544378698225,0.012158547458863585,0.30582799708194863,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Gerard Deulofeu,39583cfd,https://fbref.com/en/players/39583cfd/Gerard-Deulofeu,january,2017-18,2017-18,La Liga,Barcelona,Watford,"FW,MF",23.0,503.0,435.0,0.8648111332007953,1.2,0.5,1.5,0.6,0.2147117296222664,0.10344827586206896,0.268389662027833,0.12413793103448276,0.48310139165009935,0.4818007662835249,0.46252873563218394,-0.11126345376019743,-0.14425173099335023,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Guido Carrillo,8f898ba8,https://fbref.com/en/players/8f898ba8/Guido-Carrillo,january,2017-18,2017-18,Ligue 1,Monaco,Southampton,FW,26.0,424.0,450.0,1.0613207547169812,2.1,0.7,0.1,0.4,0.44575471698113206,0.13999999999999999,0.02122641509433962,0.08,0.4669811320754717,0.31407407407407406,3.768888888888889,-0.3057547169811321,0.058773584905660384,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
João Mário,f0021247,https://fbref.com/en/players/f0021247/Joao-Mario,january,2017-18,2017-18,Serie A,Inter,West Ham,MF,24.0,554.0,1022.0,1.8447653429602888,1.3,1.7,1.5,1.4,0.2111913357400722,0.149706457925636,0.24368231046931407,0.12328767123287669,0.4548736462093863,0.7088664759897636,0.5059360730593606,-0.061484877814436206,-0.12039463923643738,0.0,0.0,0,,,,,False,True,0,0.0,fbref_wfr_standard
Kostas Stafylidis,861e0116,https://fbref.com/en/players/861e0116/Kostas-Stafylidis,january,2017-18,2017-18,Bundesliga,Augsburg,Stoke City,"DF,MF",23.0,33.0,335.0,10.151515151515152,0.0,0.1,0.0,0.0,0.0,0.026865671641791045,0.0,0.0,0.0,,,0.026865671641791045,0.0,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Lucas Moura,2b622f01,https://fbref.com/en/players/2b622f01/Lucas-Moura,january,2017-18,2017-18,Ligue 1,Paris S-G,Tottenham,"FW,MF",24.0,76.0,210.0,2.763157894736842,1.3,0.2,0.7,0.3,1.5394736842105263,0.08571428571428572,0.8289473684210525,0.12857142857142856,2.3684210526315788,0.05567765567765568,0.15510204081632653,-1.4537593984962407,-0.700375939849624,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Michy Batshuayi,2973d8ff,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi,january,2017-18,2017-18,Bundesliga,Dortmund,Chelsea,FW,23.0,839.0,360.0,0.42908224076281287,7.3,1.1,0.3,0.1,0.7830750893921334,0.275,0.03218116805721097,0.025,0.8152562574493444,0.3511796042617961,0.7768518518518518,-0.5080750893921334,-0.007181168057210967,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Molla Wagué,a440d8ca,https://fbref.com/en/players/a440d8ca/Molla-Wague,january,2017-18,2017-18,Serie A,Udinese,Watford,DF,26.0,57.0,438.0,7.684210526315789,0.1,0.4,0.0,0.0,0.15789473684210525,0.0821917808219178,0.0,0.0,0.15789473684210525,0.5205479452054794,,-0.07570295602018745,0.0,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Nordin Amrabat,7c2a398c,https://fbref.com/en/players/7c2a398c/Nordin-Amrabat,january,2017-18,2017-18,La Liga,Leganés,Watford,FW,30.0,1623.0,198.0,0.12199630314232902,3.7,0.1,3.2,0.1,0.20517560073937152,0.045454545454545456,0.17744916820702403,0.045454545454545456,0.3826247689463955,0.22153972153972157,0.25615530303030304,-0.15972105528482605,-0.13199462275247859,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
