player,understat_player_id,window,prior_season_end_year,pl_season_end_year,prior_season,pl_season,prior_league,prior_minutes,pl_minutes,prior_npxg,pl_npxg,prior_xa,pl_xa,prior_npxg_p90,pl_npxg_p90,prior_xa_p90,pl_xa_p90,prior_npxg_xa_p90,ratio_npxg,ratio_xa,diff_npxg,diff_xa,source,meets_900,meets_450
Adam Masina,1441,summer,2018,2019,2017-18,2018-19,Serie A,2848.0,1004.0,2.0486924266442648,0.0530636990442871,1.7717559840530148,0.6919723860919476,0.06474098258356173,0.004756706089627329,0.055989479833136,0.062029397159636734,0.12073046241669773,0.07347287451944073,1.1078759321304885,-0.059984276493934396,0.006039917326500735,understat_roster_shots,True,True
Adama Diakhaby,5740,summer,2018,2019,2017-18,2018-19,Ligue 1,850.0,560.0,1.94214978814125,0.8706762827932832,0.9037377052009103,0.540430899709463,0.20563938933260295,0.13993011687749196,0.09568987466833169,0.08685496602473514,0.3013292640009346,0.6804635888660794,0.9076714367719781,-0.06570927245511099,-0.008834908643596553,understat_roster_shots,False,True
Andreas Pereira,922,summer,2018,2019,2017-18,2018-19,La Liga,1074.0,593.0,0.9561016000807279,0.2686988003551958,1.9506700783967967,0.8848193176090717,0.08012024581682077,0.04078059364581386,0.1634639730500109,0.1342896097551711,0.24358421886683168,0.5089923680345501,0.8215242004064464,-0.03933965217100691,-0.0291743632948398,understat_roster_shots,False,True
Andriy Yarmolenko,6274,summer,2018,2019,2017-18,2018-19,Bundesliga,1043.0,454.0,5.043339386582374,1.2489151693880554,3.1969872824847694,0.6984038129448888,0.43518748302244836,0.24758230230159686,0.2758665919689638,0.13845009507718062,0.7110540749914122,0.5689095205176794,0.5018733659955348,-0.1876051807208515,-0.13741649689178317,understat_roster_shots,False,True
André Gomes,2383,summer,2018,2019,2017-18,2018-19,La Liga,630.0,2001.0,0.7510708123445506,1.3925834791734804,0.1630882062017916,0.6641304120421407,0.1072958303349358,0.06263493909325998,0.023298315171684514,0.029870933075358652,0.1305941455066203,0.5837593026470655,1.2821070045297582,-0.04466089124167581,0.006572617903674138,understat_roster_shots,False,True
André Schürrle,154,summer,2018,2019,2017-18,2018-19,Bundesliga,1235.0,1670.0,2.8509469032287584,3.3227692991495106,3.4928057380020614,1.9269961081445215,0.20776131278590143,0.17907139935536284,0.25453645054266033,0.10385008966048319,0.46229776332856176,0.8619092599780421,0.4079969271162517,-0.02868991343053859,-0.15068636088217713,understat_roster_shots,True,True
Antonio Barreca,1181,summer,2018,2019,2017-18,2018-19,Serie A,458.0,3.0,0.0182668007910251,0.0,0.0566535014659165,0.0,0.003589546006969998,0.0,0.011132784130856955,0.0,0.014722330137826953,0.0,0.0,-0.003589546006969998,-0.011132784130856955,understat_roster_shots,False,False
Bernardo,5245,summer,2018,2019,2017-18,2018-19,Bundesliga,1349.0,1740.0,0.4266319945454591,0.3528813030570742,0.6550266928970812,0.5762904193252321,0.02846321683401877,0.01825248119260729,0.04370081716881935,0.029808125137512003,0.07216403400283812,0.6412655779227393,0.682095371863668,-0.010210735641411482,-0.013892692031307347,understat_roster_shots,True,True
Caglar Söyüncü,5264,summer,2018,2019,2017-18,2018-19,Bundesliga,2152.0,373.0,0.9050607737153763,0.055841399356722804,0.0,0.0,0.03785105466281778,0.013473796091434457,0.0,0.0,0.03785105466281778,0.35596884185819444,,-0.024377258571383325,0.0,understat_roster_shots,False,False
Carlos Sánchez,667,summer,2018,2019,2017-18,2018-19,La Liga,1123.0,233.0,0.0693564983084796,0.0571259995922445,0.30740789510309685,0.045512400567531495,0.005558401467286879,0.02206583675236912,0.024636429705501974,0.01757989721492633,0.03019483117278885,3.969817020636999,0.7135732500639194,0.016507435285082243,-0.007056532490575643,understat_roster_shots,False,False
Denis Suárez,2308,summer,2018,2019,2017-18,2018-19,La Liga,578.0,59.0,2.026572478935122,0.0,2.1335640475153923,0.0,0.3155562683462993,0.0,0.33221585514945556,0.0,0.6477721234957549,0.0,0.0,-0.3155562683462993,-0.33221585514945556,understat_roster_shots,False,False
Diego Rico,5065,summer,2018,2019,2017-18,2018-19,La Liga,2229.0,600.0,1.4768159799277771,0.1808892032131548,3.5930263008922334,1.2170702759176488,0.059629178193584535,0.02713338048197322,0.14507508617330686,0.18256054138764732,0.2047042643668914,0.4550352915125784,1.2583865789992383,-0.03249579771161132,0.03748545521434046,understat_roster_shots,False,True
