pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Petrović (BOU) + Scherpen (IPS),Petrović,BOU,4.5,Scherpen,IPS,4.5,9.0,9.0,45.25,48.0,2.382,2.526,9,47.4,3.25
Verbruggen (BHA) + Rushworth (COV),Verbruggen,BHA,4.5,Rushworth,COV,4.5,9.0,9.0,45.25,48.0,2.382,2.526,10,52.6,3.75
Leno (FUL) + Kinsky (TOT),Leno,FUL,4.5,Kinsky,TOT,4.5,9.0,9.0,45.75,47.0,2.408,2.474,10,52.6,3.25
Rushworth (COV) + Leno (FUL),Rushworth,COV,4.5,Leno,FUL,4.5,9.0,9.0,46.25,49.0,2.434,2.579,9,47.4,3.75
Verbruggen (BHA) + Kinsky (TOT),Verbruggen,BHA,4.5,Kinsky,TOT,4.5,9.0,9.0,46.75,49.0,2.461,2.579,10,52.6,4.25
Petrović (BOU) + Leno (FUL),Petrović,BOU,4.5,Leno,FUL,4.5,9.0,9.0,46.75,50.0,2.461,2.632,9,47.4,3.75
Petrović (BOU) + Rushworth (COV),Petrović,BOU,4.5,Rushworth,COV,4.5,9.0,9.0,47.25,49.0,2.487,2.579,10,52.6,5.25
Petrović (BOU) + Verbruggen (BHA),Petrović,BOU,4.5,Verbruggen,BHA,4.5,9.0,9.0,47.75,49.0,2.513,2.579,10,52.6,4.25
Petrović (BOU) + Kinsky (TOT),Petrović,BOU,4.5,Kinsky,TOT,4.5,9.0,9.0,47.75,49.0,2.513,2.579,10,52.6,4.25
Rushworth (COV) + Kinsky (TOT),Rushworth,COV,4.5,Kinsky,TOT,4.5,9.0,9.0,47.75,49.0,2.513,2.579,10,52.6,4.25
Scherpen (IPS) + Kinsky (TOT),Scherpen,IPS,4.5,Kinsky,TOT,4.5,9.0,9.0,47.75,50.0,2.513,2.632,9,47.4,5.25
Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,9.0,48.25,49.0,2.539,2.579,10,52.6,4.25
Rushworth (COV) + Scherpen (IPS),Rushworth,COV,4.5,Scherpen,IPS,4.5,9.0,9.0,48.75,51.0,2.566,2.684,8,42.1,4.25
Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,9.0,49.25,49.0,2.592,2.579,10,52.6,4.25
Leno (FUL) + Scherpen (IPS),Leno,FUL,4.5,Scherpen,IPS,4.5,9.0,9.0,49.25,49.0,2.592,2.579,9,47.4,3.75
Petrović (BOU) + Tzolakis (HUL),Petrović,BOU,4.5,Tzolakis,HUL,4.6,9.1,9.0,46.75,49.0,2.461,2.579,9,47.4,3.75
Verbruggen (BHA) + Tzolakis (HUL),Verbruggen,BHA,4.5,Tzolakis,HUL,4.6,9.1,9.0,47.25,49.0,2.487,2.579,8,42.1,3.25
Tzolakis (HUL) + Scherpen (IPS),Tzolakis,HUL,4.6,Scherpen,IPS,4.5,9.1,9.0,48.25,49.0,2.539,2.579,8,42.1,3.25
