pair_label,gameweek,gkp1_opp,gkp1_mod_fdr,gkp2_opp,gkp2_mod_fdr,started_gkp,started_fixture,effective_mod_fdr
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",1,COV (H),1.75,BOU (H),2.75,Raya,COV (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",2,AVL (A),4.25,CRY (A),3.25,Donnarumma,CRY (A),3.25
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",3,CHE (H),3.75,COV (H),1.75,Donnarumma,COV (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",4,SUN (A),3.25,MUN (A),4.25,Raya,SUN (A),3.25
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",5,BHA (A),3.25,SUN (H),1.75,Donnarumma,SUN (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",6,LEE (H),1.75,LIV (A),4.25,Raya,LEE (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",7,NFO (A),3.25,IPS (H),1.75,Donnarumma,IPS (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",8,EVE (H),2.75,AVL (A),4.25,Raya,EVE (H),2.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",9,LIV (A),4.25,BHA (H),1.75,Donnarumma,BHA (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",10,HUL (H),1.75,NFO (A),3.25,Raya,HUL (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",11,NEW (A),3.25,FUL (H),1.75,Donnarumma,FUL (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",12,MCI (H),3.75,ARS (A),5.25,Raya,MCI (H),3.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",13,BRE (A),3.25,LEE (H),1.75,Donnarumma,LEE (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",14,TOT (A),3.25,BRE (A),3.25,Raya,TOT (A),3.25
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",15,BOU (H),2.75,CHE (H),3.75,Raya,BOU (H),2.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",16,MUN (H),3.75,HUL (H),1.75,Donnarumma,HUL (H),1.75
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",17,CRY (A),3.25,NEW (A),3.25,Raya,CRY (A),3.25
"Raya (ARS, £6.0m) + Donnarumma (MCI, £5.5m)",18,FUL (A),3.25,EVE (A),3.25,Raya,FUL (A),3.25
