rank_total_mod_fdr,raya_name,raya_club,raya_cost,partner_name,partner_club,partner_cost,combined_cost,total_mod_fdr,total_base_fdr,avg_mod_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
1,Raya,ARS,6.0,Donnarumma,MCI,5.5,11.5,44.75,47.0,2.355,11,57.9,3.75
2,Raya,ARS,6.0,Kinsky,TOT,4.5,10.5,45.25,48.0,2.382,10,52.6,3.75
3,Raya,ARS,6.0,Petrović,BOU,4.5,10.5,45.75,48.0,2.408,9,47.4,3.25
4,Raya,ARS,6.0,Trafford,LEE,5.0,11.0,46.75,48.0,2.461,9,47.4,3.25
5,Raya,ARS,6.0,Suzuki,AVL,5.0,11.0,47.25,49.0,2.487,10,52.6,3.75
6,Raya,ARS,6.0,A.Becker,LIV,5.5,11.5,47.25,48.0,2.487,10,52.6,3.75
7,Raya,ARS,6.0,Rushworth,COV,4.5,10.5,47.25,49.0,2.487,9,47.4,3.75
8,Raya,ARS,6.0,Martinez,CHE,5.0,11.0,48.25,50.0,2.539,9,47.4,3.75
9,Raya,ARS,6.0,Kelleher,BRE,5.0,11.0,48.75,49.0,2.566,9,47.4,3.75
10,Raya,ARS,6.0,Tzolakis,HUL,4.6,10.6,48.75,50.0,2.566,8,42.1,3.75
11,Raya,ARS,6.0,Horníček,NEW,5.0,11.0,49.25,50.0,2.592,7,36.8,3.25
12,Raya,ARS,6.0,Verbruggen,BHA,4.5,10.5,49.75,50.0,2.618,9,47.4,4.25
13,Raya,ARS,6.0,Henderson,CRY,5.0,11.0,49.75,50.0,2.618,8,42.1,3.75
14,Raya,ARS,6.0,Roefs,SUN,5.0,11.0,50.25,50.0,2.645,7,36.8,3.25
15,Raya,ARS,6.0,Sels,NFO,5.0,11.0,50.75,51.0,2.671,8,42.1,4.25
16,Raya,ARS,6.0,Lammens,MUN,5.0,11.0,50.75,52.0,2.671,7,36.8,4.25
17,Raya,ARS,6.0,Leno,FUL,4.5,10.5,51.25,51.0,2.697,7,36.8,4.25
18,Raya,ARS,6.0,Pickford,EVE,5.5,11.5,51.25,52.0,2.697,7,36.8,3.75
19,Raya,ARS,6.0,Scherpen,IPS,4.5,10.5,52.25,52.0,2.75,7,36.8,4.25
