metric,pool,value,n
corr_difficulty_points,all,-0.0634,29338
corr_difficulty_points,GKP,-0.0574,3383
corr_difficulty_points,DEF,-0.0854,9601
corr_difficulty_points,MID,-0.0501,13119
corr_difficulty_points,FWD,-0.0559,3235
corr_difficulty_cs,DEF_GKP,-0.1052,12984
autocorr_points,all,0.0899,9383
autocorr_points,DEF,0.036,3152
autocorr_points,MID,0.1329,4350
autocorr_points,FWD,0.1528,1203
haul_top3_median,apps25,0.2781,245
haul_top3_mean,apps25,0.2884,245
hitrate_pts_ge6,easy_le2,0.2936,797
mean_points,easy_le2,4.6964,797
hitrate_pts_ge6,mid3,0.2228,2096
mean_points,mid3,4.0797,2096
hitrate_pts_ge6,hard_ge4,0.1619,1075
mean_points,hard_ge4,3.4465,1075
cs_rate,easy_le2,0.4376,745
cs_rate,mid3,0.2751,1934
cs_rate,hard_ge4,0.1456,1037
p_start_given_started,all,0.7862,28497
p_start_given_not,all,0.0758,28497
count_nailed_30,all,82.0,841
count_rotator_10_29,all,231.0,841
count_fringe_lt10,all,528.0,841
core_absence_rate,nailed30,0.1075,2739
