model,regime,slice,eval_target,sample_count,signed_bias,mae
calibrated_matchup_hybrid,neutral,all,realized,31958,0.1846770873673471,1.082076770963432
calibrated_matchup_hybrid,neutral,all,process,31958,0.1979379297229388,0.9675033605140052
calibrated_matchup_hybrid,neutral,easy_mid_fwd,realized,442,-0.12035547263922494,2.9360632657023253
calibrated_matchup_hybrid,neutral,easy_mid_fwd,process,442,0.22066262690828634,2.082307311514277
calibrated_matchup_hybrid,neutral,easy_def_gk,realized,489,-0.7370856119833183,2.64455374065272
calibrated_matchup_hybrid,neutral,easy_def_gk,process,489,-0.7421776365231957,2.505822916599174
calibrated_matchup_hybrid,neutral,DEF,realized,10260,0.1520627415539578,1.2453633559773667
calibrated_matchup_hybrid,neutral,DEF,process,10260,0.14193408658319756,1.1873849356565103
calibrated_matchup_hybrid,neutral,MID,realized,14402,0.22951840745587113,1.0634868427932809
calibrated_matchup_hybrid,neutral,MID,process,14402,0.25629246661432137,0.9015518608356546
calibrated_matchup_hybrid,neutral,FWD,realized,3610,0.17854504682800912,1.1157166149203805
calibrated_matchup_hybrid,neutral,FWD,process,3610,0.21536222134324454,0.9138383875882559
calibrated_matchup_hybrid,matchup_share_k10,all,realized,31958,0.18506981871062025,1.0794447079524536
calibrated_matchup_hybrid,matchup_share_k10,all,process,31958,0.198330661066212,0.9647279183305983
calibrated_matchup_hybrid,matchup_share_k10,easy_mid_fwd,realized,442,0.03034646973579775,2.976975987094103
calibrated_matchup_hybrid,matchup_share_k10,easy_mid_fwd,process,442,0.37136456928330897,2.1218120442984203
calibrated_matchup_hybrid,matchup_share_k10,easy_def_gk,realized,489,-0.5653813940809161,2.6618859760582696
calibrated_matchup_hybrid,matchup_share_k10,easy_def_gk,process,489,-0.5704734186207935,2.5264891444390436
calibrated_matchup_hybrid,matchup_share_k10,DEF,realized,10260,0.15070135285488875,1.239810465970313
calibrated_matchup_hybrid,matchup_share_k10,DEF,process,10260,0.14057269788412852,1.1816068850604913
calibrated_matchup_hybrid,matchup_share_k10,MID,realized,14402,0.23157565277714168,1.0628879806933047
calibrated_matchup_hybrid,matchup_share_k10,MID,process,14402,0.25834971193559186,0.900344557205959
calibrated_matchup_hybrid,matchup_share_k10,FWD,realized,3610,0.18112659925232133,1.1144558758114644
calibrated_matchup_hybrid,matchup_share_k10,FWD,process,3610,0.21794377376755675,0.9144600173067866
calibrated_matchup_hybrid,matchup_share_s030,all,realized,31958,0.18467809380100653,1.0798189465390058
calibrated_matchup_hybrid,matchup_share_s030,all,process,31958,0.19793893615659827,0.9651064755425491
calibrated_matchup_hybrid,matchup_share_s030,easy_mid_fwd,realized,442,-0.007505018871508188,2.9658643643639726
calibrated_matchup_hybrid,matchup_share_s030,easy_mid_fwd,process,442,0.3335130806760031,2.1111895401400282
calibrated_matchup_hybrid,matchup_share_s030,easy_def_gk,realized,489,-0.6138174484666181,2.6564553440079104
calibrated_matchup_hybrid,matchup_share_s030,easy_def_gk,process,489,-0.6189094730064955,2.519521933549709
calibrated_matchup_hybrid,matchup_share_s030,DEF,realized,10260,0.15061800555787178,1.240817520302559
calibrated_matchup_hybrid,matchup_share_s030,DEF,process,10260,0.14048935058711157,1.1825783009147288
calibrated_matchup_hybrid,matchup_share_s030,MID,realized,14402,0.23095213916754695,1.0629004222179073
calibrated_matchup_hybrid,matchup_share_s030,MID,process,14402,0.25772619832599714,0.9004778901480196
calibrated_matchup_hybrid,matchup_share_s030,FWD,realized,3610,0.18032005382293392,1.1144451543596658
calibrated_matchup_hybrid,matchup_share_s030,FWD,process,3610,0.21713722833816937,0.9140692358491634
calibrated_matchup_hybrid,matchup_share_s050,all,realized,31958,0.1856392257398906,1.0792226993141016
calibrated_matchup_hybrid,matchup_share_s050,all,process,31958,0.19890006809548233,0.9645279777649738
calibrated_matchup_hybrid,matchup_share_s050,easy_mid_fwd,realized,442,0.06864412747613695,2.9885815267246922
calibrated_matchup_hybrid,matchup_share_s050,easy_mid_fwd,process,442,0.4096622270236482,2.1333855606291507
calibrated_matchup_hybrid,matchup_share_s050,easy_def_gk,realized,489,-0.5154092757929389,2.668847085989154
calibrated_matchup_hybrid,matchup_share_s050,easy_def_gk,process,489,-0.5205013003328162,2.5342596167525064
calibrated_matchup_hybrid,matchup_share_s050,DEF,realized,10260,0.15112162769487214,1.239077391462372
calibrated_matchup_hybrid,matchup_share_s050,DEF,process,10260,0.1409929727241119,1.180884524003759
calibrated_matchup_hybrid,matchup_share_s050,MID,realized,14402,0.23228189534078864,1.0629229044239836
calibrated_matchup_hybrid,matchup_share_s050,MID,process,14402,0.25905595449923885,0.9003273512764735
calibrated_matchup_hybrid,matchup_share_s050,FWD,realized,3610,0.18196792313787702,1.1145381642960763
calibrated_matchup_hybrid,matchup_share_s050,FWD,process,3610,0.2187850976531125,0.9149360107351308
