season,position,sp_role,n_players,mean_minutes,mean_starts,mean_goals,mean_assists,mean_xg,mean_xa,mean_xp_attack_per_start,mean_xp_defcon_per_start,mean_xp_cs_per_start,mean_pts_per_start,mean_defcon_hit_rate,mean_xg_per90,mean_xa_per90,mean_attack_plus_defcon_per_start
2024-25,DEF,backup_sp,11,2376.5,25.73,1.182,2.182,1.373,2.156,0.571,0.0,1.118,3.539,0.0,0.048,0.089,0.571
2024-25,DEF,corner_primary,5,2068.4,21.8,0.8,3.0,0.676,3.584,0.633,0.0,0.907,3.4,0.0,0.027,0.153,0.633
2024-25,DEF,fk_primary,3,2192.7,23.33,1.667,3.667,1.283,3.257,0.884,0.0,1.189,3.952,0.0,0.051,0.132,0.884
2024-25,DEF,no_sp,95,2140.2,23.21,0.947,1.326,1.18,1.057,0.382,0.0,0.882,2.89,0.0,0.047,0.042,0.382
2024-25,FWD,backup_sp,6,2295.8,25.83,12.333,3.833,13.098,1.995,2.158,0.0,0.0,5.212,0.0,0.496,0.075,2.158
2024-25,FWD,corner_primary,1,2596.0,27.0,15.0,7.0,8.73,5.29,3.0,0.0,0.0,6.593,0.0,0.303,0.183,3.0
2024-25,FWD,fk_primary,1,2109.0,24.0,10.0,5.0,9.58,1.36,2.292,0.0,0.0,5.208,0.0,0.409,0.058,2.292
2024-25,FWD,no_sp,10,2001.8,21.9,8.6,2.6,7.854,1.486,1.936,0.0,0.0,4.957,0.0,0.358,0.071,1.936
2024-25,FWD,pen_primary,8,2318.5,25.62,12.0,4.0,11.776,1.853,2.211,0.0,0.0,5.079,0.0,0.437,0.071,2.211
2024-25,MID,backup_sp,45,2108.1,22.6,4.578,4.778,4.279,3.632,1.555,0.0,0.288,4.446,0.0,0.176,0.15,1.555
2024-25,MID,corner_primary,8,2224.0,24.12,4.0,7.0,3.862,5.139,1.889,0.0,0.325,4.825,0.0,0.162,0.223,1.889
2024-25,MID,fk_primary,5,1750.8,17.8,2.4,5.0,3.164,3.656,1.427,0.0,0.313,4.581,0.0,0.157,0.181,1.427
2024-25,MID,no_sp,75,2044.0,21.68,3.32,3.067,3.244,2.13,1.196,0.0,0.282,3.984,0.0,0.143,0.092,1.196
2024-25,MID,pen_and_corner,4,2484.5,27.25,7.75,9.75,9.457,7.457,2.536,0.0,0.302,5.552,0.0,0.33,0.28,2.536
2024-25,MID,pen_primary,3,2273.0,24.33,7.667,5.667,7.553,3.997,2.301,0.0,0.277,5.065,0.0,0.3,0.16,2.301
2025-26,DEF,backup_sp,12,2314.1,24.83,1.167,2.333,1.166,2.106,0.528,0.392,1.175,3.999,0.196,0.047,0.082,0.921
2025-26,DEF,corner_primary,2,2158.0,21.5,1.5,4.5,0.95,3.345,1.102,0.23,1.175,4.755,0.115,0.04,0.14,1.332
2025-26,DEF,fk_primary,3,1846.7,18.67,2.0,3.0,1.893,3.123,1.233,0.145,1.359,5.304,0.072,0.095,0.164,1.378
2025-26,DEF,no_sp,106,2113.6,22.81,0.981,1.689,1.377,1.219,0.461,0.559,1.065,3.886,0.279,0.056,0.051,1.02
2025-26,FWD,backup_sp,12,2045.6,21.92,10.833,2.0,10.202,1.199,2.177,0.005,0.0,5.245,0.002,0.432,0.051,2.181
2025-26,FWD,corner_primary,1,3406.0,38.0,9.0,13.0,7.22,5.21,1.974,0.316,0.0,4.921,0.158,0.191,0.138,2.289
2025-26,FWD,fk_primary,1,1787.0,18.0,3.0,2.0,2.01,3.69,1.0,0.111,0.0,4.111,0.056,0.101,0.186,1.111
2025-26,FWD,no_sp,12,1798.2,18.92,6.25,2.75,6.892,1.024,1.701,0.0,0.0,4.598,0.0,0.336,0.05,1.701
2025-26,FWD,pen_primary,4,2405.2,26.5,15.25,3.75,15.147,1.26,2.621,0.0,0.0,5.449,0.0,0.544,0.044,2.621
2025-26,MID,backup_sp,51,2059.8,21.82,4.0,4.314,4.211,3.492,1.482,0.227,0.319,4.753,0.113,0.174,0.154,1.709
2025-26,MID,corner_primary,14,2459.1,26.93,3.143,4.786,2.567,4.335,1.118,0.492,0.308,4.399,0.246,0.095,0.159,1.61
2025-26,MID,fk_primary,3,2818.3,30.33,9.0,4.667,7.393,4.45,1.776,0.072,0.299,4.664,0.036,0.233,0.156,1.848
2025-26,MID,no_sp,62,1843.1,19.39,2.516,2.484,2.265,1.737,1.061,0.435,0.296,4.391,0.217,0.115,0.089,1.496
2025-26,MID,pen_and_corner,1,3065.0,34.0,9.0,24.0,10.79,12.28,3.441,0.294,0.206,6.912,0.147,0.317,0.361,3.735
2025-26,MID,pen_primary,6,2049.7,22.5,6.333,5.333,7.512,3.955,2.169,0.167,0.322,5.124,0.083,0.334,0.167,2.336
