season,web_name,sp_role,minutes,n_starts,goals,assists,xg,xa,defcon_hits,defcon_hit_rate,xp_attack_per_start,xp_defcon_per_start,xp_cs_per_start,attack_plus_defcon,pts_per_start,total_points,example_set
2025-26,Bentancur,no_sp,1880,21,1,1,0.72,0.8400000000000001,13,0.6190476190476191,0.38095238095238093,1.2380952380952381,0.38095238095238093,1.619047619047619,4.095238095238095,86,high_defcon_no_sp
2025-26,Florentino,no_sp,2100,23,0,2,0.64,0.52,14,0.6086956521739131,0.2608695652173913,1.2173913043478262,0.08695652173913043,1.4782608695652175,3.652173913043478,84,high_defcon_no_sp
2025-26,J.Palhinha,no_sp,2192,21,5,3,2.7199999999999998,0.65,12,0.5714285714285714,1.619047619047619,1.1428571428571428,0.23809523809523808,2.761904761904762,6.0,126,high_defcon_no_sp
2025-26,Wieffer,no_sp,1901,20,2,4,1.9200000000000002,1.86,11,0.55,1.1,1.1,0.3,2.2,4.7,94,high_defcon_no_sp
2025-26,Ampadu,no_sp,3119,35,1,4,2.47,2.2,19,0.5428571428571428,0.4857142857142857,1.0857142857142856,0.22857142857142856,1.5714285714285714,3.8285714285714287,134,high_defcon_no_sp
2025-26,André,no_sp,2760,30,1,0,0.52,0.99,16,0.5333333333333333,0.16666666666666666,1.0666666666666667,0.06666666666666667,1.2333333333333334,3.2,96,high_defcon_no_sp
2025-26,Rodrigo,no_sp,1510,16,1,1,1.15,2.4499999999999997,8,0.5,0.5,1.0,0.3125,1.5,4.3125,69,high_defcon_no_sp
2025-26,Casemiro,no_sp,2575,29,9,4,5.4399999999999995,3.17,14,0.4827586206896552,1.9655172413793103,0.9655172413793104,0.3103448275862069,2.9310344827586206,5.689655172413793,165,high_defcon_no_sp
2025-26,Iroegbunam,no_sp,1477,16,0,3,0.54,0.7100000000000001,7,0.4375,0.5625,0.875,0.5,1.4375,4.25,68,high_defcon_no_sp
2025-26,Caicedo,no_sp,2796,31,3,1,1.45,2.38,13,0.41935483870967744,0.5806451612903226,0.8387096774193549,0.1935483870967742,1.4193548387096775,3.5483870967741935,110,high_defcon_no_sp
2025-26,N.Gonzalez,no_sp,1561,17,1,0,0.68,1.12,7,0.4117647058823529,0.29411764705882354,0.8235294117647058,0.4117647058823529,1.1176470588235294,3.7058823529411766,63,high_defcon_no_sp
2025-26,Sangaré,no_sp,2073,22,2,2,1.16,1.8,9,0.4090909090909091,0.7272727272727273,0.8181818181818182,0.36363636363636365,1.5454545454545454,4.045454545454546,89,high_defcon_no_sp
2025-26,Cherki,backup_sp,1772,16,4,13,4.28,8.870000000000001,2,0.125,3.6875,0.25,0.5,3.9375,8.4375,135,any_setpiece_order
2025-26,B.Fernandes,pen_and_corner,3065,34,9,24,10.79,12.28,5,0.14705882352941177,3.4411764705882355,0.29411764705882354,0.20588235294117646,3.735294117647059,6.911764705882353,235,any_setpiece_order
2025-26,Saka,pen_primary,2218,23,7,10,7.569999999999999,7.16,5,0.21739130434782608,2.8260869565217392,0.43478260869565216,0.5217391304347826,3.2608695652173916,6.826086956521739,157,any_setpiece_order
2025-26,Buendía,backup_sp,1753,15,6,2,3.38,2.23,3,0.2,2.4,0.4,0.2,2.8,6.8,102,any_setpiece_order
2025-26,Ødegaard,backup_sp,1363,11,1,7,1.25,3.65,1,0.09090909090909091,2.3636363636363638,0.18181818181818182,0.5454545454545454,2.5454545454545454,6.7272727272727275,74,any_setpiece_order
2025-26,Doku,backup_sp,1773,18,5,8,2.87,5.86,0,0.0,2.7222222222222223,0.0,0.4444444444444444,2.7222222222222223,6.666666666666667,120,any_setpiece_order
2025-26,Madueke,backup_sp,1205,11,3,1,1.23,2.86,0,0.0,1.6363636363636365,0.0,0.7272727272727273,1.6363636363636365,6.545454545454546,72,any_setpiece_order
2025-26,Tel,corner_primary,1334,12,4,2,2.47,2.43,0,0.0,2.1666666666666665,0.0,0.25,2.1666666666666665,6.5,78,any_setpiece_order
2025-26,Foden,backup_sp,2078,22,7,5,6.03,4.76,3,0.13636363636363635,2.272727272727273,0.2727272727272727,0.5,2.545454545454546,5.954545454545454,131,any_setpiece_order
2025-26,Trossard,backup_sp,1997,20,6,6,5.6000000000000005,3.59,0,0.0,2.4,0.0,0.55,2.4,5.95,119,any_setpiece_order
2025-26,Semenyo,backup_sp,3200,35,17,6,11.1,3.12,3,0.08571428571428572,2.942857142857143,0.17142857142857143,0.34285714285714286,3.1142857142857143,5.771428571428571,202,any_setpiece_order
2025-26,Bruno G.,backup_sp,2456,27,9,7,5.59,4.96,5,0.18518518518518517,2.4444444444444446,0.37037037037037035,0.2222222222222222,2.814814814814815,5.703703703703703,154,any_setpiece_order
2025-26,O.Dango,backup_sp,2271,24,7,8,7.94,4.12,2,0.08333333333333333,2.4583333333333335,0.16666666666666666,0.25,2.625,5.666666666666667,136,any_setpiece_order
2025-26,Wilson,corner_primary,2674,30,10,9,5.88,4.7700000000000005,1,0.03333333333333333,2.566666666666667,0.06666666666666667,0.3,2.6333333333333337,5.6,168,any_setpiece_order
2025-26,Hutchinson,backup_sp,1676,15,1,7,2.01,3.87,1,0.06666666666666667,1.7333333333333334,0.13333333333333333,0.4,1.8666666666666667,5.466666666666667,82,any_setpiece_order
2025-26,Palmer,pen_primary,1954,21,10,2,10.55,2.4899999999999998,2,0.09523809523809523,2.6666666666666665,0.19047619047619047,0.14285714285714285,2.8571428571428568,5.428571428571429,114,any_setpiece_order
