occupancy_key,club_1,club_2,club_3,club_4,club_5,distinct_clubs,occupancy_shape,rank_mod_fdr,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr
ARS-ARS-ARS-AVL-AVL,ARS,ARS,ARS,AVL,AVL,2,3-2,30221,149.25,155.0,2.618,2.719
ARS-ARS-ARS-AVL-BHA,ARS,ARS,ARS,AVL,BHA,3,3-1-1,31823,149.75,156.0,2.627,2.737
ARS-ARS-ARS-AVL-BOU,ARS,ARS,ARS,AVL,BOU,3,3-1-1,34363,150.75,155.0,2.645,2.719
ARS-ARS-ARS-AVL-BRE,ARS,ARS,ARS,AVL,BRE,3,3-1-1,35468,151.25,155.0,2.654,2.719
ARS-ARS-ARS-AVL-BUR,ARS,ARS,ARS,AVL,BUR,3,3-1-1,38958,153.75,157.0,2.697,2.754
ARS-ARS-ARS-AVL-CHE,ARS,ARS,ARS,AVL,CHE,3,3-1-1,31824,149.75,155.0,2.627,2.719
ARS-ARS-ARS-AVL-CRY,ARS,ARS,ARS,AVL,CRY,3,3-1-1,38959,153.75,157.0,2.697,2.754
ARS-ARS-ARS-AVL-EVE,ARS,ARS,ARS,AVL,EVE,3,3-1-1,33185,150.25,155.0,2.636,2.719
ARS-ARS-ARS-AVL-FUL,ARS,ARS,ARS,AVL,FUL,3,3-1-1,37205,152.25,157.0,2.671,2.754
ARS-ARS-ARS-AVL-LEE,ARS,ARS,ARS,AVL,LEE,3,3-1-1,36423,151.75,157.0,2.662,2.754
ARS-ARS-ARS-AVL-LIV,ARS,ARS,ARS,AVL,LIV,3,3-1-1,33186,150.25,154.0,2.636,2.702
ARS-ARS-ARS-AVL-MCI,ARS,ARS,ARS,AVL,MCI,3,3-1-1,26650,148.25,154.0,2.601,2.702
ARS-ARS-ARS-AVL-MUN,ARS,ARS,ARS,AVL,MUN,3,3-1-1,28460,148.75,153.0,2.61,2.684
ARS-ARS-ARS-AVL-NEW,ARS,ARS,ARS,AVL,NEW,3,3-1-1,31825,149.75,153.0,2.627,2.684
ARS-ARS-ARS-AVL-NFO,ARS,ARS,ARS,AVL,NFO,3,3-1-1,24660,147.75,153.0,2.592,2.684
ARS-ARS-ARS-AVL-SUN,ARS,ARS,ARS,AVL,SUN,3,3-1-1,31826,149.75,155.0,2.627,2.719
ARS-ARS-ARS-AVL-TOT,ARS,ARS,ARS,AVL,TOT,3,3-1-1,24661,147.75,154.0,2.592,2.702
ARS-ARS-ARS-AVL-WHU,ARS,ARS,ARS,AVL,WHU,3,3-1-1,37206,152.25,157.0,2.671,2.754
ARS-ARS-ARS-AVL-WOL,ARS,ARS,ARS,AVL,WOL,3,3-1-1,37874,152.75,158.0,2.68,2.772
ARS-ARS-ARS-BHA-BHA,ARS,ARS,ARS,BHA,BHA,2,3-2,33187,150.25,157.0,2.636,2.754
ARS-ARS-ARS-BHA-BOU,ARS,ARS,ARS,BHA,BOU,3,3-1-1,35469,151.25,156.0,2.654,2.737
ARS-ARS-ARS-BHA-BRE,ARS,ARS,ARS,BHA,BRE,3,3-1-1,36424,151.75,156.0,2.662,2.737
ARS-ARS-ARS-BHA-BUR,ARS,ARS,ARS,BHA,BUR,3,3-1-1,39353,154.25,158.0,2.706,2.772
ARS-ARS-ARS-BHA-CHE,ARS,ARS,ARS,BHA,CHE,3,3-1-1,33188,150.25,156.0,2.636,2.737
ARS-ARS-ARS-BHA-CRY,ARS,ARS,ARS,BHA,CRY,3,3-1-1,39354,154.25,158.0,2.706,2.772
ARS-ARS-ARS-BHA-EVE,ARS,ARS,ARS,BHA,EVE,3,3-1-1,34364,150.75,156.0,2.645,2.737
ARS-ARS-ARS-BHA-FUL,ARS,ARS,ARS,BHA,FUL,3,3-1-1,37875,152.75,158.0,2.68,2.772
ARS-ARS-ARS-BHA-LEE,ARS,ARS,ARS,BHA,LEE,3,3-1-1,37207,152.25,158.0,2.671,2.772
ARS-ARS-ARS-BHA-LIV,ARS,ARS,ARS,BHA,LIV,3,3-1-1,34365,150.75,155.0,2.645,2.719
ARS-ARS-ARS-BHA-MCI,ARS,ARS,ARS,BHA,MCI,3,3-1-1,28461,148.75,155.0,2.61,2.719
ARS-ARS-ARS-BHA-MUN,ARS,ARS,ARS,BHA,MUN,3,3-1-1,30222,149.25,154.0,2.618,2.702
ARS-ARS-ARS-BHA-NEW,ARS,ARS,ARS,BHA,NEW,3,3-1-1,33189,150.25,154.0,2.636,2.702
ARS-ARS-ARS-BHA-NFO,ARS,ARS,ARS,BHA,NFO,3,3-1-1,26651,148.25,154.0,2.601,2.702
ARS-ARS-ARS-BHA-SUN,ARS,ARS,ARS,BHA,SUN,3,3-1-1,33190,150.25,156.0,2.636,2.737
ARS-ARS-ARS-BHA-TOT,ARS,ARS,ARS,BHA,TOT,3,3-1-1,26652,148.25,155.0,2.601,2.719
ARS-ARS-ARS-BHA-WHU,ARS,ARS,ARS,BHA,WHU,3,3-1-1,37876,152.75,158.0,2.68,2.772
